"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Rory McIlroy",2.126,313.5,0.425,0.633,1.195,0.297,69.057,1,178,73,57,103,512
"Justin Thomas",1.817,302.2,-0.186,0.985,0.479,0.352,69.466,5,178,72,51,97,467
"Hideki Matsuyama",1.487,303,0.011,0.759,0.381,0.347,69.841,12,180,90,79,147,629
"Adam Scott",1.483,299.3,0.348,0.846,0.285,0.351,69.693,7,183,82,56,101,355
"Patrick Cantlay",1.471,304.7,0.386,0.64,0.475,0.356,69.306,2,183,86,65,112,460
"Paul Casey",1.453,298.4,-0.092,0.706,0.614,0.133,69.821,9,178,82,52,119,519
"Byeong Hun An",1.402,307.1,-0.583,0.42,0.351,0.631,70.48,36,188,95,79,135,496
"Dustin Johnson",1.225,312,0.096,0.288,0.703,0.234,69.895,13,193,86,53,83,437
"Corey Conners",1.196,297.3,-0.576,0.665,0.653,-0.123,70.775,66,183,86,71,137,642
"Jon Rahm",1.17,305.6,0.336,0.405,0.692,0.073,69.618,6,188,99,56,106,466
"Xander Schauffele",1.149,304.1,0.244,0.481,0.456,0.211,69.834,11,178,79,69,124,445
"Brooks Koepka",1.14,309,0.226,0.636,0.468,0.036,69.395,4,183,92,52,89,501
"Tommy Fleetwood",1.11,298.7,0.169,0.235,0.545,0.329,69.729,8,180,76,61,96,444
"Emiliano Grillo",1.051,295.7,-0.633,0.926,0.47,-0.345,70.814,71,175,64,58,121,520
"Gary Woodland",1.025,308.2,-0.143,0.545,0.472,0.008,70.229,23,185,88,61,121,563
"Matthew Fitzpatrick",0.941,287.9,-0.054,0.409,0.338,0.194,70.525,41,178,70,41,86,356
"Kevin Streelman",0.919,291.8,-0.251,0.479,0.383,0.058,70.763,64,178,79,68,135,645
"Webb Simpson",0.899,288.6,0.608,0.613,-0.007,0.294,69.377,3,188,84,85,135,639
"Tony Finau",0.871,309.5,-0.103,0.384,0.439,0.048,69.955,15,193,91,80,162,509
"Henrik Stenson",0.866,282.7,0.106,1.149,-0.293,0.01,70.089,18,188,86,37,75,416
"Joaquin Niemann",0.84,301.5,-0.17,0.484,0.338,0.018,70.621,49,183,69,92,170,677
"Sergio Garcia",0.824,302.5,-0.078,0.525,0.35,-0.051,70.321,27,178,82,38,76,310
"Lucas Glover",0.812,296.1,0.164,0.33,0.337,0.145,70.083,17,188,88,81,137,736
"Jim Furyk",0.784,275,0.113,0.741,-0.072,0.114,70.09,19,188,84,47,88,589
"Ryan Moore",0.765,282.2,0.062,0.596,0.114,0.055,70.974,92,175,77,56,123,667
"Chez Reavie",0.762,287,0.062,0.625,0.254,-0.117,70.247,24,175,73,68,139,737
"Matt Kuchar",0.76,289.5,0.302,0.591,0.063,0.105,69.916,14,193,88,59,97,617
"Justin Rose",0.739,303.2,0.504,0.525,0.179,0.036,69.825,10,191,88,66,107,412
"Russell Knox",0.726,289.2,-0.176,0.585,0.013,0.129,70.521,40,178,72,56,94,540
"Sungjae Im",0.7,295.9,0.323,0.075,0.341,0.285,70.252,25,183,90,93,190,899
"Tyrrell Hatton",0.681,296.6,-0.192,0.218,0.176,0.286,70.585,46,175,73,50,93,358
"Rory Sabbatini",0.667,289.4,0.154,0.103,0.3,0.263,70.409,29,178,75,80,144,711
"Keegan Bradley",0.663,298.5,-0.516,0.567,0.238,-0.142,70.849,76,191,86,53,118,628
"Bubba Watson",0.624,311.6,-0.344,-0.052,0.743,-0.067,70.71,59,191,82,47,95,409
"Patrick Reed",0.615,296.8,0.261,0.138,0.145,0.332,70.208,21,183,91,90,153,611
"Bud Cauley",0.61,293.4,-0.052,0.196,-0.163,0.577,70.574,44,170,73,79,140,655
"Louis Oosthuizen",0.608,296.3,0.169,0.208,0.13,0.27,70.259,26,178,82,68,117,442
"Dylan Frittelli",0.608,296.5,-0.169,0.186,0.272,0.149,70.737,61,188,81,58,118,586
"Keith Mitchell",0.592,303.2,-0.338,0.037,0.657,-0.102,71.021,103,185,84,74,146,515
"Abraham Ancer",0.58,293.3,-0.065,0.011,0.575,-0.005,70.58,45,170,70,62,133,693
"Zach Johnson",0.546,287.5,-0.087,0.398,0.053,0.095,70.644,52,180,74,53,98,486
"Marc Leishman",0.531,296.2,0.302,0.472,-0.077,0.135,70.434,32,188,91,78,134,477
"Rickie Fowler",0.525,303.1,0.541,0.158,0.247,0.12,69.955,15,175,68,80,146,522
"Charles Howell III",0.518,302.8,0.291,-0.072,0.262,0.328,70.483,37,180,70,67,141,627
"Danny Willett",0.513,293.8,-0.13,0.25,0.108,0.154,70.828,74,180,77,59,110,402
"Matt Jones",0.508,294.1,0.12,-0.148,0.304,0.352,70.81,70,183,77,77,145,567
"Scott Piercy",0.485,292.4,0.146,0.147,0.27,0.067,70.333,28,183,84,68,135,652
