"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Aaron Baddeley",2.812,295,-0.204,2.417,-0.276,0.672,69.393,4,183,80,0,5,28
"Bill Haas",2.117,302.9,-0.26,-0.285,0.65,1.752,70.143,10,188,84,3,5,36
"Kevin Tway",2.098,318.5,0.76,0.495,0.637,0.966,69.143,1,191,84,2,3,29
"Luke List",1.901,339.5,0.706,0.416,1.466,0.02,69.393,4,188,86,6,8,27
"Lucas Glover",1.82,317,-0.462,1.142,0.641,0.036,70.643,17,188,88,2,3,33
"Kevin Streelman",1.796,295.9,-0.689,1.48,1.027,-0.711,70.893,25,178,79,1,4,37
"Sam Ryder",1.795,304.6,0.812,1.419,0.162,0.214,69.393,4,188,79,5,6,31
"Chesson Hadley",1.755,287,-2.237,2.34,-0.962,0.376,72.484,66,193,73,1,1,15
"Hunter Mahan",1.617,306.6,-0.26,1.399,0.694,-0.476,70.643,17,180,79,1,2,33
"J.B. Holmes",1.44,300.8,0.668,0.103,0.317,1.02,69.893,9,180,86,5,7,25
"Cameron Davis",1.406,319.1,-0.048,0.848,0.726,-0.168,70.643,17,193,82,4,5,26
"Ryan Moore",1.385,299.8,1.472,0.762,0.668,-0.044,69.143,1,175,77,2,4,38
"Dylan Frittelli",1.354,317.3,-0.246,0.309,0.696,0.349,70.893,25,188,81,4,8,32
"Harold Varner III",1.325,319,0.283,-0.3,0.297,1.328,70.393,14,173,77,5,7,31
"Emiliano Grillo",1.309,311.3,-0.702,1.537,0.259,-0.486,71.393,39,175,64,3,5,32
"Cameron Champ",1.287,328.4,-0.179,-0.05,1.605,-0.268,70.893,25,183,79,0,4,28
"Tom Hoge",1.241,297.4,0.116,0.997,-0.469,0.713,70.643,17,185,79,6,8,31
"Chad Campbell",1.194,286.5,-3.176,1.569,0.301,-0.676,73.984,111,185,93,3,4,16
"Brandt Snedeker",1.193,309.5,1.664,0.048,0.552,0.593,69.143,1,185,84,2,5,31
"Matt Jones",1.162,304.5,-1.644,0.095,0.161,0.906,72.484,66,183,77,1,3,17
"Troy Merritt",1.147,312.6,1.461,-0.297,0.314,1.13,69.393,4,183,73,4,5,36
"Corey Conners",1.145,286.8,-3.627,0.068,0.87,0.206,74.484,122,183,86,2,3,19
"Adam Schenk",1.124,312,0.483,0.434,0.864,-0.174,70.393,14,188,86,5,12,32
"Sungjae Im",1.11,315.8,1.497,0.201,0.87,0.039,69.393,4,183,90,5,8,26
"Kramer Hickok",1.078,270.8,-2.06,0.079,1.285,-0.287,72.984,93,180,80,1,2,21
"Fred Couples",1.042,291.1,-0.434,0.455,0.138,0.448,71.393,39,180,84,7,9,32
"Patrick Cantlay",1.017,321.3,0.34,-0.262,0.59,0.69,70.643,17,183,86,4,9,32
"Jamie Lovemark",0.997,300.5,-2.479,0.703,0.54,-0.247,73.484,104,193,98,0,3,16
"Seamus Power",0.959,300,-1.441,-0.751,0.656,1.054,72.484,66,191,91,5,5,21
"Michael Thompson",0.757,306.3,0.6,0.765,0.694,-0.702,70.643,17,183,83,1,3,35
"Danny Lee",0.732,322.6,1.126,0.154,0.467,0.11,70.143,10,180,79,7,8,28
"Chez Reavie",0.674,300,0.183,0.934,-0.377,0.117,71.143,31,175,73,2,5,34
"Jim Knous",0.639,301.1,1.218,0.049,0.567,0.024,70.143,10,185,81,3,7,30
"Brendan Steele",0.618,324.9,-0.51,-0.39,1.067,-0.059,71.893,51,188,79,3,7,35
"Patrick Rodgers",0.514,319.4,0.594,0.346,0.112,0.055,70.893,25,188,83,5,10,32
"Martin Trainer",0.498,323.9,-0.64,-1.64,1.352,0.785,72.143,58,185,80,6,7,27
"Joaquin Niemann",0.477,305.2,-1.581,0.216,0.094,0.166,73.105,99,183,69,1,4,21
"John Huh",0.472,290.3,-1.454,-0.22,0.564,0.127,72.984,93,183,86,2,5,18
"J.J. Spaun",0.464,304.5,0.144,0.036,0.476,-0.049,71.393,39,175,83,1,5,30
"Joel Dahmen",0.456,303.4,-0.099,0.337,0.023,0.096,71.643,44,180,80,4,6,29
"Phil Mickelson",0.394,312.4,0.963,-0.415,0.073,0.736,70.643,17,191,91,3,8,23
"Ryan Blaum",0.372,299.8,0.485,-0.463,0.288,0.547,71.143,31,173,75,7,11,32
"Roberto Castro",0.339,305.1,-0.231,0.233,-0.033,0.139,71.893,51,183,77,4,7,28
"Russell Henley",0.335,284.5,-1.317,0.997,-0.216,-0.447,72.984,93,183,82,0,2,16
"Nate Lashley",0.321,305.6,1.037,0.331,-0.326,0.316,70.643,17,183,86,0,4,31
"Martin Laird",0.296,276.4,0.061,1.244,-0.592,-0.356,71.643,44,188,86,3,6,25
"Bud Cauley",0.284,311.1,0.074,-0.27,-0.502,1.056,71.643,44,170,73,4,6,28
"Richy Werenski",0.25,308,0.608,-0.718,0.325,0.643,71.143,31,183,74,4,5,32
"Andrew Landry",0.225,291.3,-0.867,0.448,-0.167,-0.057,72.643,81,170,68,4,7,27
"J.T. Poston",0.168,303.5,0.189,0.675,0.311,-0.818,71.643,44,188,74,2,7,36
"Brian Stuard",0.152,281.3,-0.044,-0.102,-0.322,0.576,71.893,51,178,79,3,7,35
"Russell Knox",0.132,280,-0.614,0.939,-0.454,-0.354,72.484,66,178,72,2,3,18
"Grayson Murray",0.117,316.1,0.491,-0.18,0.109,0.188,71.393,39,185,90,4,6,26
"Josh Teater",0.092,301.7,-0.863,0.066,0.353,-0.328,72.772,84,178,82,0,2,20
"Cameron Tringale",0.058,294.1,0.3,0.435,-1.203,0.826,71.643,44,188,84,3,5,24
"Mackenzie Hughes",0.042,300.5,0.816,0.321,-1.281,1.002,71.143,31,185,82,3,5,22
"Kyoung-Hoon Lee",0.028,280.3,-2.01,1.888,-0.155,-1.705,73.984,111,175,80,0,3,18
"Roger Sloan",-0.011,304.4,-0.131,0.208,-0.255,0.036,72.143,58,188,79,4,7,27
"Tyler Duncan",-0.028,304,-0.865,0.593,-0.319,-0.302,72.893,89,173,68,2,9,29
"Hank Lebioda",-0.082,301.5,-2.901,0.574,-0.155,-0.501,74.984,129,180,81,0,2,15
"Nick Taylor",-0.105,306.1,0.213,-0.293,0.315,-0.127,71.893,51,183,77,2,5,36
"Jim Herman",-0.124,299.5,-0.359,0.874,-0.403,-0.595,72.484,66,183,77,1,2,18
"Jonas Blixt",-0.153,299.6,1.011,-0.126,-0.171,0.144,71.143,31,178,74,5,9,34
"Jonathan Byrd",-0.176,279.2,-0.262,1.192,-1.315,-0.053,72.439,63,175,75,0,3,24
"Sebastián Muñoz",-0.201,301.3,-1.782,-0.324,-0.299,0.422,73.984,111,183,83,2,4,13
"Bronson Burgoon",-0.202,308.4,0.309,-0.287,0.375,-0.289,71.893,51,188,86,1,6,34
"Danny Willett",-0.263,301.3,-1.72,0.327,-0.733,0.144,73.984,111,180,77,1,2,12
"Robert Streb",-0.271,282.5,-1.712,-0.848,-0.478,1.056,73.984,111,178,75,2,5,17
"David Hearn",-0.288,266.2,-1.15,1.275,-0.095,-1.469,73.439,103,185,77,0,4,25
"Carlos Ortiz",-0.29,311.6,0.397,-0.943,0.245,0.409,71.893,51,183,68,6,10,35
"Peter Malnati",-0.39,305.6,1.497,0.503,-1.147,0.254,70.893,25,178,72,3,8,22
"Max Homa",-0.394,306.9,0.252,0.627,0.198,-1.219,72.143,58,185,82,3,8,31
"Fabián Gómez",-0.399,306,0.007,-0.202,-0.16,-0.038,72.393,61,173,74,4,11,29
"James Hahn",-0.414,291,-0.358,-0.312,0.348,-0.45,72.772,84,185,82,1,4,24
"Chris Thompson",-0.417,287.3,-0.565,-0.613,0.849,-0.654,72.984,93,188,88,1,3,19
"Kelly Kraft",-0.42,293,-0.062,0.129,0.244,-0.793,72.484,66,183,79,2,3,18
"Brandon Hagy",-0.484,320.3,-0.999,-1.506,0.833,0.189,73.484,104,180,72,1,5,16
"Wyndham Clark",-0.493,328.5,1.351,-0.213,0.274,-0.555,71.143,31,183,78,5,8,23
"Chris Stroud",-0.522,290,-0.46,0.247,-1.102,0.332,72.984,93,188,82,3,4,10
"Trey Mullinax",-0.565,304.3,-1.418,-0.736,-0.772,0.944,73.984,111,193,88,1,3,12
"Michael Kim",-0.595,299,-0.548,-0.42,0.023,-0.198,73.143,102,180,75,1,4,31
"Adam Long",-0.614,316,0.222,0.55,-0.096,-1.068,72.393,61,178,73,1,4,32
"Ted Potter, Jr.",-0.646,285.8,-2.836,-1.054,0.949,-0.541,75.484,132,180,82,1,5,17
"Hudson Swafford",-0.703,305.5,-0.19,-0.578,-0.254,0.13,72.893,89,191,91,4,7,24
"Wes Roach",-0.712,281.5,0.23,0.197,-0.157,-0.753,72.484,66,191,84,1,3,13
"Nick Watney",-0.748,297.3,-0.734,-0.362,-0.038,-0.348,73.484,104,188,82,1,3,14
"Harris English",-0.774,307.6,0.132,-0.577,-0.638,0.441,72.643,81,191,84,7,9,28
"Ben Crane",-0.8,290.4,1.157,-0.068,-0.306,-0.426,71.643,44,180,75,4,6,31
"Chris Kirk",-0.876,284.5,-0.606,0.267,-1.629,0.486,73.484,104,191,79,0,1,11
"J.J. Henry",-0.899,298.8,-1.083,-0.753,-0.13,-0.016,73.984,111,191,91,2,2,15
"Sung Kang",-0.899,301,-0.205,0.499,0.188,-1.587,73.105,99,173,75,0,2,26
"Scott Brown",-1.112,275,0.629,-0.186,-0.753,-0.173,72.484,66,173,77,1,2,15
"Shawn Stefani",-1.246,287.8,-2.236,-1.582,0.386,-0.051,75.484,132,188,93,2,2,16
"Scott Piercy",-1.28,302,-0.702,-1.332,0.63,-0.579,73.984,111,183,84,4,4,23
"Anirban Lahiri",-1.35,297,-0.133,0.035,-1.581,0.197,73.484,104,175,79,2,2,14
"Ricky Barnes",-1.394,309.8,0.501,-0.304,-1.281,0.192,72.893,89,188,91,2,3,24
"John Senden",-1.409,293.3,0.637,-0.78,-0.203,-0.426,72.772,84,193,91,4,8,21
"Beau Hossler",-1.548,297.8,1.065,-1.978,0.446,-0.016,72.484,66,185,88,3,6,14
"Sangmoon Bae",-1.587,302,-0.895,-1.39,0.387,-0.584,74.484,122,183,82,5,7,13
"Adam Hadwin",-1.601,304,-0.881,-0.663,0.291,-1.229,74.484,122,173,75,2,2,16
"Sean O'Hair",-1.826,295.8,-1.157,-0.855,-0.187,-0.783,74.984,129,188,82,2,3,16
"Vaughn Taylor",-1.943,285.8,1.171,-1.355,-1.08,0.493,72.772,84,183,73,6,9,26
"Robert Garrigus",-2.049,309.8,-0.433,-0.385,0.14,-1.804,74.484,122,180,86,2,3,15
"Jason Dufner",-2.052,270.5,0.569,-1.937,0.26,-0.375,73.484,104,178,82,2,4,16
"Sam Burns",-2.405,297,-0.077,-2.213,-0.286,0.093,74.484,122,185,83,2,2,11
"Chad Collins",-2.453,276,1.349,-0.936,-2.316,0.798,73.105,99,175,79,6,8,15
"Dominic Bozzelli",-2.454,301.5,0.471,-2.153,0.216,-0.517,73.984,111,183,81,0,2,17
"Denny McCarthy",-2.575,295.3,0.092,-1.425,-0.34,-0.81,74.484,122,175,75,2,5,13
"Peter Uihlein",-2.653,301,-0.33,-2.067,0.026,-0.612,74.984,129,185,86,3,6,12
"Wesley Bryan",-3.307,272.5,-2.676,-0.841,-1.354,-1.112,77.984,137,183,0,3,4,14
