"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Talor Gooch",2.06,292.5,-0.006,1.809,0.463,-0.212,69.947,19,183,91,2,4,30
"Sam Ryder",2.006,298.3,0.784,1.092,0.512,0.403,70.176,24,188,79,24,32,70
"Luke List",1.901,331.3,0.706,0.416,1.466,0.02,70.734,55,188,86,7,9,27
"Patrick Cantlay",1.748,323.3,0.543,0.457,0.89,0.401,69.304,8,183,86,10,22,68
"Aaron Baddeley",1.702,293.3,-0.061,1.184,0.021,0.498,70.359,31,183,80,1,7,45
"Lucas Glover",1.685,305.6,0.11,0.83,0.429,0.426,69.872,16,188,88,6,11,102
"Kevin Tway",1.597,326.6,0.444,0.512,0.386,0.699,70.706,53,191,84,13,21,64
"Bill Haas",1.526,296,0.43,-0.314,0.422,1.418,70.509,39,188,84,6,11,65
"Corey Conners",1.525,295.1,-0.935,-0.001,0.847,0.68,71.611,121,183,86,8,18,74
"Satoshi Kodaira",1.473,304.9,-0.999,0.575,0.481,0.417,71.623,124,170,68,3,8,47
"Cameron Champ",1.449,335.2,0.68,-0.015,1.642,-0.178,69.326,9,183,79,7,15,90
"Joaquin Niemann",1.44,307.2,-0.928,0.543,0.635,0.261,71.292,92,183,69,8,22,58
"J.B. Holmes",1.44,292.1,0.668,0.103,0.317,1.02,70.496,37,180,86,20,27,25
"Gary Woodland",1.435,298.9,0.29,0.965,0.413,0.057,69.529,13,185,88,11,29,32
"Rickie Fowler",1.435,291.4,1.04,0.923,0.605,-0.094,68.857,3,175,68,1,7,34
"D.J. Trahan",1.409,307.3,-0.145,0.874,0.448,0.087,70.237,26,191,84,5,11,61
"Emiliano Grillo",1.309,296.8,-0.702,1.537,0.259,-0.486,70.495,36,175,64,12,18,32
"Chesson Hadley",1.307,305.5,-0.151,1.51,-0.151,-0.053,71.192,83,193,73,12,24,55
"Ryan Palmer",1.293,318.8,0.681,0.869,-0.206,0.63,70.06,21,180,79,15,26,29
"Davis Love III",1.276,312.1,-1.552,1.923,-0.539,-0.108,72.188,155,191,79,6,13,37
"Aaron Wise",1.244,310.8,0.23,0.303,1.104,-0.163,69.107,6,185,82,5,16,39
"Brandt Snedeker",1.193,309.5,1.664,0.048,0.552,0.593,71.572,116,185,84,14,27,31
"Matt Kuchar",1.107,294.8,-1.383,1.178,0.492,-0.563,69.232,7,193,88,2,6,41
"J.J. Spaun",1.095,296.4,-0.054,1.071,0.051,-0.028,70.802,61,175,83,11,24,63
"Fred Couples",1.042,291.1,-0.434,0.455,0.138,0.448,71.393,100,180,84,7,9,32
"Ryan Moore",1.026,298,0.765,0.801,0.297,-0.072,71.673,126,175,77,13,30,75
"Jamie Lovemark",0.997,290.8,-2.479,0.703,0.54,-0.247,71.595,119,193,98,16,26,16
"Sungjae Im",0.996,308.1,0.479,0.16,0.845,-0.009,70.769,57,183,90,13,26,84
"Tony Finau",0.892,320.6,-0.168,-0.378,0.469,0.801,68.902,4,193,91,14,23,38
"Webb Simpson",0.891,297.9,0.583,0.819,-0.315,0.388,69.526,12,188,84,3,7,35
"Rory Sabbatini",0.815,296.2,-1.033,0.757,0.384,-0.326,71.606,120,178,75,3,8,50
"Cameron Davis",0.789,316.1,-0.014,0.471,0.311,0.006,70.786,60,193,82,11,15,77
"Abraham Ancer",0.782,296.4,1.692,-0.101,0.656,0.227,70.529,41,170,70,12,23,41
"Michael Thompson",0.757,306.3,0.6,0.765,0.694,-0.702,70.643,47,183,83,1,3,35
"Scott Piercy",0.717,296.1,-0.228,-0.098,0.616,0.199,70.246,27,183,84,18,30,66
"Dylan Frittelli",0.709,299.2,-0.254,0.312,0.547,-0.15,71.545,112,188,81,6,11,68
"Patrick Rodgers",0.702,306.6,0.51,0.627,0.007,0.067,71.021,72,188,83,12,20,89
"Matt Every",0.696,290.6,0.857,0.572,0.239,-0.115,70.447,34,180,86,6,8,35
"Chez Reavie",0.674,293.1,0.183,0.934,-0.377,0.117,71.045,73,175,73,18,31,34
"Robert Streb",0.674,290,0.34,0.454,-0.347,0.568,71.474,106,178,75,7,15,90
"Kevin Streelman",0.645,292.8,-0.47,0.305,0.424,-0.083,71.841,139,178,79,8,19,87
"Martin Laird",0.637,294.9,0.575,0.537,-0.29,0.39,70.664,50,188,86,12,20,84
"Sebastián Muñoz",0.601,297.4,-0.786,0.105,-0.071,0.567,71.829,138,183,83,9,24,81
"Bud Cauley",0.553,301.2,0.488,-0.202,-0.102,0.857,70.285,28,170,73,9,15,63
"Carlos Ortiz",0.539,303.4,0.173,-0.263,0.519,0.283,71.226,85,183,68,12,23,90
