"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Beau Hossler",0.2,308.5,0.455,-0.071,-0.426,0.696,71.282,95,185,88,15,25,43
"Nick Taylor",0.196,302.5,0.432,-0.319,0.48,0.035,71.093,83,183,77,9,21,103
"Martin Trainer",0.191,313.1,-0.806,-1.214,0.983,0.422,72.211,174,185,80,10,19,60
"Kevin Na",0.178,311,-1.939,-1.146,0.177,1.147,72.151,168,180,76,17,31,20
"Hank Lebioda",0.166,285.2,-0.783,0.28,-0.018,-0.096,71.533,122,180,81,4,12,65
"Harris English",0.161,299,0.174,0.006,-0.015,0.17,71.395,110,191,84,16,25,121
"Tom Hoge",0.16,284.6,-0.382,0.37,-0.274,0.064,71.979,160,185,79,18,29,97
"Jason Day",0.156,302.6,0.518,-0.981,0.35,0.787,70.708,53,183,88,6,15,48
"David Hearn",0.139,265.3,-0.564,0.653,-0.066,-0.448,71.286,96,185,77,2,10,80
"Brandt Snedeker",0.138,292,0.878,-0.288,0.105,0.322,72.023,164,185,84,15,30,80
"Brendan Steele",0.138,326,-0.653,-0.303,0.685,-0.245,71.979,160,188,79,7,21,51
"Graeme McDowell",0.137,289.9,0.918,0.293,0.006,-0.163,70.631,45,178,73,15,26,73
"Peter Malnati",0.136,296.9,0.399,0.367,-0.329,0.099,71.08,81,178,72,11,23,79
"Russell Knox",0.132,280,-0.614,0.939,-0.454,-0.354,73.823,218,178,72,2,4,18
"Jim Knous",0.116,295,-0.26,0.254,-0.01,-0.128,71.648,134,185,81,4,11,51
"Paul Casey",0.102,277.5,0.073,0.301,-0.013,-0.186,71.055,80,178,82,11,25,47
"Jim Herman",0.099,285.7,-1.632,0.898,0.062,-0.86,73.305,213,183,77,1,6,45
"Andrew Landry",0.061,279.8,-0.551,0.048,-0.048,0.061,72.17,171,170,68,9,14,111
"J.J. Henry",0.058,288.8,-0.611,0.223,-0.028,-0.137,72.603,194,191,91,4,10,63
"Rod Pampling",0.054,308.5,-0.58,0.138,-0.57,0.486,71.79,145,178,79,16,29,32
"Brian Gay",0.032,274.8,0.557,0.208,-0.428,0.252,71.509,120,178,75,15,35,82
"Hunter Mahan",0.029,295.7,0.095,0.057,0.361,-0.389,71.275,94,180,79,8,13,113
