"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Scott Brown",-0.064,289,0.148,-0.08,0.22,-0.204,70.886,86,173,77,68,138,587
"Brice Garnett",-0.074,287.9,0.126,-0.181,0.266,-0.159,71.004,104,180,79,57,129,615
"Jim Knous",-0.123,296.5,-0.249,0.111,0.041,-0.275,71.483,151,185,81,34,82,289
"Pat Perez",-0.152,286.1,0.517,0,-0.5,0.348,71.021,108,183,86,44,88,350
"Graeme McDowell",-0.154,286.3,0.789,0.043,-0.288,0.091,70.357,31,178,73,66,120,382
"Hudson Swafford",-0.167,295.2,-0.031,0.119,-0.047,-0.239,71.35,144,191,91,53,97,368
"Robert Streb",-0.187,288.7,-0.237,-0.053,-0.256,0.122,71.629,166,178,75,56,120,515
"Tyler Duncan",-0.193,288.2,-0.565,-0.152,0.156,-0.197,71.577,161,173,68,45,101,624
"Andrew Putnam",-0.194,282.5,0.713,0.374,-0.652,0.085,70.618,59,185,77,64,108,397
"Denny McCarthy",-0.207,291,0.98,-0.396,0.088,0.1,70.479,41,175,75,57,118,602
"Richy Werenski",-0.221,293.6,0.074,-0.163,0.057,-0.114,71.104,120,183,74,57,126,620
"Jim Herman",-0.232,288.3,-0.154,-0.11,0.203,-0.325,71.75,172,183,77,34,77,375
"Austin Cook",-0.232,291,-0.088,-0.095,0.236,-0.372,71.201,125,170,73,66,135,518
"Phil Mickelson",-0.241,306.5,-0.116,-0.113,-0.183,0.054,71.172,123,191,91,46,88,285
"Wyndham Clark",-0.278,312.6,0.649,-0.542,0.019,0.245,70.58,51,183,78,67,117,496
"Sam Burns",-0.32,307.2,0.369,-0.293,0.277,-0.304,70.995,102,185,83,53,129,536
"Harris English",-0.327,301,0.527,-0.437,-0.024,0.134,71.055,117,191,84,75,146,668
"Ryan Blaum",-0.338,289.2,0.194,-0.292,-0.052,0.006,71.302,139,173,75,66,133,629
"Aaron Baddeley",-0.34,286.3,0.654,-0.34,-0.46,0.46,70.783,73,183,80,54,99,324
"Jonathan Byrd",-0.349,281.6,-0.412,0.204,-0.758,0.205,71.49,153,175,75,28,68,279
"Cameron Champ",-0.358,316.9,-0.018,-0.297,0.594,-0.655,71.338,143,183,79,33,98,455
"Chesson Hadley",-0.36,297.9,0.199,0.247,-0.349,-0.257,71.499,155,193,73,59,114,444
"Alex Cejka",-0.362,278,-0.482,-0.014,-0.092,-0.257,72.076,183,178,77,34,81,379
"Rod Pampling",-0.382,286.4,-0.796,-0.473,-0.187,0.278,72.304,189,178,79,49,106,354
"Jordan Spieth",-0.392,295.1,0.775,-0.242,-0.482,0.332,70.449,40,185,79,65,119,431
"Lucas Bjerregaard",-0.441,308.9,-0.459,-0.236,0.191,-0.395,71.6,162,188,83,32,69,241
"David Hearn",-0.458,279.3,-0.157,0.009,-0.158,-0.309,71.697,169,185,77,37,73,319
"Peter Uihlein",-0.526,297.5,0.345,-0.168,-0.442,0.085,71.512,157,185,86,72,130,399
"J.J. Henry",-0.535,288.8,-0.657,-0.273,-0.099,-0.163,72.135,186,191,91,33,83,363
"Ernie Els",-0.536,284.7,0.01,-0.355,-0.463,0.282,71.548,160,191,95,49,76,235
"Brian Gay",-0.549,275.1,0.412,-0.42,-0.226,0.097,71.244,132,178,75,68,140,683
"Chris Thompson",-0.629,290.7,-0.354,-0.347,-0.157,-0.125,72.535,194,188,88,32,67,257
"Patton Kizzire",-0.634,295,0.58,-0.138,-0.442,-0.054,71.266,135,196,98,59,116,425
"Chris Stroud",-0.649,290,0.035,-0.097,-0.549,-0.004,71.546,159,188,82,49,94,399
"Kelly Kraft",-0.702,290.3,0.081,-0.098,-0.304,-0.299,71.448,149,183,79,70,145,531
"Ted Potter, Jr.",-0.727,281.4,-0.216,-0.14,-0.253,-0.335,72.214,188,180,82,56,134,517
"Seamus Power",-0.776,295.9,0.057,-0.676,-0.247,0.147,72.026,182,191,91,64,113,482
"Beau Hossler",-0.797,299.4,0.619,-0.765,0.048,-0.08,71.381,146,185,88,78,149,532
"Stewart Cink",-0.827,296.1,0.26,-0.195,-0.562,-0.07,71.624,165,193,93,49,88,232
"Sangmoon Bae",-0.851,296.5,0.217,-0.568,0.02,-0.302,71.762,173,183,82,41,80,343
"Anirban Lahiri",-0.869,290.2,0.116,-0.298,-0.431,-0.139,71.698,170,175,79,59,108,498
"Hunter Mahan",-0.875,295.7,0.102,-0.563,0.262,-0.574,71.948,179,180,79,48,103,425
"John Senden",-0.91,284.9,-0.119,-0.082,-0.59,-0.238,72.382,191,193,91,30,57,256
"Freddie Jacobson",-0.968,285.3,0.142,-0.151,-0.639,-0.178,71.953,180,185,81,31,73,326
"Cody Gribble",-0.994,297.2,-0.033,-0.427,-0.374,-0.193,72.096,185,175,75,38,92,431
"Dominic Bozzelli",-0.997,296.4,0.847,-0.766,-0.236,0.005,71.023,110,183,81,60,108,403
"Satoshi Kodaira",-1.124,282.3,-0.504,-0.399,-0.311,-0.414,72.78,195,170,68,37,95,467
"Martin Trainer",-1.39,303.8,-0.041,-1.378,-0.075,0.063,72.343,190,185,80,51,96,343
"Michael Kim",-1.95,279.3,-0.185,-0.545,-1.556,0.15,73.569,196,180,75,54,116,313
