"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Rafa Cabrera Bello",0.46,288.8,0.125,0.18,0.207,0.072,70.623,47,188,81,69,135,371
"Nate Lashley",0.444,288,0.41,0.671,-0.218,-0.008,70.484,33,183,86,34,66,371
"Jason Dufner",0.43,288.9,-0.57,0.14,0.158,0.131,71.44,144,178,82,66,128,465
"J.B. Holmes",0.418,305.7,-0.604,0.309,0.229,-0.12,71.654,161,180,86,50,90,260
"Cameron Tringale",0.409,296.2,0.098,0.432,-0.131,0.109,70.86,79,188,84,45,83,367
"Talor Gooch",0.39,296.9,0.256,0.685,-0.181,-0.114,70.434,31,183,91,41,70,323
"Martin Kaymer",0.38,291.6,-0.014,0.439,-0.165,0.107,70.976,95,183,75,43,70,322
"Sung Kang",0.375,298.9,0.055,0.199,0.217,-0.041,70.766,66,173,75,68,120,515
"Trey Mullinax",0.374,309.3,-0.391,0.231,0.404,-0.261,71.034,101,193,88,47,102,410
"Matt Jones",0.369,293.7,0.188,-0.34,0.361,0.348,70.909,86,183,77,72,134,463
"Harold Varner III",0.36,302.3,-0.125,-0.022,0.307,0.075,70.695,54,173,77,54,95,469
"Max Homa",0.353,299,0.061,0.284,0.29,-0.221,70.866,80,185,82,53,121,447
"Billy Horschel",0.348,291,0.38,0.229,0.033,0.085,70.828,75,183,79,59,123,462
"Kramer Hickok",0.344,289.2,-0.656,-0.219,0.301,0.261,71.228,118,180,80,46,104,484
"Branden Grace",0.315,296.8,-0.579,0.172,0.111,0.033,71.701,166,178,78,47,98,295
"Brian Stuard",0.306,275.5,0.218,0.281,-0.245,0.269,70.977,97,178,79,69,126,643
"Brandt Snedeker",0.305,286.1,0.697,-0.086,-0.183,0.574,70.709,57,185,84,84,141,518
"Russell Henley",0.299,286.9,-0.426,0.207,0.125,-0.033,71.199,116,183,82,39,94,462
"Chris Kirk",0.28,283.2,-0.541,0.19,-0.18,0.27,71.629,159,191,79,50,85,295
"Scott Stallings",0.273,295.1,-0.426,0.277,-0.009,0.004,71.62,157,183,88,60,118,456
"Matt Every",0.268,294.5,0.041,0.106,0.104,0.059,70.732,62,180,86,36,68,250
"Ian Poulter",0.264,292.7,0.314,0.009,0.14,0.115,70.581,43,185,86,49,84,290
"Sebastián Muñoz",0.256,297.3,-0.139,-0.025,-0.047,0.328,71.14,112,183,83,53,111,386
"Cameron Davis",0.253,307.6,-0.436,0.157,0.154,-0.058,71.248,121,193,82,39,82,349
"J.T. Poston",0.244,292.7,0.118,0.189,0.03,0.024,70.743,63,188,74,78,150,594
"Jimmy Walker",0.239,299.3,-0.074,0.058,-0.179,0.36,71.174,113,188,82,83,134,403
"Kevin Na",0.238,290.9,0.108,0.137,-0.227,0.328,71.078,103,180,76,54,95,315
"Joel Dahmen",0.225,291.4,0.005,0.196,0.246,-0.217,70.776,67,180,80,69,136,571
"Adam Hadwin",0.219,291.3,0.237,0.061,0.411,-0.254,70.396,30,173,75,68,127,482
"Nick Watney",0.218,300.1,-0.101,0.111,0.038,0.069,70.954,91,188,82,62,127,469
"Daniel Berger",0.206,299.1,-0.02,-0.03,0.353,-0.117,70.556,39,185,79,64,117,467
"Kevin Kisner",0.198,286.6,0.354,0.125,0.246,-0.174,70.631,49,178,75,55,122,539
"J.J. Spaun",0.197,290.8,-0.011,0.227,-0.027,-0.004,70.973,94,175,83,48,102,510
"Danny Lee",0.18,301.1,-0.108,0.269,0.033,-0.121,70.782,70,180,79,67,124,482
"Kyle Stanley",0.165,288.7,-0.423,0.275,0.002,-0.112,71.403,142,180,75,54,110,408
"Patrick Rodgers",0.163,299.3,0.421,-0.045,0.131,0.078,71.177,114,188,83,40,85,297
"Peter Malnati",0.162,290.9,0.476,0.375,-0.333,0.12,70.536,37,178,72,57,115,489
"Kyoung-Hoon Lee",0.142,286.6,-0.092,0.01,0.22,-0.088,71.235,119,175,80,69,131,508
"Sam Ryder",0.142,294.4,0.399,0.344,0.051,-0.252,70.972,93,188,79,70,112,437
"Cameron Smith",0.134,294,0.2,0.2,-0.309,0.243,71.013,100,180,78,62,106,335
"Carlos Ortiz",0.133,300.4,0.053,-0.074,0.255,-0.048,71.099,106,183,68,50,105,524
"Michael Thompson",0.12,286.2,0.428,-0.06,0.067,0.113,70.633,50,183,83,73,130,530
"Adam Long",0.106,292.5,-0.291,0.112,0.109,-0.115,71.308,132,178,73,49,99,471
"Si Woo Kim",0.101,292.4,0.096,-0.369,0.052,0.418,70.927,88,180,83,84,141,415
"Martin Laird",0.097,296.4,0.124,0.036,-0.042,0.102,70.857,78,188,86,48,99,496
"Jonas Blixt",0.093,289.3,0.137,-0.016,0.055,0.053,70.813,73,178,74,51,108,539
"Josh Teater",0.085,290,-0.137,0.347,-0.08,-0.182,71.271,128,178,82,28,83,340
"Roberto Castro",0.076,282.7,-0.305,0.402,-0.374,0.049,71.353,136,183,77,40,87,465
"Brendan Steele",0.072,302.7,-0.449,-0.261,0.536,-0.203,71.813,171,188,79,36,93,454
"Brian Harman",0.066,287.4,0.106,-0.357,0.265,0.159,71.27,127,170,68,75,126,551
"Nick Taylor",0.059,291.4,0.338,-0.083,0.102,0.04,70.744,64,183,77,68,144,625
"Ryan Armour",0.056,276,0.105,-0.036,-0.063,0.154,70.925,87,175,77,66,120,615
"Phil Mickelson",0.022,307,-0.154,-0.007,-0.1,0.129,70.942,89,191,91,43,83,261
"Andrew Landry",0.001,285.4,-0.418,0.13,0.239,-0.369,71.726,167,170,68,41,94,525
"Scott Brown",-0.002,288.6,0.127,-0.026,0.226,-0.202,70.906,85,173,77,63,131,527
"Adam Schenk",-0.019,299.7,0.338,0.231,0.016,-0.266,70.976,95,188,86,58,121,564
"Mackenzie Hughes",-0.023,297.3,-0.073,-0.017,-0.104,0.098,70.992,98,185,82,48,109,430
"Shawn Stefani",-0.027,293.7,-0.098,0.341,-0.406,0.038,71.138,110,188,93,48,92,418
"Robert Streb",-0.048,289.2,-0.176,0.039,-0.165,0.078,71.484,150,178,75,54,113,464
"Bill Haas",-0.054,289.5,-0.124,-0.288,-0.028,0.263,71.384,141,188,84,49,95,418
"Wes Roach",-0.056,291.5,0.004,-0.268,0.041,0.171,71.478,148,191,84,32,80,335
"Alex Noren",-0.058,301.2,-0.376,-0.388,0.065,0.265,71.458,147,180,75,48,112,289
"Tom Hoge",-0.076,288.7,-0.149,0.368,-0.266,-0.178,71.62,157,185,79,67,135,532
"Bronson Burgoon",-0.099,293.5,-0.268,-0.079,-0.004,-0.016,71.349,134,188,86,46,91,371
"Jim Knous",-0.123,296.5,-0.249,0.111,0.041,-0.275,71.483,149,185,81,34,82,289
"Vaughn Taylor",-0.129,281.2,0.749,0.186,-0.277,-0.037,70.587,44,183,73,73,134,619
"Fabián Gómez",-0.138,289,-0.224,-0.335,0.036,0.161,71.695,165,173,74,34,75,359
"Roger Sloan",-0.146,295.6,0.009,0.046,-0.104,-0.088,71.225,117,188,79,71,126,465
"Graeme McDowell",-0.154,287.1,0.789,0.043,-0.288,0.091,70.326,27,178,73,65,119,382
"Pat Perez",-0.161,286,0.505,0.05,-0.508,0.297,71.114,107,183,86,41,82,293
"Hudson Swafford",-0.167,295.2,-0.031,0.119,-0.047,-0.239,71.35,135,191,91,53,97,368
"Sam Burns",-0.195,307.6,0.374,-0.24,0.341,-0.296,70.884,83,185,83,50,123,521
"Wyndham Clark",-0.213,312.3,0.711,-0.524,0.094,0.216,70.513,36,183,78,62,111,444
"Cameron Champ",-0.233,317.1,0.134,-0.3,0.699,-0.631,71.125,108,183,79,32,92,419
"Brice Garnett",-0.241,286.2,-0.068,-0.248,0.196,-0.189,71.272,129,180,79,51,115,493
"Denny McCarthy",-0.246,290,0.907,-0.401,0.125,0.03,70.608,46,175,75,49,106,509
"Andrew Putnam",-0.259,281.7,0.78,0.379,-0.689,0.051,70.729,60,185,77,61,102,367
"Jordan Spieth",-0.296,294.5,0.713,-0.148,-0.406,0.258,70.575,42,185,79,51,101,383
"Rod Pampling",-0.299,286.6,-0.949,-0.46,-0.139,0.3,72.332,191,178,79,47,100,306
"Richy Werenski",-0.332,291,-0.008,-0.215,0.048,-0.165,71.262,125,183,74,52,116,522
"Austin Cook",-0.337,287.6,-0.223,-0.151,0.108,-0.294,71.364,138,170,73,63,126,392
"Aaron Baddeley",-0.34,286.3,0.654,-0.34,-0.46,0.46,70.783,71,183,80,54,99,324
"Alex Cejka",-0.345,276.9,-0.593,0.042,-0.077,-0.31,72.272,189,178,77,31,76,319
"Chesson Hadley",-0.373,297.3,0.189,0.225,-0.354,-0.244,71.598,153,193,73,59,114,405
"Tyler Duncan",-0.374,286.4,-0.643,-0.262,0.123,-0.235,71.775,169,173,68,41,94,521
"Jonathan Byrd",-0.383,281.4,-0.238,-0.035,-0.615,0.266,71.293,130,175,75,27,62,219
"John Senden",-0.406,283.4,-0.26,0.04,-0.34,-0.106,72.15,186,193,91,26,49,207
"Peter Uihlein",-0.424,297.3,0.268,-0.145,-0.43,0.151,71.538,152,185,86,65,119,338
"Harris English",-0.424,299.9,0.555,-0.517,-0.064,0.156,71.139,111,191,84,72,140,593
"Ryan Blaum",-0.426,287.9,0.195,-0.287,-0.071,-0.067,71.37,139,173,75,64,126,545
"Lucas Bjerregaard",-0.452,309.8,-0.359,-0.232,0.158,-0.377,71.948,179,188,83,28,60,191
"Chris Thompson",-0.508,290.1,-0.494,-0.196,-0.256,-0.056,72.632,194,188,88,31,64,203
"Brian Gay",-0.525,274.5,0.47,-0.378,-0.238,0.09,71.185,115,178,75,67,137,649
"Jim Herman",-0.527,287.3,-0.386,-0.278,0.179,-0.428,72.108,183,183,77,29,71,313
"Ernie Els",-0.536,284.6,0.01,-0.355,-0.463,0.282,71.678,163,191,95,48,73,235
"David Hearn",-0.597,278.6,-0.097,-0.113,-0.197,-0.286,71.666,162,185,77,34,68,254
"J.J. Henry",-0.682,286.5,-0.543,-0.245,-0.178,-0.259,72.149,185,191,91,30,74,282
"Patton Kizzire",-0.695,294.5,0.475,-0.186,-0.446,-0.063,71.441,145,196,98,57,113,394
"Stewart Cink",-0.714,294.9,0.375,-0.206,-0.604,0.096,71.754,168,193,93,44,78,187
"Hunter Mahan",-0.773,293.8,0.072,-0.55,0.27,-0.493,71.881,175,180,79,43,94,349
"Beau Hossler",-0.784,297.2,0.656,-0.676,0.003,-0.111,71.362,137,185,88,71,139,468
"Grayson Murray",-0.809,310,-0.634,-0.631,0.063,-0.241,72.37,192,185,90,31,71,182
"Kelly Kraft",-0.81,288.1,-0.076,-0.174,-0.385,-0.252,71.598,153,183,79,65,133,434
"Chris Stroud",-0.85,288,-0.021,-0.225,-0.573,-0.052,71.785,170,188,82,43,87,344
"Ted Potter, Jr.",-0.884,278.2,-0.341,-0.218,-0.273,-0.393,72.493,193,180,82,55,130,417
"Sangmoon Bae",-0.926,294.2,0.213,-0.484,-0.06,-0.381,71.875,174,183,82,37,72,288
"Seamus Power",-0.978,293.4,0.107,-0.887,-0.218,0.126,72.215,187,191,91,59,102,390
"Cody Gribble",-0.98,294.8,-0.132,-0.44,-0.339,-0.201,72.143,184,175,75,36,87,377
"Anirban Lahiri",-0.982,289.3,0.053,-0.31,-0.473,-0.199,71.905,177,175,79,57,102,427
"Dominic Bozzelli",-1.054,295,0.68,-0.646,-0.355,-0.052,71.127,109,183,81,54,98,329
"Freddie Jacobson",-1.094,283.3,0.079,-0.19,-0.636,-0.268,72.025,182,185,81,27,66,256
"Ben Crane",-1.113,279.4,0.297,-0.324,-0.668,-0.121,71.602,155,180,75,41,71,256
"Martin Trainer",-1.217,303.5,-0.077,-1.268,-0.006,0.058,72.262,188,185,80,49,93,311
"Satoshi Kodaira",-1.258,282.4,-0.463,-0.399,-0.392,-0.467,72.837,197,170,68,34,85,391
"Michael Kim",-1.809,278,-0.169,-0.466,-1.545,0.202,73.519,198,180,75,53,107,289
