"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Rory McIlroy",2.393,315.3,0.318,0.843,1.241,0.308,69.129,2,178,73,42,80,362
"Justin Thomas",1.829,301.8,-0.327,0.952,0.506,0.371,69.701,9,178,72,41,80,335
"Hideki Matsuyama",1.767,304.9,-0.046,1.005,0.436,0.326,69.795,12,180,90,63,119,480
"Patrick Cantlay",1.762,307.3,0.425,0.747,0.645,0.369,69.095,1,183,86,46,83,335
"Dustin Johnson",1.729,312.1,0.39,0.697,0.825,0.207,69.35,3,193,86,39,61,310
"Adam Scott",1.701,299.6,0.454,0.786,0.43,0.486,69.555,7,183,82,41,73,226
"Paul Casey",1.614,297.9,-0.141,0.696,0.717,0.2,69.867,14,178,82,40,98,377
"Gary Woodland",1.387,309.7,-0.038,0.676,0.613,0.098,69.937,18,185,88,49,102,435
"Byeong Hun An",1.367,307.9,-0.668,0.382,0.351,0.634,70.66,51,188,95,65,118,395
"Corey Conners",1.273,296.2,-0.702,0.704,0.681,-0.113,70.998,99,183,86,58,114,454
"Brooks Koepka",1.27,309.1,0.015,0.734,0.457,0.079,69.539,6,183,92,35,59,365
"Sergio Garcia",1.247,303.7,-0.129,0.911,0.403,-0.067,69.981,21,178,82,29,65,256
"Matt Kuchar",1.2,290.8,0.39,0.783,0.272,0.144,69.507,5,193,88,45,73,502
"Xander Schauffele",1.19,304.6,0.41,0.426,0.602,0.162,69.782,11,178,79,56,104,329
"Jon Rahm",1.187,306.7,0.234,0.276,0.769,0.141,69.853,13,188,99,43,85,317
"Tommy Fleetwood",1.144,298.7,0.289,0.355,0.512,0.277,69.9,17,180,76,46,72,297
"Emiliano Grillo",1.065,296,-0.541,0.904,0.432,-0.271,70.588,45,175,64,55,113,454
"Webb Simpson",1.052,287.2,0.463,0.63,0.059,0.362,69.442,4,188,84,61,99,458
"Henrik Stenson",1.032,284.8,0.015,1.245,-0.263,0.05,70.17,23,188,86,30,66,381
"Kevin Streelman",1.024,291.9,-0.253,0.504,0.397,0.123,70.719,59,178,79,66,129,607
"Justin Rose",0.94,305.2,0.778,0.542,0.294,0.104,69.597,8,191,88,53,86,265
"Jim Furyk",0.935,275.6,0.288,0.778,-0.014,0.171,69.729,10,188,84,37,73,461
"Lucas Glover",0.934,294.3,0.293,0.391,0.296,0.247,69.96,19,188,88,53,96,548
"Keegan Bradley",0.933,299.3,-0.428,0.84,0.181,-0.088,70.56,41,191,86,45,96,509
"Joaquin Niemann",0.907,300.1,-0.368,0.474,0.306,0.127,70.745,65,183,69,73,144,538
"Matthew Fitzpatrick",0.902,286.5,-0.18,0.341,0.369,0.192,70.871,81,178,70,39,81,320
"Jason Day",0.889,303.1,0.378,0.172,0.648,0.069,69.889,16,183,88,44,84,336
"Chez Reavie",0.881,287,0.176,0.603,0.222,0.056,70.184,24,175,73,56,111,517
"Russell Knox",0.83,288.9,-0.126,0.594,0.04,0.196,70.473,32,178,72,55,89,487
"Sungjae Im",0.826,294.5,0.2,0.142,0.39,0.294,70.264,26,183,90,72,155,718
"Rickie Fowler",0.786,304.4,0.473,0.335,0.281,0.17,69.881,15,175,68,64,119,442
"Charles Howell III",0.743,301.6,0.214,0.03,0.303,0.41,70.498,34,180,70,55,116,475
"Marc Leishman",0.725,296.6,0.253,0.556,0.011,0.157,70.341,28,188,91,58,104,366
"Tyrrell Hatton",0.709,296.3,-0.029,0.136,0.181,0.392,70.717,58,175,73,47,86,287
"Bubba Watson",0.682,312.3,-0.376,-0.127,0.896,-0.087,70.781,68,191,82,43,83,363
"Bud Cauley",0.682,293,-0.134,0.211,-0.193,0.664,70.66,51,170,73,73,123,548
"Dylan Frittelli",0.668,295.9,-0.281,0.224,0.282,0.163,70.831,76,188,81,51,107,448
"Hank Lebioda",0.664,293.6,-0.252,0.342,0.155,0.168,70.813,73,180,81,40,92,434
"Tony Finau",0.646,311.9,0.001,0.284,0.359,0.002,70.158,22,193,91,58,129,367
"Luke List",0.632,314.2,-0.238,0.018,0.593,0.021,71.059,102,188,86,55,118,371
"Scott Piercy",0.624,292,0.143,0.229,0.303,0.093,70.22,25,183,84,58,115,540
"Ryan Moore",0.623,281.4,0.171,0.517,0.06,0.046,71.091,105,175,77,43,101,527
"Rory Sabbatini",0.616,289.8,0.145,0.007,0.31,0.299,70.551,38,178,75,69,127,584
"Patrick Reed",0.592,295.5,0.146,0.167,0.023,0.403,70.559,40,183,91,64,115,439
"Kevin Tway",0.573,304.1,-0.073,0.211,0.068,0.294,70.807,72,191,84,52,104,387
"Francesco Molinari",0.569,290.5,-0.083,0.141,0.251,0.178,70.699,56,173,72,40,61,331
"Keith Mitchell",0.562,304,-0.126,-0.044,0.726,-0.12,70.945,90,185,84,62,122,414
"Danny Willett",0.551,293.8,-0.128,0.416,-0.048,0.182,71.083,104,180,77,50,95,332
"Troy Merritt",0.543,293.1,0.097,0.287,-0.003,0.283,70.781,68,183,73,32,64,407
"Aaron Wise",0.519,304.5,-0.197,-0.083,0.506,0.096,70.853,77,185,82,34,72,399
"Charley Hoffman",0.513,295.6,-0.126,0.423,0.28,-0.19,71.262,125,183,91,42,110,328
"Louis Oosthuizen",0.499,295.9,0.159,-0.144,0.163,0.481,70.51,35,178,82,52,88,298
"Abraham Ancer",0.488,293.1,0.019,-0.005,0.548,-0.055,70.626,48,170,70,53,116,548
"Ryan Palmer",0.487,297.4,0.197,0.468,0.288,-0.27,70.379,29,180,79,39,92,322
"Zach Johnson",0.467,286.2,-0.016,0.297,-0.003,0.172,70.697,55,180,74,51,94,399
