"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Rory McIlroy",2.356,314.4,0.285,0.897,1.284,0.175,69.443,3,178,73,36,64,267
"Justin Thomas",1.936,302.2,0.138,1.022,0.415,0.499,69.512,4,178,72,34,62,226
"Dustin Johnson",1.76,308.8,0.79,0.668,0.839,0.252,69.195,1,193,86,33,49,233
"Hideki Matsuyama",1.716,305.8,-0.172,0.897,0.405,0.414,69.932,18,180,90,54,100,334
"Patrick Cantlay",1.612,308.8,0.324,0.682,0.605,0.324,69.361,2,183,86,32,63,226
"Paul Casey",1.556,298.6,-0.26,0.632,0.683,0.241,70.127,22,178,82,37,88,296
"Gary Woodland",1.555,310.4,-0.256,0.541,0.786,0.228,69.916,16,185,88,40,87,341
"Tommy Fleetwood",1.478,300,0.116,0.382,0.808,0.287,69.968,19,180,76,39,59,221
"Corey Conners",1.448,295,-0.625,0.829,0.603,0.016,70.872,80,183,86,47,98,336
"Brooks Koepka",1.397,308.7,0.128,0.791,0.584,0.021,69.512,4,183,92,30,50,227
"Sergio Garcia",1.379,302.3,0.042,1.11,0.373,-0.105,69.793,12,178,82,27,55,208
"Matt Kuchar",1.345,291.5,0.212,0.953,0.295,0.096,69.59,6,193,88,34,56,409
"Byeong Hun An",1.344,307.8,-0.862,0.45,0.319,0.576,70.802,71,188,95,51,93,271
"Keegan Bradley",1.284,298.9,-0.828,1.103,0.189,-0.008,70.733,59,191,86,36,75,362
"Bubba Watson",1.223,310.7,-0.492,0.153,1.012,0.058,70.598,41,191,82,31,60,269
"Lucas Glover",1.155,295.4,0.241,0.533,0.308,0.314,69.811,13,188,88,41,81,433
"Webb Simpson",1.135,287,0.139,0.64,0.073,0.421,69.736,9,188,84,51,84,387
"Luke List",1.126,314.4,-0.256,0.267,0.725,0.133,70.635,46,188,86,49,101,309
"Emiliano Grillo",1.112,297.5,-0.62,0.855,0.448,-0.19,70.632,45,175,64,45,88,329
"Xander Schauffele",1.07,304.6,0.327,0.457,0.45,0.163,69.894,14,178,79,50,92,246
"Adam Scott",1.031,300.6,0.582,0.248,0.426,0.356,69.914,15,183,82,35,61,149
"Jon Rahm",0.984,306.9,0.248,0.183,0.801,0,70.019,20,188,99,38,77,284
"Keith Mitchell",0.983,301.9,-0.292,0.356,0.734,-0.106,70.754,62,185,84,49,98,313
"Jim Furyk",0.977,275.2,0.261,0.74,0.004,0.232,69.703,8,188,84,29,55,336
"Henrik Stenson",0.947,288.8,-0.231,1.296,-0.334,-0.015,70.544,36,188,86,22,48,242
"Jason Day",0.931,304.4,0.692,0.036,0.75,0.145,69.784,11,183,88,34,67,198
"Sungjae Im",0.882,293.7,0.052,0.236,0.424,0.222,70.412,29,183,90,57,126,527
"Russell Knox",0.874,290.8,-0.258,0.562,0.168,0.144,70.573,39,178,72,45,77,408
"Talor Gooch",0.874,296,0.224,0.957,-0.039,-0.043,70.041,21,183,91,26,48,199
"Charles Howell III",0.868,300.7,0.305,0.138,0.375,0.354,70.354,24,180,70,40,88,350
"Matthew Fitzpatrick",0.836,287.7,-0.047,0.278,0.498,0.06,70.845,76,178,70,34,69,235
"Justin Rose",0.83,307.3,0.633,0.556,0.279,-0.005,69.74,10,191,88,37,60,194
"Kevin Streelman",0.789,291.8,-0.357,0.289,0.518,-0.018,71.077,98,178,79,52,107,455
"Tony Finau",0.772,312.4,0.156,0.406,0.453,-0.087,69.918,17,193,91,51,116,291
"Rickie Fowler",0.731,304.1,0.618,0.303,0.284,0.144,69.682,7,175,68,49,92,340
"D.J. Trahan",0.724,299.4,-0.297,0.001,0.583,0.14,70.812,72,191,84,22,42,119
"Bud Cauley",0.721,292.8,-0.126,0.181,-0.171,0.711,70.606,42,170,73,53,97,409
"Rory Sabbatini",0.697,290.3,0.053,0.057,0.327,0.314,70.501,33,178,75,52,98,437
"Joaquin Niemann",0.688,299.9,-0.677,0.392,0.278,0.018,71.244,115,183,69,53,111,346
"Marc Leishman",0.68,296.2,-0.016,0.679,0.059,-0.059,70.649,47,188,91,40,80,257
"Ryan Moore",0.668,282.6,0.277,0.531,0.096,0.041,71.145,105,175,77,37,83,391
"Hank Lebioda",0.665,292.1,-0.452,0.156,0.262,0.247,71.157,107,180,81,33,78,307
"Aaron Wise",0.662,304.1,-0.301,-0.114,0.608,0.169,70.78,64,185,82,26,59,298
"Zach Johnson",0.658,286.2,-0.189,0.456,-0.059,0.261,70.795,70,180,74,43,81,318
"Dylan Frittelli",0.625,295,-0.162,0.216,0.376,0.032,70.873,81,188,81,42,88,327
"Louis Oosthuizen",0.607,299.7,-0.177,-0.167,0.222,0.551,70.717,56,178,82,36,61,174
"Scott Piercy",0.603,290,0.224,0.205,0.365,0.033,70.204,23,183,84,48,100,451
"Matt Jones",0.595,293.9,0.215,-0.113,0.413,0.295,70.784,67,183,77,58,110,345
"Tyrrell Hatton",0.583,298.5,-0.081,-0.053,0.211,0.425,70.817,73,175,73,39,67,209
"Sung Kang",0.572,298.1,0.312,0.282,0.215,0.074,70.41,28,173,75,66,115,432
"Chez Reavie",0.553,286.6,0.129,0.488,0.143,-0.078,70.508,35,175,73,49,100,404
"Kevin Na",0.528,290.7,0.106,0.378,-0.18,0.328,70.91,82,180,76,49,89,287
"Kevin Tway",0.525,303.9,-0.216,0.147,-0.007,0.385,71.119,102,191,84,47,91,300
"Trey Mullinax",0.498,308.1,-0.42,0.409,0.277,-0.188,70.989,92,193,88,43,91,355
"Abraham Ancer",0.497,294.5,-0.021,-0.048,0.542,0.004,70.676,51,170,70,41,95,419
"Ryan Palmer",0.49,296.8,0.184,0.473,0.268,-0.251,70.475,31,180,79,39,90,292
"Harold Varner III",0.482,302.8,-0.231,-0.031,0.458,0.055,70.74,61,173,77,41,77,383
"Charley Hoffman",0.471,294.1,0.213,0.461,0.278,-0.268,71.136,104,183,91,34,95,262
"Matt Every",0.47,294.2,0.33,0.281,0.062,0.128,70.397,26,180,86,31,59,188
"Phil Mickelson",0.441,306.9,-0.08,0.08,0.137,0.224,70.506,34,191,91,35,63,182
"Ian Poulter",0.44,292.5,0.202,0.011,0.195,0.233,70.544,36,185,86,45,78,276
"Rafa Cabrera Bello",0.434,289.1,0.295,0.246,0.248,-0.06,70.485,32,188,81,57,114,290
"Joel Dahmen",0.425,292.2,-0.072,0.246,0.255,-0.076,70.685,52,180,80,58,114,469
"Brian Stuard",0.406,275.2,0.137,0.346,-0.225,0.284,70.978,91,178,79,54,101,493
"Brandt Snedeker",0.383,286.8,0.581,-0.052,-0.189,0.624,70.989,92,185,84,74,120,374
"Troy Merritt",0.359,294.6,0.193,0.254,-0.037,0.176,70.928,85,183,73,28,50,281
"Francesco Molinari",0.353,291.1,0.004,0.035,0.243,0.075,70.959,90,173,72,32,52,244
"Russell Henley",0.348,286.2,-0.28,0.14,0.112,0.096,71.091,101,183,82,39,90,379
"Sebastián Muñoz",0.332,297.7,-0.186,-0.06,0.033,0.359,71.256,119,183,83,47,100,294
"Scott Stallings",0.317,294,-0.317,0.355,0.026,-0.065,71.551,144,183,88,42,97,324
"Cameron Smith",0.296,296.3,0.473,0.369,-0.386,0.313,70.734,60,180,78,49,82,231
"Si Woo Kim",0.296,293.8,0.325,-0.062,-0.114,0.473,70.616,43,180,83,68,116,288
"Cameron Davis",0.287,307.3,-0.334,0.263,0.162,-0.138,71.246,117,193,82,33,66,270
"Chris Kirk",0.28,283.2,-0.541,0.19,-0.18,0.27,71.629,151,191,79,50,85,295
"Branden Grace",0.278,296.9,-0.47,0.141,0.075,0.063,71.65,157,178,78,45,88,264
"J.B. Holmes",0.275,304.2,-0.297,0.176,0.128,-0.029,71.647,155,180,86,44,81,158
"Kramer Hickok",0.26,287.7,-0.581,-0.232,0.358,0.134,71.287,121,180,80,41,88,373
"Jimmy Walker",0.251,298.4,-0.208,0.154,-0.163,0.26,71.342,125,188,82,68,114,299
"Max Homa",0.243,300.2,0.222,0.227,0.3,-0.285,70.782,66,185,82,46,105,331
"Michael Thompson",0.233,285.3,0.419,0.053,0.089,0.091,70.456,30,183,83,65,112,433
"Roberto Castro",0.222,282.4,-0.42,0.353,-0.3,0.17,71.367,129,183,77,30,66,327
"Nate Lashley",0.21,285.7,0.38,0.555,-0.254,-0.091,70.727,57,183,86,27,54,261
"Nick Watney",0.208,298.6,-0.109,0.156,-0.02,0.072,70.953,89,188,82,56,111,329
"Josh Teater",0.193,289.2,-0.366,0.385,-0.094,-0.097,71.523,140,178,82,27,72,222
"Danny Willett",0.19,292,-0.338,0.43,-0.145,-0.094,71.678,162,180,77,32,71,226
"Jason Dufner",0.182,287.1,-0.733,-0.041,0.05,0.173,71.691,163,178,82,52,105,305
"Sam Ryder",0.177,294.7,0.439,0.234,0.066,-0.122,71.025,95,188,79,59,90,305
"Kyoung-Hoon Lee",0.172,286.4,-0.055,0.087,0.182,-0.097,71.223,112,175,80,59,113,369
"Patrick Reed",0.172,294.7,0.221,-0.155,-0.022,0.35,70.924,83,183,91,52,99,290
"Patrick Rodgers",0.163,299.3,0.421,-0.045,0.131,0.078,71.177,110,188,83,40,85,297
"Adam Schenk",0.144,298.5,0.402,0.339,0.056,-0.251,70.847,77,188,86,47,101,427
"J.T. Poston",0.134,293.5,0.196,0.091,0.042,0.001,70.699,54,188,74,74,145,497
"James Hahn",0.126,290.4,-0.507,-0.076,0.043,0.159,71.655,158,185,82,20,36,137
"Kevin Kisner",0.119,286.7,0.357,0.136,0.304,-0.322,70.67,50,178,75,45,102,363
"Billy Horschel",0.117,290.4,0.325,0.077,-0.038,0.078,70.996,94,183,79,50,104,347
"Jonas Blixt",0.115,288.2,0.274,0.03,0.127,-0.043,70.727,57,178,74,41,95,421
"Adam Hadwin",0.11,291.2,-0.018,-0.121,0.446,-0.216,70.651,49,173,75,56,103,338
"Ryan Armour",0.109,276.4,-0.135,-0.068,-0.032,0.209,71.051,96,175,77,60,104,416
"Carlos Ortiz",0.096,299.1,0.087,-0.023,0.295,-0.176,71.159,108,183,68,41,89,371
"Danny Lee",0.086,300.9,-0.063,0.294,-0.129,-0.078,70.788,69,180,79,62,104,359
"Daniel Berger",0.082,297.2,-0.067,-0.012,0.334,-0.24,70.754,62,185,79,49,94,337
"Bill Haas",0.068,288.4,-0.105,-0.233,-0.068,0.37,71.295,122,188,84,42,85,348
"Adam Long",0.061,293.1,-0.141,0.04,0.075,-0.053,71.244,115,178,73,43,83,364
"Davis Love III",0.03,288.2,-0.449,0.603,-0.372,-0.201,71.647,155,191,79,24,40,159
"Scott Brown",0.009,286.9,-0.006,-0.224,0.276,-0.043,71.077,98,173,77,59,108,376
"J.J. Spaun",0.007,290.2,0.01,0.084,-0.013,-0.063,71.173,109,175,83,38,78,344
"Jim Knous",-0.046,296.5,-0.335,0.196,0.082,-0.324,71.63,152,185,81,31,76,247
"Martin Kaymer",-0.049,291.9,-0.124,0.079,-0.215,0.087,71.415,132,183,75,37,57,244
"Cameron Tringale",-0.073,294.1,0.142,0.248,-0.282,-0.039,71.351,127,188,84,36,67,226
"Chesson Hadley",-0.074,297,0.154,0.367,-0.195,-0.247,71.457,135,193,73,47,91,300
"Andrew Landry",-0.098,285.4,-0.314,0.065,0.275,-0.438,71.756,167,170,68,35,75,395
"Cameron Champ",-0.105,316.8,0.325,-0.189,0.764,-0.68,70.784,67,183,79,29,80,337
"Nick Taylor",-0.107,289.7,0.394,-0.207,0.049,0.05,70.933,87,183,77,53,115,445
"Shawn Stefani",-0.12,292.9,-0.12,0.26,-0.372,-0.007,71.243,114,188,93,41,76,306
"Aaron Baddeley",-0.146,287.6,0.52,-0.072,-0.509,0.436,70.713,55,183,80,48,83,256
"Hudson Swafford",-0.147,295.2,-0.014,0.156,-0.067,-0.236,71.362,128,191,91,53,95,352
"Ernie Els",-0.16,283.1,0.243,-0.199,-0.388,0.427,71.241,113,191,95,44,66,201
"Kyle Stanley",-0.16,289.7,-0.426,-0.005,-0.059,-0.097,71.611,148,180,75,43,88,256
"Brendan Steele",-0.172,305.6,-0.659,-0.322,0.629,-0.479,72.221,189,188,79,27,76,285
"Peter Malnati",-0.174,289.8,0.606,0.104,-0.349,0.07,70.781,65,178,72,46,93,336
"Roger Sloan",-0.175,295.4,-0.175,0.002,-0.084,-0.093,71.442,134,188,79,61,109,354
"Vaughn Taylor",-0.206,281.8,0.724,0.157,-0.301,-0.062,70.65,48,183,73,67,119,499
"Tom Hoge",-0.207,287.5,-0.198,0.344,-0.385,-0.166,71.87,174,185,79,52,106,375
"Mackenzie Hughes",-0.212,294.5,-0.218,-0.117,-0.239,0.144,71.305,123,185,82,41,91,293
"Lucas Bjerregaard",-0.214,311,-0.119,-0.063,0.314,-0.465,71.698,164,188,83,24,52,162
"Denny McCarthy",-0.218,290.1,0.85,-0.359,0.085,0.056,70.688,53,175,75,42,89,387
"Fabián Gómez",-0.228,288,-0.201,-0.363,0.141,-0.005,71.866,173,173,74,31,65,263
"Martin Laird",-0.244,294.3,0.316,-0.163,-0.119,0.038,71.122,103,188,86,42,87,367
"Pat Perez",-0.256,285.4,0.701,0.109,-0.541,0.176,71.051,96,183,86,30,67,214
"Brice Garnett",-0.277,285.6,-0.354,-0.304,0.178,-0.152,71.436,133,180,79,36,90,348
"Bronson Burgoon",-0.289,291.4,-0.416,-0.054,-0.089,-0.146,71.547,143,188,86,39,78,238
"Andrew Putnam",-0.295,281.9,0.746,0.227,-0.692,0.171,70.837,74,185,77,50,81,255
"Alex Noren",-0.306,299.6,-0.164,-0.373,0.008,0.058,71.489,138,180,75,36,88,201
"Brian Harman",-0.329,285.9,-0.009,-0.766,0.281,0.156,71.811,171,170,68,62,103,371
"Robert Streb",-0.357,288.4,-0.2,-0.187,-0.306,0.136,71.901,176,178,75,41,89,321
"J.J. Henry",-0.37,286.3,-0.526,-0.088,-0.083,-0.199,71.959,180,191,91,27,66,216
"Sam Burns",-0.383,307,0.507,-0.269,0.238,-0.352,70.928,85,185,83,45,111,408
"Harris English",-0.398,299.4,0.488,-0.3,-0.19,0.091,71.286,120,191,84,61,119,443
"Tyler Duncan",-0.398,285.8,-0.8,-0.208,0.161,-0.351,71.949,179,173,68,39,85,402
"Wes Roach",-0.4,290.2,-0.082,-0.585,0.054,0.131,71.936,178,191,84,22,62,228
"Austin Cook",-0.401,289.1,-0.26,-0.175,0.076,-0.302,71.328,124,170,73,52,106,269
"John Senden",-0.406,283.4,-0.26,0.04,-0.34,-0.106,72.15,186,193,91,26,49,207
"Richy Werenski",-0.424,289.3,0.213,-0.241,-0.008,-0.176,71.208,111,183,74,46,104,413
"Graeme McDowell",-0.426,285.7,0.732,-0.079,-0.369,0.022,70.62,44,178,73,57,107,310
"Ryan Blaum",-0.443,287.5,0.13,-0.333,-0.041,-0.068,71.491,139,173,75,57,115,456
"Alex Cejka",-0.449,275.7,-0.56,-0.067,-0.004,-0.378,72.493,196,178,77,27,66,229
"Jordan Spieth",-0.449,295.5,0.819,-0.073,-0.495,0.118,70.571,38,185,79,41,85,286
"Peter Uihlein",-0.457,296.6,0.482,-0.266,-0.288,0.097,71.535,142,185,86,57,104,250
"Wyndham Clark",-0.492,311,0.619,-0.667,0.11,0.064,70.843,75,183,78,54,102,325
"Kelly Kraft",-0.548,288.6,-0.021,-0.044,-0.346,-0.158,71.345,126,183,79,54,108,335
"Jim Herman",-0.567,288.5,-0.425,-0.179,0.094,-0.482,72.29,192,183,77,24,61,237
"Brian Gay",-0.575,273,0.645,-0.525,-0.23,0.18,71.145,105,178,75,62,125,510
"Patton Kizzire",-0.599,294,0.508,-0.077,-0.482,-0.04,71.37,130,196,98,51,98,281
"Rod Pampling",-0.609,284.9,-1.351,-0.702,-0.13,0.223,72.959,203,178,79,40,85,196
"Beau Hossler",-0.616,295.5,0.502,-0.511,-0.055,-0.05,71.376,131,185,88,66,127,377
"Hunter Mahan",-0.642,293.2,0.115,-0.615,0.421,-0.448,71.777,169,180,79,41,87,291
"David Hearn",-0.654,277.4,-0.137,-0.239,-0.055,-0.359,71.778,170,185,77,27,59,206
"Jonathan Byrd",-0.668,281.1,-0.353,-0.11,-0.684,0.125,71.624,150,175,75,25,56,189
"Chris Stroud",-0.669,288.1,0.128,-0.124,-0.578,0.033,71.574,146,188,82,39,80,287
"John Huh",-0.708,282,-0.225,-0.043,-0.377,-0.288,72.122,183,183,86,28,64,227
"Sangmoon Bae",-0.728,293,-0.17,-0.529,0.013,-0.212,72.209,188,183,82,27,54,186
"Stewart Cink",-0.738,291.6,0.508,-0.303,-0.677,0.242,71.614,149,193,93,42,73,150
"Seamus Power",-0.739,293.6,0.019,-0.878,-0.068,0.206,72.222,190,191,91,54,95,339
"Martin Trainer",-0.759,303.9,-0.069,-0.955,-0.011,0.206,71.898,175,185,80,46,86,244
"Ted Potter, Jr.",-0.781,276,-0.483,-0.123,-0.294,-0.364,72.418,195,180,82,52,113,325
"Chris Thompson",-0.794,288.6,-0.327,-0.281,-0.349,-0.164,73.046,204,188,88,25,55,130
"Grayson Murray",-0.809,310,-0.634,-0.631,0.063,-0.241,72.37,194,185,90,31,71,182
"Dominic Bozzelli",-0.966,292.2,0.847,-0.674,-0.214,-0.078,70.95,88,183,81,47,83,239
"Anirban Lahiri",-1.033,289.6,0.233,-0.401,-0.489,-0.143,71.665,161,175,79,51,85,288
"Satoshi Kodaira",-1.206,282.7,-0.573,-0.299,-0.382,-0.526,72.899,201,170,68,29,76,315
"Ben Crane",-1.222,278,0.462,-0.238,-0.843,-0.141,71.64,154,180,75,35,62,197
"Charl Schwartzel",-1.317,291.3,0.407,-0.025,-1.526,0.234,72.177,187,180,73,37,66,85
"Freddie Jacobson",-1.328,283.1,0.082,-0.242,-0.732,-0.353,72.242,191,185,81,24,59,184
"Cody Gribble",-1.391,291.1,-0.062,-0.727,-0.483,-0.181,72.57,199,175,75,31,76,269
"D.A. Points",-1.656,273.3,-0.076,-0.476,-0.721,-0.459,72.914,202,185,88,37,64,151
"Michael Kim",-1.674,275.8,-0.187,-0.34,-1.54,0.206,73.487,205,180,75,47,94,236
