"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Rory McIlroy",2.229,313.7,0.426,0.573,1.314,0.343,69.793,16,178,73,15,25,135
"Justin Thomas",2.115,301.8,0.182,1.21,0.421,0.485,69.202,3,178,72,28,47,193
"Hideki Matsuyama",1.857,313.4,-0.282,1.013,0.494,0.35,69.888,20,180,90,28,48,147
"Sergio Garcia",1.821,302.5,-0.126,1.67,0.191,-0.041,68.972,2,178,82,9,17,95
"Justin Rose",1.775,308.4,0.869,0.704,0.37,0.701,68.948,1,191,88,15,22,37
"Tiger Woods",1.753,304.1,0.168,1.32,-0.123,0.556,69.549,7,185,84,6,17,101
"Dustin Johnson",1.662,304.6,0.878,0.568,0.65,0.443,69.79,15,193,86,15,24,111
"Gary Woodland",1.647,309.5,-0.096,0.811,0.741,0.095,69.66,9,185,88,23,57,235
"Patrick Cantlay",1.645,312.6,0.231,0.596,0.667,0.381,69.54,6,183,86,19,41,147
"Corey Conners",1.513,294,-0.452,0.539,0.655,0.319,70.835,75,183,86,24,43,159
"Byeong Hun An",1.455,310.7,-0.848,0.203,0.288,0.965,70.762,67,188,95,26,45,97
"Paul Casey",1.433,293,-0.289,0.684,0.489,0.26,70.09,25,178,82,23,49,159
"Lucas Glover",1.404,296,0.309,0.705,0.451,0.249,69.513,5,188,88,10,24,227
"Xander Schauffele",1.399,302.6,0.806,0.77,0.416,0.212,69.732,10,178,79,33,56,158
"Luke List",1.381,314.6,-0.076,0.36,0.936,0.085,70.509,48,188,86,23,41,147
"Keith Mitchell",1.321,295.8,-0.795,0.482,0.678,0.16,70.779,69,185,84,32,63,136
"D.J. Trahan",1.294,301.9,-0.083,0.692,0.559,0.043,70.513,49,191,84,14,30,88
"J.B. Holmes",1.2,298.6,0.037,0.456,0.463,0.281,70.726,62,180,86,31,53,93
"Talor Gooch",1.177,296.1,0.297,1.078,-0.015,0.113,69.87,19,183,91,22,36,151
"Jon Rahm",1.152,305,0.158,0.013,1.02,0.119,70.11,29,188,99,21,42,202
"Sungjae Im",1.132,297.1,0.009,0.332,0.592,0.209,70.41,40,183,90,32,75,292
"Webb Simpson",1.131,285.9,0.102,0.76,-0.171,0.543,69.825,17,188,84,25,37,217
"Brooks Koepka",1.104,311.8,-0.277,0.832,0.312,-0.04,69.913,22,183,92,14,24,106
"Matt Kuchar",1.098,292.1,0.077,0.679,0.187,0.233,69.768,12,193,88,19,32,259
"Keegan Bradley",1.08,298.2,-0.923,0.88,0.285,-0.084,70.761,66,191,86,20,42,222
"Tommy Fleetwood",1.076,303.9,0.111,0.253,0.447,0.377,70.094,26,180,76,18,25,81
"Zach Johnson",1.051,285.7,-0.13,0.665,0.091,0.295,70.209,33,180,74,12,24,140
"Ian Poulter",0.99,299,0.107,0.345,0.095,0.55,70.401,39,185,86,18,27,118
"Emiliano Grillo",0.951,300.7,-1.064,0.822,0.433,-0.304,70.745,64,175,64,30,55,184
"Marc Leishman",0.948,296.3,0.187,0.819,0.217,-0.088,70.059,24,188,91,27,47,164
"Charles Howell III",0.935,301.4,0.784,0.055,0.423,0.456,70.022,23,180,70,24,49,222
"Tony Finau",0.928,311,0.153,0.36,0.555,0.014,69.776,13,193,91,24,52,153
"Phil Mickelson",0.926,306.4,0.198,0.477,0.362,0.087,69.781,14,191,91,12,28,118
"Bubba Watson",0.923,318.5,-0.487,-0.011,1.073,-0.14,70.898,84,191,82,14,25,153
"Matt Every",0.908,290.4,0.65,0.197,0.261,0.45,69.909,21,180,86,19,29,85
"Jim Furyk",0.892,272.1,0.231,0.627,0.039,0.226,69.618,8,188,84,10,21,148
"Joaquin Niemann",0.862,297.6,-0.976,0.559,0.426,-0.123,71.34,126,183,69,27,60,199
"Jason Day",0.86,298.8,0.84,-0.155,0.78,0.235,70.095,27,183,88,14,27,92
"Tyrrell Hatton",0.842,306.7,0.013,-0.691,0.575,0.957,70.48,45,175,73,20,29,75
"Roberto Castro",0.837,281.9,-0.025,0.953,-0.274,0.158,70.714,59,183,77,16,39,222
"Harold Varner III",0.822,302.2,0.04,0.172,0.458,0.191,70.151,30,173,77,20,40,223
"Michael Thompson",0.81,287.6,0.643,0.54,0.195,0.074,69.828,18,183,83,33,61,217
"Russell Knox",0.806,292.9,-0.296,0.559,-0.09,0.337,70.821,74,178,72,25,41,203
"Kevin Streelman",0.791,288.7,-0.693,0.195,0.583,0.013,71.519,138,178,79,26,55,246
"Branden Grace",0.762,303,-0.194,0.207,0.435,0.12,71.436,134,178,78,19,37,104
"Cameron Smith",0.699,298.6,0.649,0.557,-0.372,0.513,70.291,35,180,78,35,57,155
"Rickie Fowler",0.685,305.6,0.934,0.132,0.421,0.133,69.237,4,175,68,18,36,168
"Kevin Tway",0.685,306.9,-0.064,0.024,0.143,0.517,71.186,109,191,84,28,52,171
"Trey Mullinax",0.685,304.7,-0.502,0.284,0.41,-0.009,70.762,67,193,88,32,59,198
"Abraham Ancer",0.654,297.8,0.048,0.283,0.439,-0.069,70.59,53,170,70,24,48,190
"Danny Willett",0.65,294.2,-0.227,0.717,-0.254,0.186,71.52,140,180,77,14,30,104
"Ryan Palmer",0.648,300.1,0.373,0.781,0.161,-0.293,70.434,43,180,79,28,62,137
"Bud Cauley",0.63,292.9,0.172,0.159,-0.138,0.609,70.415,42,170,73,27,44,200
"Hank Lebioda",0.617,288.5,-0.559,0.036,0.19,0.391,71.149,103,180,81,21,49,190
"Chez Reavie",0.616,288.7,-0.148,0.74,0.112,-0.236,70.797,71,175,73,33,70,216
"Rafa Cabrera Bello",0.557,292.8,0.705,0.215,0.078,0.263,70.167,31,188,81,24,48,84
"Dylan Frittelli",0.547,291.9,-0.091,0.073,0.444,0.03,71.11,101,188,81,24,48,186
