"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Ryan Moore",0.514,287.6,0.757,0.518,0.148,-0.152,71.581,147,175,77,21,45,140
"Sebastián Muñoz",0.486,296.8,-0.426,-0.14,0.193,0.433,71.288,120,183,83,39,78,200
"Nate Lashley",0.478,283.7,0.732,0.68,-0.153,-0.049,70.453,44,183,86,13,31,132
"Scott Piercy",0.461,288,-0.188,0.215,0.283,-0.037,70.556,51,183,84,25,53,232
"Adam Scott",0.46,299.7,0.691,0.503,0.262,-0.304,70.195,32,183,82,23,39,87
"Charley Hoffman",0.436,289.2,-0.155,-0.076,0.472,0.041,72.09,176,183,91,13,41,77
"Chesson Hadley",0.404,298.2,0.365,0.859,-0.147,-0.308,71.376,130,193,73,27,50,137
"Russell Henley",0.401,287.4,-0.317,0.141,0.328,-0.068,70.981,90,183,82,21,52,212
"Si Woo Kim",0.399,294.9,0.996,-0.08,-0.041,0.521,70.107,28,180,83,37,68,163
"Matt Jones",0.385,293.8,0.118,-0.054,0.385,0.055,71.261,118,183,77,32,59,200
"Patrick Rodgers",0.368,298.7,0.598,0.105,0.164,0.098,70.857,78,188,83,30,65,229
"Scott Brown",0.356,284,0.334,-0.004,0.093,0.268,70.577,52,173,77,37,59,213
"Scott Stallings",0.353,293.9,-0.683,0.653,-0.027,-0.273,71.948,173,183,88,19,44,154
"Cameron Champ",0.337,316.3,0.571,0.142,0.836,-0.64,70.367,38,183,79,19,50,238
"Kyoung-Hoon Lee",0.324,281,0.087,0.34,0.176,-0.192,71.272,119,175,80,32,62,195
"Kevin Na",0.319,300.3,-0.385,0.302,-0.501,0.518,71.519,138,180,76,32,56,104
"J.T. Poston",0.314,293.4,0.331,0.292,-0.003,0.024,70.317,36,188,74,41,75,257
"Louis Oosthuizen",0.306,316.3,-0.225,0.388,-0.342,0.261,70.723,61,178,82,13,23,53
"Bill Haas",0.301,288,-0.22,-0.232,-0.093,0.626,71.43,133,188,84,25,50,180
"Josh Teater",0.3,286.1,-0.593,0.238,-0.118,0.179,71.668,154,178,82,16,42,118
"Sam Ryder",0.294,294.6,0.496,0.376,-0.032,-0.05,70.845,77,188,79,43,66,198
"Sung Kang",0.288,294.8,-0.176,0.188,-0.057,0.158,70.922,85,173,75,38,64,197
"Troy Merritt",0.264,296.6,0.327,-0.209,-0.043,0.516,71.16,104,183,73,19,31,164
"Aaron Wise",0.249,303.9,-0.326,-0.135,0.418,-0.034,71.161,105,185,82,12,28,141
"Adam Schenk",0.238,297.7,0.392,0.294,0.136,-0.191,70.809,72,188,86,30,63,254
"Davis Love III",0.213,288.2,-0.245,0.749,-0.472,-0.064,71.229,113,191,79,21,32,145
"Jonathan Byrd",0.207,277.2,0.279,0.589,-0.564,0.182,70.893,83,175,75,13,27,114
"Kramer Hickok",0.181,286.4,-0.773,-0.342,0.432,0.091,71.599,149,180,80,25,48,220
"Aaron Baddeley",0.172,287,0.345,0.047,-0.153,0.279,70.617,57,183,80,16,33,145
"Danny Lee",0.171,303.7,0.043,0.427,0.146,-0.402,70.498,47,180,79,27,46,183
"Chris Kirk",0.168,283.6,-0.629,0.387,-0.5,0.281,71.609,150,191,79,36,57,173
"Daniel Berger",0.161,297,-0.01,-0.18,0.533,-0.192,70.273,34,185,79,19,33,86
"Fabián Gómez",0.151,286.6,-0.13,-0.156,0.29,0.017,71.36,128,173,74,23,46,173
"James Hahn",0.126,290.4,-0.507,-0.076,0.043,0.159,71.655,152,185,82,20,36,137
"Beau Hossler",0.114,297,0.342,-0.196,0.129,0.181,71.23,114,185,88,32,60,140
"Cameron Davis",0.104,306.9,0.006,0.307,0.089,-0.293,71.047,96,193,82,27,50,186
"Brian Stuard",0.088,273.5,0.22,0.009,-0.364,0.444,71.298,123,178,79,37,66,271
"Joel Dahmen",0.088,293.1,-0.187,-0.074,0.203,-0.04,70.958,88,180,80,35,64,218
"Nick Watney",0.084,297.1,-0.083,0.093,0.042,-0.05,71.042,95,188,82,31,66,175
"Patrick Reed",0.079,295.5,0.967,-0.26,0.046,0.294,70.341,37,183,91,29,53,131
"Stewart Cink",0.077,293.8,0.354,-0.431,-0.128,0.636,71.03,94,193,93,29,49,97
"Ernie Els",0.049,278.7,0.448,-0.017,-0.15,0.216,70.973,89,191,95,33,42,113
"J.J. Spaun",0.008,288,0.231,0.128,-0.069,-0.051,71.07,98,175,83,24,49,170
"Harris English",-0.01,298.9,0.323,-0.155,-0.043,0.188,71.003,92,191,84,32,59,246
"Bronson Burgoon",-0.031,292.1,-0.596,0.03,0.138,-0.199,71.51,136,188,86,25,50,148
"Robert Streb",-0.039,288.5,-0.264,0.135,-0.288,0.114,71.656,153,178,75,24,57,216
"Tom Hoge",-0.051,286.6,-0.024,0.424,-0.325,-0.15,71.842,166,185,79,28,54,201
"Max Homa",-0.058,297,0.193,0.275,0.124,-0.456,71.172,107,185,82,26,61,203
"Kevin Kisner",-0.072,289,0.663,0.157,0.254,-0.483,70.497,46,178,75,21,45,169
"Adam Hadwin",-0.073,292.1,0.022,-0.121,0.517,-0.47,70.516,50,173,75,33,57,160
"Carlos Ortiz",-0.075,301,0.262,-0.033,0.228,-0.27,71.181,108,183,68,22,51,227
"Jim Knous",-0.083,294.5,-0.318,0.125,0.076,-0.283,71.749,161,185,81,20,50,153
"Peter Malnati",-0.088,288.1,0.514,0.148,-0.365,0.129,70.93,86,178,72,28,51,182
"Brendan Steele",-0.094,303.5,-1.233,-0.23,0.653,-0.516,72.47,199,188,79,15,38,131
"Nick Taylor",-0.098,290.2,0.416,-0.225,0.151,-0.024,70.888,82,183,77,28,66,248
"Martin Trainer",-0.12,307.5,-0.322,-0.812,0.545,0.148,71.354,127,185,80,26,47,121
"Denny McCarthy",-0.129,291.7,0.64,-0.369,0.299,-0.06,70.859,79,175,75,21,46,204
"Jimmy Walker",-0.139,295.6,-0.475,-0.246,-0.422,0.529,71.896,167,188,82,27,55,99
"Richy Werenski",-0.143,289.5,0.065,-0.152,0.186,-0.176,70.939,87,183,74,24,50,210
"Brandt Snedeker",-0.148,290.6,0.894,-0.143,-0.473,0.469,71.591,148,185,84,39,64,164
"Ryan Armour",-0.151,272.3,0.383,-0.125,-0.149,0.124,70.818,73,175,77,29,60,214
"Vaughn Taylor",-0.152,282.3,0.615,0.299,-0.334,-0.117,70.679,58,183,73,33,57,246
"Jonas Blixt",-0.161,285.1,0.219,-0.108,0.015,-0.067,71.067,97,178,74,24,58,231
"Andrew Putnam",-0.17,281.3,0.971,0.159,-0.515,0.185,70.869,80,185,77,30,46,134
"Wes Roach",-0.193,288.3,-0.034,-0.444,-0.015,0.266,71.939,171,191,84,16,44,158
"Andrew Landry",-0.194,284.1,-0.338,-0.008,0.266,-0.451,71.793,164,170,68,18,38,229
"Roger Sloan",-0.199,295,0.131,-0.057,0.011,-0.152,71.218,112,188,79,32,59,188
"Graeme McDowell",-0.254,286,0.744,0.232,-0.404,-0.081,70.789,70,178,73,21,41,115
"Hudson Swafford",-0.257,296,0.278,0.13,-0.216,-0.17,71.112,102,191,91,31,52,208
"Cameron Tringale",-0.264,291.6,0.035,0.133,-0.424,0.027,71.514,137,188,84,19,36,125
"Brice Garnett",-0.27,283.9,-0.485,-0.398,0.251,-0.122,71.36,128,180,79,15,40,194
"Patton Kizzire",-0.275,294.2,0.877,0.144,-0.28,-0.139,71.195,111,196,98,32,65,171
"Adam Long",-0.29,291.7,-0.372,-0.016,0.125,-0.399,71.57,146,178,73,13,35,165
"J.J. Henry",-0.319,281.9,-0.814,0.042,-0.155,-0.206,72.214,189,191,91,16,38,105
"Martin Laird",-0.346,293.2,0.454,-0.142,-0.188,-0.016,71.103,100,188,86,22,46,175
"Nicholas Lindheim",-0.351,282.8,0.212,0.056,-0.359,-0.047,71.931,170,188,74,5,16,70
"Wyndham Clark",-0.358,312.4,0.723,-0.768,0.224,0.186,70.613,55,183,78,36,65,199
"Rory Sabbatini",-0.365,290.1,-0.014,-0.264,0.101,-0.201,71.296,122,178,75,21,40,179
"Billy Horschel",-0.365,290.8,0.747,-0.156,-0.3,0.091,70.991,91,183,79,25,50,157
"Ryan Blaum",-0.379,288.5,0.001,-0.188,-0.167,-0.024,71.49,135,173,75,33,68,266
"Francesco Molinari",-0.387,289.6,0.153,-0.129,-0.305,0.047,72.32,194,173,72,5,9,79
"David Hearn",-0.391,275.2,0.045,-0.122,-0.08,-0.188,71.725,160,185,77,16,43,147
"Ted Potter, Jr.",-0.403,271.5,-0.443,0.092,-0.057,-0.438,72.146,185,180,82,28,58,179
"Sangmoon Bae",-0.408,292.8,-0.148,-0.461,0.186,-0.133,72.093,179,183,82,23,46,135
"Dominic Bozzelli",-0.419,292,1.074,-0.215,-0.18,-0.023,70.412,41,183,81,31,52,135
"Kelly Kraft",-0.442,289.7,-0.259,0.128,-0.295,-0.274,71.529,141,183,79,29,56,146
"Jason Dufner",-0.444,284.4,-0.659,-0.51,-0.234,0.3,72.094,180,178,82,31,57,118
"Brian Harman",-0.452,281,-0.15,-1.24,0.349,0.439,72.231,190,170,68,31,52,160
"Jim Herman",-0.458,288.8,-0.478,0.038,0.031,-0.526,72.29,192,183,77,17,38,138
"John Senden",-0.459,282,-0.343,-0.095,-0.431,0.066,72.241,191,193,91,14,29,114
"Chris Stroud",-0.459,284.8,0.732,0.238,-0.888,0.191,71.394,132,188,82,20,37,142
"Chad Campbell",-0.467,269.3,-1.742,-0.344,-0.176,0.052,72.97,210,185,93,12,22,53
"Alex Cejka",-0.479,277,-0.293,-0.144,0.143,-0.479,72.121,183,178,77,18,45,162
"Sam Burns",-0.522,304.6,0.055,-0.297,0.134,-0.359,71.562,145,185,83,21,52,196
"Jordan Spieth",-0.533,298.6,-0.015,0.013,-0.494,-0.052,71.26,117,185,79,15,41,129
"Brian Gay",-0.583,274.3,1.149,-0.594,-0.319,0.331,70.883,81,178,75,33,75,253
"John Huh",-0.597,282,-0.136,0.053,-0.423,-0.226,71.922,168,183,86,27,59,208
"Tyler Duncan",-0.6,286.3,-1.169,-0.309,0.093,-0.383,72.101,181,173,68,28,62,251
"Hunter Mahan",-0.61,293.4,-0.004,-0.478,0.4,-0.532,71.689,155,180,79,27,52,214
"Chris Thompson",-0.625,287.7,-0.165,-0.279,-0.149,-0.198,72.88,208,188,88,18,44,101
"Mackenzie Hughes",-0.635,291.1,-0.537,-0.594,-0.219,0.178,72.162,186,185,82,20,47,140
"Alex Noren",-0.666,309.6,-1.017,-0.439,-0.327,0.1,71.721,159,180,75,24,52,73
"Brandon Hagy",-0.705,312,-0.069,-0.26,0.114,-0.559,72.326,195,180,72,12,30,93
"Kyle Stanley",-0.745,293.8,-0.906,-0.478,-0.304,0.036,72.07,175,180,75,26,54,118
"Charl Schwartzel",-0.747,294.4,0.394,0.373,-1.439,0.318,71.689,155,180,73,23,43,54
"Shawn Stefani",-0.748,291.2,-0.25,-0.432,-0.38,0.065,71.717,158,188,93,27,49,174
"Robert Garrigus",-0.751,293.5,-0.342,0.516,-0.654,-0.614,72.968,209,180,86,10,21,95
"Grayson Murray",-0.807,310.1,-0.462,-0.575,0.08,-0.311,72.481,200,185,90,24,54,156
"Stuart Appleby",-0.816,271,0.631,0.466,-1.007,-0.275,71.539,143,185,84,13,20,59
"Pat Perez",-0.829,282.5,0.64,-0.089,-0.364,-0.375,71.551,144,183,86,14,33,64
"Jamie Lovemark",-0.848,290.4,0.001,-0.576,-0.217,-0.055,71.613,151,193,98,28,46,55
"Austin Cook",-0.868,286.9,-0.322,0.082,-0.202,-0.748,71.23,114,170,73,26,52,110
"Peter Uihlein",-0.869,294.3,0.535,-0.492,-0.26,-0.116,72.177,187,185,86,27,55,118
"Ricky Barnes",-0.885,285.7,-0.622,-0.562,-0.714,0.392,72.793,205,188,91,12,22,53
"Anirban Lahiri",-0.894,293.1,0.313,-0.462,-0.291,-0.141,71.301,124,175,79,23,37,126
"Freddie Jacobson",-0.911,280.8,0.035,0.079,-0.494,-0.496,72.101,181,185,81,16,33,127
"Sean O'Hair",-0.915,294.3,-0.13,-0.572,-0.194,-0.149,71.841,165,188,82,23,35,132
"Satoshi Kodaira",-1.15,282.2,-0.53,-0.282,-0.367,-0.501,72.769,203,170,68,16,41,220
"Cody Gribble",-1.196,287.2,-0.688,-0.62,-0.664,0.088,72.874,207,175,75,20,52,168
"Ben Crane",-1.249,274.8,0.345,-0.583,-0.604,-0.062,71.941,172,180,75,22,39,116
"Chad Collins",-1.347,271.3,0.324,-0.639,-1.061,0.353,73.042,211,175,79,25,42,66
"D.A. Points",-1.39,271.5,-0.208,-0.266,-0.43,-0.693,72.504,201,185,88,21,33,85
"Michael Kim",-1.721,270.5,0.073,-0.212,-1.691,0.181,73.44,213,180,75,25,48,140
"Rod Pampling",-1.804,284.6,-0.851,-1.616,-0.207,0.018,73.307,212,178,79,28,56,87
"Seamus Power",-1.822,291.1,-0.233,-1.871,-0.195,0.243,73.601,214,191,91,27,50,160
