"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Rory McIlroy",2.356,314.4,0.285,0.897,1.284,0.175,69.443,3,178,73,36,64,267
"Justin Thomas",1.936,302.2,0.138,1.022,0.415,0.499,69.512,4,178,72,34,62,226
"Dustin Johnson",1.76,308.8,0.79,0.668,0.839,0.252,69.195,1,193,86,33,49,233
"Hideki Matsuyama",1.716,305.8,-0.172,0.897,0.405,0.414,69.932,19,180,90,54,100,334
"Patrick Cantlay",1.612,308.8,0.324,0.682,0.605,0.324,69.361,2,183,86,32,63,226
"Paul Casey",1.568,298.2,-0.304,0.574,0.714,0.28,70.178,23,178,82,36,86,288
"Gary Woodland",1.555,310.4,-0.256,0.541,0.786,0.228,69.916,17,185,88,40,87,341
"Byeong Hun An",1.528,308.7,-0.864,0.505,0.327,0.696,70.791,67,188,95,50,85,248
"Tommy Fleetwood",1.478,300,0.116,0.382,0.808,0.287,69.968,20,180,76,39,59,221
"Corey Conners",1.47,294.8,-0.616,0.866,0.569,0.034,70.993,84,183,86,41,90,303
"Brooks Koepka",1.397,308.7,0.128,0.791,0.584,0.021,69.512,4,183,92,30,50,227
"Sergio Garcia",1.379,302.3,0.042,1.11,0.373,-0.105,69.793,12,178,82,27,55,208
"Tiger Woods",1.373,299,0.084,0.678,0.161,0.534,69.767,10,185,84,13,30,152
"Matt Kuchar",1.345,291.5,0.212,0.953,0.295,0.096,69.59,6,193,88,34,56,409
"Keegan Bradley",1.284,298.9,-0.828,1.103,0.189,-0.008,70.733,56,191,86,36,75,362
"Bubba Watson",1.223,310.7,-0.492,0.153,1.012,0.058,70.598,38,191,82,31,60,269
"Jon Rahm",1.187,306.6,0.258,0.293,0.892,0.002,69.922,18,188,99,35,70,268
"Xander Schauffele",1.181,304.3,0.349,0.562,0.452,0.167,69.866,14,178,79,44,82,233
"Lucas Glover",1.155,295.4,0.241,0.533,0.308,0.314,69.811,13,188,88,41,81,433
"Webb Simpson",1.135,287,0.139,0.64,0.073,0.421,69.736,9,188,84,51,84,387
"Luke List",1.126,314.4,-0.256,0.267,0.725,0.133,70.635,40,188,86,49,101,309
"Justin Rose",1.085,306.3,0.738,0.711,0.282,0.093,69.649,8,191,88,33,54,163
"Emiliano Grillo",1.069,297.5,-0.678,0.823,0.45,-0.205,70.777,62,175,64,42,83,296
"Matthew Fitzpatrick",1.044,287.1,0.023,0.372,0.552,0.12,70.867,74,178,70,30,58,204
"Adam Scott",1.031,300.6,0.582,0.248,0.426,0.356,69.914,16,183,82,35,61,149
"Talor Gooch",1.026,295.4,0.124,1.201,-0.163,-0.012,70.17,22,183,91,23,39,164
"Keith Mitchell",0.983,301.9,-0.292,0.356,0.734,-0.106,70.754,60,185,84,49,98,313
"Henrik Stenson",0.947,288.8,-0.231,1.296,-0.334,-0.015,70.544,36,188,86,22,48,242
"Jason Day",0.931,304.4,0.692,0.036,0.75,0.145,69.784,11,183,88,34,67,198
"Jim Furyk",0.919,273.9,0.237,0.744,-0.037,0.212,69.873,15,188,84,25,47,296
"Sungjae Im",0.917,293.8,0.085,0.265,0.406,0.246,70.395,28,183,90,56,122,510
"Russell Knox",0.881,290.5,-0.408,0.609,0.108,0.164,70.785,65,178,72,41,71,369
"Charles Howell III",0.868,300.7,0.305,0.138,0.375,0.354,70.354,26,180,70,40,88,350
"Zach Johnson",0.809,286,-0.168,0.56,-0.066,0.314,70.716,53,180,74,41,76,303
"Kevin Streelman",0.795,290.7,-0.376,0.253,0.548,-0.006,71.202,107,178,79,47,96,422
"Ian Poulter",0.731,292.2,0.229,0.045,0.282,0.404,70.451,31,185,86,38,65,245
"Rickie Fowler",0.731,304.7,0.714,0.34,0.291,0.101,69.646,7,175,68,47,88,325
"Matt Jones",0.728,295.1,0.178,-0.06,0.476,0.312,70.775,61,183,77,52,99,332
"D.J. Trahan",0.724,299.4,-0.297,0.001,0.583,0.14,70.812,70,191,84,22,42,119
"Marc Leishman",0.68,296.2,-0.016,0.679,0.059,-0.059,70.649,41,188,91,40,80,257
"Ryan Moore",0.668,282.6,0.277,0.531,0.096,0.041,71.145,96,175,77,37,83,391
"Hank Lebioda",0.665,292.1,-0.452,0.156,0.262,0.247,71.157,99,180,81,33,78,307
"Bud Cauley",0.662,292.7,-0.015,0.117,-0.184,0.728,70.608,39,170,73,48,89,395
"Aaron Wise",0.662,304.1,-0.301,-0.114,0.608,0.169,70.78,63,185,82,26,59,298
"Scott Piercy",0.658,288.9,0.124,0.258,0.326,0.073,70.307,24,183,84,43,94,420
"Tony Finau",0.643,311.5,0.039,0.361,0.377,-0.094,70.158,21,193,91,45,102,267
"Dylan Frittelli",0.625,295,-0.162,0.216,0.376,0.032,70.873,75,188,81,42,88,327
"Louis Oosthuizen",0.607,299.7,-0.177,-0.167,0.222,0.551,70.717,54,178,82,36,61,174
"Joaquin Niemann",0.594,299.8,-0.639,0.47,0.209,-0.086,71.379,126,183,69,46,97,315
"Abraham Ancer",0.578,294.6,-0.014,-0.005,0.532,0.051,70.694,51,170,70,38,84,386
"Chez Reavie",0.573,286.5,0.174,0.558,0.095,-0.082,70.506,34,175,73,47,98,380
"Sung Kang",0.572,298.1,0.312,0.282,0.215,0.074,70.41,30,173,75,66,115,432
"Rory Sabbatini",0.56,290.2,0.054,0.011,0.282,0.266,70.693,49,178,75,47,87,401
"Trey Mullinax",0.5,307.1,-0.443,0.448,0.265,-0.213,71.081,91,193,88,39,83,329
"Kevin Tway",0.484,303.4,-0.285,0.104,0.033,0.348,71.315,120,191,84,37,81,274
"Harold Varner III",0.482,302.8,-0.231,-0.031,0.458,0.055,70.74,59,173,77,41,77,383
"Si Woo Kim",0.461,293.4,0.353,0.144,-0.074,0.391,70.545,37,180,83,59,106,275
"Phil Mickelson",0.441,306.9,-0.08,0.08,0.137,0.224,70.506,34,191,91,35,63,182
"Francesco Molinari",0.441,290.9,0.013,0.231,0.196,0.014,71.063,90,173,72,26,42,210
"Rafa Cabrera Bello",0.434,289.1,0.295,0.246,0.248,-0.06,70.485,32,188,81,57,114,290
"Joel Dahmen",0.434,292,-0.044,0.256,0.265,-0.088,70.689,48,180,80,56,110,452
"Brandt Snedeker",0.412,286.2,0.516,0.074,-0.27,0.607,71.151,97,185,84,68,111,339
"Tyrrell Hatton",0.408,299,-0.192,-0.184,0.231,0.36,71.158,100,175,73,32,56,181
"Brian Stuard",0.397,274.4,0.249,0.36,-0.263,0.3,70.997,85,178,79,48,89,457
"Branden Grace",0.383,296.9,-0.578,0.065,0.216,0.102,71.774,166,178,78,36,76,238
"Nate Lashley",0.373,284.7,0.498,0.614,-0.17,-0.071,70.678,47,183,86,21,45,233
"Scott Stallings",0.368,293.8,-0.293,0.47,0.004,-0.107,71.551,138,183,88,39,91,310
"Troy Merritt",0.359,294.6,0.193,0.254,-0.037,0.176,70.928,80,183,73,28,50,281
"Kramer Hickok",0.356,287.8,-0.557,-0.22,0.396,0.18,71.241,110,180,80,41,85,354
"Roberto Castro",0.349,282.2,-0.35,0.398,-0.267,0.217,71.268,118,183,77,26,60,312
"Russell Henley",0.348,286.2,-0.28,0.14,0.112,0.096,71.091,93,183,82,39,90,379
"Matt Every",0.332,292,0.285,0.003,0.184,0.146,70.701,52,180,86,24,44,163
"Sebastián Muñoz",0.332,297.7,-0.186,-0.06,0.033,0.359,71.256,116,183,83,47,100,294
"Michael Thompson",0.313,284.9,0.461,0.039,0.165,0.109,70.393,27,183,83,62,108,417
"Cameron Smith",0.296,296.3,0.473,0.369,-0.386,0.313,70.734,57,180,78,49,82,231
"Adam Schenk",0.292,298.3,0.457,0.426,0.056,-0.191,70.738,58,188,86,47,99,408
"Cameron Davis",0.287,307.3,-0.334,0.263,0.162,-0.138,71.246,112,193,82,33,66,270
"Charley Hoffman",0.281,293,0.245,0.373,0.247,-0.339,71.382,127,183,91,32,89,231
"Kevin Na",0.281,290.5,-0.122,0.144,-0.284,0.421,71.353,125,180,76,45,83,253
"Chris Kirk",0.28,283.2,-0.541,0.19,-0.18,0.27,71.629,149,191,79,50,85,295
"J.B. Holmes",0.275,304.2,-0.297,0.176,0.128,-0.029,71.647,152,180,86,44,81,158
"Ryan Palmer",0.269,296.1,0.192,0.433,0.174,-0.339,70.729,55,180,79,33,81,265
"Jason Dufner",0.268,286.5,-0.931,0.05,-0.002,0.219,71.866,172,178,82,48,96,267
"Max Homa",0.245,300.1,0.158,0.235,0.308,-0.298,70.928,80,185,82,39,90,301
"Kevin Kisner",0.217,286.7,0.341,0.219,0.296,-0.298,70.655,43,178,75,44,98,346
"Kyoung-Hoon Lee",0.195,285.5,0.006,0.122,0.177,-0.105,71.259,117,175,80,52,103,339
"Danny Willett",0.19,292,-0.338,0.43,-0.145,-0.094,71.678,158,180,77,32,71,226
"Sam Ryder",0.177,294.7,0.439,0.234,0.066,-0.122,71.025,86,188,79,59,90,305
"Jimmy Walker",0.173,298.8,-0.265,0.072,-0.176,0.276,71.543,137,188,82,61,105,267
"Patrick Reed",0.172,294.7,0.221,-0.155,-0.022,0.35,70.924,78,183,91,52,99,290
"Carlos Ortiz",0.17,299.2,0.096,0.009,0.32,-0.16,71.144,95,183,68,39,83,359
"J.T. Poston",0.165,293.8,0.229,0.107,0.034,0.024,70.673,46,188,74,73,142,482
"Patrick Rodgers",0.163,299.3,0.421,-0.045,0.131,0.078,71.177,104,188,83,40,85,297
"James Hahn",0.126,290.4,-0.507,-0.076,0.043,0.159,71.655,155,185,82,20,36,137
"Bill Haas",0.117,287.3,-0.166,-0.217,-0.152,0.486,71.414,128,188,84,35,73,312
"Adam Hadwin",0.11,291.2,-0.018,-0.121,0.446,-0.216,70.651,42,173,75,56,103,338
"Ryan Armour",0.084,276.4,-0.036,-0.107,-0.007,0.198,71.034,88,175,77,59,101,398
"Daniel Berger",0.052,296.3,-0.015,0.045,0.312,-0.305,70.812,70,185,79,44,84,311
"Danny Lee",0.048,300.7,-0.029,0.315,-0.094,-0.173,70.853,73,180,79,53,92,340
"Adam Long",0.043,292.3,-0.271,0.109,0.02,-0.086,71.467,130,178,73,34,68,329
"Josh Teater",0.042,289.5,-0.519,0.27,-0.084,-0.143,71.858,171,178,82,21,61,194
"Davis Love III",0.03,288.2,-0.449,0.603,-0.372,-0.201,71.647,152,191,79,24,40,159
"Scott Brown",0.029,286.6,-0.032,-0.292,0.318,0.002,71.166,101,173,77,53,99,339
"Aaron Baddeley",0.009,288,0.405,-0.041,-0.4,0.45,70.786,66,183,80,43,74,234
"J.J. Spaun",0.007,290.2,0.01,0.084,-0.013,-0.063,71.173,103,175,83,38,78,344
"Chesson Hadley",0,296.3,0.025,0.458,-0.187,-0.272,71.62,145,193,73,40,82,282
"Brendan Steele",-0.015,305,-0.544,-0.133,0.628,-0.51,72.087,184,188,79,25,69,271
"Martin Kaymer",-0.036,291.4,-0.214,0.128,-0.195,0.031,71.647,152,183,75,30,49,217
"Jim Knous",-0.046,296.5,-0.335,0.196,0.082,-0.324,71.63,150,185,81,31,76,247
"Nick Taylor",-0.057,289.3,0.375,-0.155,0.056,0.041,70.946,82,183,77,52,113,426
"Cameron Tringale",-0.073,294.1,0.142,0.248,-0.282,-0.039,71.351,124,188,84,36,67,226
"Jonas Blixt",-0.081,287.2,0.27,-0.087,0.119,-0.113,70.963,83,178,74,36,89,386
"Nick Watney",-0.085,298.8,-0.019,0.01,-0.076,-0.019,71.181,105,188,82,49,101,297
"Andrew Landry",-0.085,285,-0.243,0.069,0.297,-0.451,71.743,163,170,68,33,72,377
"Billy Horschel",-0.086,289.3,0.432,0.009,-0.175,0.08,71.156,98,183,79,45,92,308
"Hudson Swafford",-0.113,295.1,0.039,0.136,-0.046,-0.202,71.337,122,191,91,51,89,338
"Pat Perez",-0.132,285.3,0.668,0.201,-0.591,0.258,71.035,89,183,86,30,64,206
"Shawn Stefani",-0.148,292.6,0.012,0.224,-0.386,0.013,71.211,108,188,93,39,72,290
"Denny McCarthy",-0.156,290,0.843,-0.328,0.097,0.075,70.693,49,175,75,41,85,370
"Ernie Els",-0.16,283.1,0.243,-0.199,-0.388,0.427,71.241,110,191,95,44,66,201
"Kyle Stanley",-0.16,289.7,-0.426,-0.005,-0.059,-0.097,71.611,143,180,75,43,88,256
"Cameron Champ",-0.168,315.6,0.449,-0.226,0.749,-0.691,70.813,72,183,79,27,73,315
"Vaughn Taylor",-0.2,281.3,0.793,0.109,-0.294,-0.015,70.666,44,183,73,64,113,472
"Peter Malnati",-0.202,288.1,0.644,0.089,-0.385,0.094,70.874,76,178,72,41,82,309
"Martin Laird",-0.209,293.8,0.305,-0.095,-0.072,-0.043,71.201,106,188,86,37,78,339
"Lucas Bjerregaard",-0.214,311,-0.119,-0.063,0.314,-0.465,71.698,159,188,83,24,52,162
"Shane Lowry",-0.226,299.4,0.164,-0.291,0.049,0.016,71.249,114,185,98,22,40,133
"Fabián Gómez",-0.228,288,-0.201,-0.363,0.141,-0.005,71.866,172,173,74,31,65,263
"Graeme McDowell",-0.252,285.4,0.867,-0.016,-0.31,0.074,70.493,33,178,73,55,98,283
"Roger Sloan",-0.269,295.1,-0.173,0.009,-0.101,-0.177,71.591,140,188,79,53,99,326
"Bronson Burgoon",-0.286,291.5,-0.313,-0.076,-0.113,-0.097,71.516,134,188,86,36,70,217
"Alex Noren",-0.306,299.6,-0.164,-0.373,0.008,0.058,71.489,132,180,75,36,88,201
"Tom Hoge",-0.315,287.8,-0.161,0.315,-0.408,-0.221,72.016,182,185,79,48,100,351
"Ryan Blaum",-0.332,287.4,0.107,-0.222,-0.013,-0.097,71.457,129,173,75,51,108,446
"Robert Streb",-0.357,288.4,-0.2,-0.187,-0.306,0.136,71.901,175,178,75,41,89,321
"Brice Garnett",-0.364,284.4,-0.383,-0.347,0.112,-0.129,71.569,139,180,79,33,81,311
"Mackenzie Hughes",-0.376,293.7,-0.332,-0.174,-0.282,0.08,71.599,142,185,82,36,82,264
"Wyndham Clark",-0.376,311.4,0.627,-0.62,0.108,0.135,70.782,64,183,78,49,93,314
"Sam Burns",-0.379,306.2,0.466,-0.275,0.244,-0.348,71.03,87,185,83,39,101,382
"Harris English",-0.398,299.4,0.488,-0.3,-0.19,0.091,71.286,119,191,84,61,119,443
"Tyler Duncan",-0.398,285.8,-0.8,-0.208,0.161,-0.351,71.949,179,173,68,39,85,402
"Wes Roach",-0.4,290.2,-0.082,-0.585,0.054,0.131,71.936,178,191,84,22,62,228
"John Senden",-0.406,283.4,-0.26,0.04,-0.34,-0.106,72.15,187,193,91,26,49,207
"Kelly Kraft",-0.414,288.3,-0.106,0.1,-0.344,-0.17,71.338,123,183,79,48,100,323
"Alex Cejka",-0.449,275.7,-0.56,-0.067,-0.004,-0.378,72.493,196,178,77,27,66,229
"Richy Werenski",-0.452,288.9,0.276,-0.306,0.015,-0.161,71.214,109,183,74,45,98,394
"Brian Harman",-0.483,284.4,0.046,-0.897,0.219,0.195,71.991,180,170,68,60,98,334
"Patton Kizzire",-0.507,293.9,0.686,-0.004,-0.507,0.003,71.247,113,196,98,49,92,266
"Jordan Spieth",-0.52,295.5,0.706,-0.029,-0.567,0.075,70.801,68,185,79,38,78,263
"Jim Herman",-0.567,288.5,-0.425,-0.179,0.094,-0.482,72.29,192,183,77,24,61,237
"Beau Hossler",-0.578,295.3,0.424,-0.57,-0.021,0.013,71.49,133,185,88,61,118,354
"Austin Cook",-0.594,287.8,-0.384,-0.121,0.024,-0.498,71.623,146,170,73,42,91,234
"J.J. Henry",-0.61,285.1,-0.662,-0.323,-0.133,-0.154,72.339,193,191,91,23,55,183
"Andrew Putnam",-0.614,280.1,0.726,0.104,-0.851,0.133,71.17,102,185,77,45,73,220
"Peter Uihlein",-0.625,295.9,0.432,-0.372,-0.267,0.014,71.789,169,185,86,53,99,229
"Hunter Mahan",-0.642,293.2,0.115,-0.615,0.421,-0.448,71.777,167,180,79,41,87,291
"David Hearn",-0.654,277.4,-0.137,-0.239,-0.055,-0.359,71.778,168,185,77,27,59,206
"Rod Pampling",-0.655,284.8,-1.344,-0.855,-0.08,0.28,73.048,206,178,79,39,81,181
"Jonathan Byrd",-0.668,281.1,-0.353,-0.11,-0.684,0.125,71.624,148,175,75,25,56,189
"Chris Stroud",-0.689,287.8,0.075,-0.094,-0.603,0.007,71.724,161,188,82,35,72,255
"John Huh",-0.708,282,-0.225,-0.043,-0.377,-0.288,72.122,185,183,86,28,64,227
"Brian Gay",-0.718,272.1,0.642,-0.61,-0.264,0.155,71.328,121,178,75,54,115,483
"Sangmoon Bae",-0.728,293,-0.17,-0.529,0.013,-0.212,72.209,189,183,82,27,54,186
"Seamus Power",-0.733,292.8,0.054,-0.933,-0.049,0.249,72.249,191,191,91,50,90,326
"Stewart Cink",-0.738,291.6,0.508,-0.303,-0.677,0.242,71.614,144,193,93,42,73,150
"Martin Trainer",-0.759,303.9,-0.069,-0.955,-0.011,0.206,71.898,174,185,80,46,86,244
"Chris Thompson",-0.794,288.6,-0.327,-0.281,-0.349,-0.164,73.046,205,188,88,25,55,130
"Grayson Murray",-0.809,310,-0.634,-0.631,0.063,-0.241,72.37,195,185,90,31,71,182
"Ted Potter, Jr.",-0.825,275.2,-0.535,-0.173,-0.243,-0.409,72.591,200,180,82,49,105,295
"Dominic Bozzelli",-0.937,292.2,1.027,-0.633,-0.214,-0.09,70.905,77,183,81,45,74,207
"Anirban Lahiri",-1.072,288.9,0.195,-0.469,-0.456,-0.147,71.807,170,175,79,46,76,264
"Satoshi Kodaira",-1.206,282.7,-0.573,-0.299,-0.382,-0.526,72.899,203,170,68,29,76,315
"Charl Schwartzel",-1.317,291.3,0.407,-0.025,-1.526,0.234,72.177,188,180,73,37,66,85
"Freddie Jacobson",-1.328,283.1,0.082,-0.242,-0.732,-0.353,72.242,190,185,81,24,59,184
"Cody Gribble",-1.391,291.1,-0.062,-0.727,-0.483,-0.181,72.57,199,175,75,31,76,269
"Ben Crane",-1.409,276.6,0.631,-0.478,-0.825,-0.106,71.757,164,180,75,30,53,166
"Michael Kim",-1.551,274.9,-0.234,-0.226,-1.536,0.212,73.506,207,180,75,42,86,224
"D.A. Points",-1.656,273.3,-0.076,-0.476,-0.721,-0.459,72.914,204,185,88,37,64,151
