"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Sangmoon Bae",-0.386,297.4,-0.443,-0.247,0.297,-0.436,72.038,176,183,82,11,20,77
"Max Homa",-0.421,298.8,-0.238,0.412,-0.119,-0.714,72.502,195,185,82,11,26,78
"Billy Horschel",-0.456,278.6,-1.12,-0.763,0.167,0.14,71.832,165,183,79,8,22,44
"Roger Sloan",-0.461,299.3,-0.099,-0.338,-0.078,-0.045,71.51,142,188,79,15,29,124
"Andrew Landry",-0.462,282,-0.449,-0.185,0.022,-0.299,72.303,186,170,68,10,19,127
"Brian Harman",-0.474,281.6,-0.32,-1.52,0.453,0.593,72.337,188,170,68,14,26,52
"Jordan Spieth",-0.488,293.8,0.394,0.14,-0.489,-0.138,71.049,106,185,79,4,18,41
"Brian Gay",-0.511,282.6,1.345,-0.396,-0.244,0.129,71.047,105,178,75,16,42,112
"Jason Dufner",-0.516,288.2,-0.576,-0.649,-0.097,0.229,71.765,159,178,82,21,40,74
"Cody Gribble",-0.548,288.4,-0.294,-0.261,-0.705,0.418,72.382,189,175,75,9,16,72
"Vaughn Taylor",-0.551,287.3,0.157,-0.269,-0.306,0.024,71.234,120,183,73,16,28,125
"Wyndham Clark",-0.553,316.6,0.351,-0.582,-0.033,0.062,71.272,123,183,78,19,34,122
"Alex Cejka",-0.566,277.5,0.219,0.102,-0.237,-0.431,72.021,173,178,77,9,15,66
"Cameron Tringale",-0.567,290.3,-0.123,0.189,-0.968,0.211,72.539,198,188,84,6,13,55
"Anirban Lahiri",-0.571,302.5,0.391,-0.43,-0.207,0.067,71.037,103,175,79,14,21,68
"John Huh",-0.589,283.1,-0.676,-0.228,0.003,-0.363,72.532,197,183,86,12,25,76
"Parker McLachlin",-0.61,273.1,-0.087,0.07,-1.464,0.785,72.697,204,185,0,5,8,27
"J.J. Henry",-0.632,291.2,-0.515,-0.307,-0.164,-0.161,72.728,206,191,91,6,19,75
"Grayson Murray",-0.636,321.3,-0.554,-0.642,0.432,-0.427,72.907,211,185,90,5,11,52
"Dominic Bozzelli",-0.655,296.8,0.998,-0.512,-0.186,0.042,70.247,32,183,81,15,28,110
"Shawn Stefani",-0.667,287.6,0.068,-0.427,-0.172,-0.069,71.971,169,188,93,11,17,101
"Nicholas Lindheim",-0.686,284.7,0.645,-0.043,-0.469,-0.175,72.028,174,188,74,2,8,45
"Derek Ernst",-0.69,289.6,-0.256,-0.568,-0.438,0.316,72.947,212,183,84,6,7,26
"Brooks Koepka",-0.694,289.5,-0.382,0.078,-0.902,0.13,70.708,67,183,92,7,14,36
"Chris Stroud",-0.722,288.7,-0.359,0.535,-1.037,-0.219,72.508,196,188,82,7,11,57
"Adam Long",-0.724,297.8,-0.912,-0.114,-0.084,-0.526,72.867,210,178,73,2,9,74
"Mackenzie Hughes",-0.809,300,-0.326,-0.45,-0.518,0.159,72.318,187,185,82,15,27,68
"Stuart Appleby",-0.816,268.2,0.631,0.466,-1.007,-0.275,71.434,137,185,84,7,9,59
"Jamie Lovemark",-0.848,291.8,0.001,-0.576,-0.217,-0.055,71.323,130,193,98,25,40,55
"Adam Hadwin",-0.859,301.8,0.04,-0.499,0.715,-1.075,70.659,59,173,75,21,30,51
"Satoshi Kodaira",-0.873,284.7,-0.614,-0.274,-0.261,-0.338,72.68,203,170,68,6,15,118
"Tyler Duncan",-0.886,289.3,-0.94,-0.501,0.132,-0.517,72.105,178,173,68,13,31,137
"Robert Garrigus",-0.892,297.3,0.519,0.835,-1.271,-0.455,72.598,199,180,86,7,8,50
"Retief Goosen",-0.899,279.5,-0.667,-0.335,-0.457,-0.107,72.161,180,180,84,0,4,23
"Chad Campbell",-0.933,270.1,-2.199,-0.711,-0.038,-0.184,74.435,227,185,93,6,10,45
"Ricky Barnes",-0.946,290.4,-0.378,-0.547,-0.959,0.56,73.152,216,188,91,9,14,45
"John Senden",-1.034,297.4,-0.169,-0.477,-0.463,-0.093,72.632,200,193,91,5,9,57
"Brendon Todd",-1.042,273.3,0.452,-0.97,0.266,-0.338,70.179,26,190,82,1,1,34
"Sean O'Hair",-1.133,290.5,-0.386,-0.786,-0.036,-0.312,71.861,167,188,82,15,22,80
"Ben Crane",-1.365,276.3,0.625,-0.409,-0.754,-0.202,71.783,160,180,75,10,14,76
"Seamus Power",-1.367,293.6,0.017,-1.234,-0.387,0.254,72.831,208,191,91,15,27,86
"Freddie Jacobson",-1.436,295.5,-0.358,-0.135,-0.394,-0.908,74.064,224,185,81,2,9,30
"Francesco Molinari",-1.823,273.8,-0.003,-1.44,-0.149,-0.233,73.659,220,173,72,4,7,48
"D.A. Points",-1.843,260.7,0.339,-0.872,-0.594,-0.377,71.585,148,185,88,3,3,28
"Michael Kim",-1.965,272.4,-0.187,-0.154,-1.825,0.014,74.07,225,180,75,13,29,101
"Pat Perez",-2.028,294,1.799,-1.804,-0.127,-0.097,70.988,95,183,86,8,19,16
"Kenny Perry",-2.082,302,-1.164,-1.035,-0.215,-0.831,73.745,221,188,93,2,5,34
"Chad Collins",-2.343,269.1,1.051,-1.245,-1.445,0.347,73.561,218,175,79,12,20,41
"David Lingmerth",-2.497,264.9,-0.316,-2.379,-1.045,0.927,73.402,217,170,79,3,5,25
"Wesley Bryan",-3.253,267.8,-2.022,-0.599,-2.57,-0.084,75.529,228,183,0,6,9,43
"Eric Axley",-3.638,259.5,-0.594,-1.201,-1.73,-0.708,74.161,226,183,84,4,8,20
"Adam Scott",-4.317,315.3,0.088,-1.704,-0.856,-1.757,71.265,122,183,82,12,18,11
