"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Rory McIlroy",2.393,315.3,0.318,0.843,1.241,0.308,69.129,2,178,73,42,80,362
"Justin Thomas",1.829,301.8,-0.327,0.952,0.506,0.371,69.701,10,178,72,41,80,335
"Patrick Cantlay",1.762,307.3,0.425,0.747,0.645,0.369,69.095,1,183,86,46,83,335
"Hideki Matsuyama",1.733,304.6,-0.053,0.946,0.426,0.361,69.86,15,180,90,62,113,444
"Dustin Johnson",1.729,312.1,0.39,0.697,0.825,0.207,69.35,3,193,86,39,61,310
"Adam Scott",1.701,299.6,0.454,0.786,0.43,0.486,69.555,7,183,82,41,73,226
"Paul Casey",1.614,297.9,-0.141,0.696,0.717,0.2,69.867,16,178,82,40,98,377
"Tiger Woods",1.447,297.8,0.188,0.863,0.198,0.386,69.692,9,185,84,21,42,235
"Brooks Koepka",1.418,308.7,0.029,0.831,0.441,0.146,69.402,4,183,92,35,59,328
"Gary Woodland",1.387,309.7,-0.038,0.676,0.613,0.098,69.937,19,185,88,49,102,435
"Byeong Hun An",1.367,307.9,-0.668,0.382,0.351,0.634,70.66,51,188,95,65,118,395
"Sergio Garcia",1.247,303.7,-0.129,0.911,0.403,-0.067,69.981,20,178,82,29,65,256
"Matt Kuchar",1.2,290.8,0.39,0.783,0.272,0.144,69.507,6,193,88,45,73,502
"Xander Schauffele",1.19,304.6,0.41,0.426,0.602,0.162,69.782,13,178,79,56,104,329
"Jon Rahm",1.187,306.7,0.234,0.276,0.769,0.141,69.853,14,188,99,43,85,317
"Corey Conners",1.172,295.5,-0.617,0.625,0.655,-0.108,71.047,105,183,86,57,112,415
"Tommy Fleetwood",1.144,298.7,0.289,0.355,0.512,0.277,69.9,18,180,76,46,72,297
"Emiliano Grillo",1.065,296,-0.541,0.904,0.432,-0.271,70.588,44,175,64,55,113,454
"Webb Simpson",1.052,287.2,0.463,0.63,0.059,0.362,69.442,5,188,84,61,99,458
"Henrik Stenson",1.032,284.8,0.015,1.245,-0.263,0.05,70.17,23,188,86,30,66,381
"Keegan Bradley",1.027,299,-0.54,0.942,0.14,-0.056,70.579,41,191,86,43,90,471
"Lucas Glover",0.948,293.8,0.207,0.407,0.259,0.282,70.038,21,188,88,49,91,509
"Justin Rose",0.94,305.2,0.778,0.542,0.294,0.104,69.597,8,191,88,53,86,265
"Jason Day",0.939,303.1,0.543,0.112,0.645,0.181,69.755,12,183,88,43,80,295
"Jim Furyk",0.935,275.6,0.288,0.778,-0.014,0.171,69.729,11,188,84,37,73,461
"Kevin Streelman",0.934,291.5,-0.195,0.413,0.416,0.104,70.774,68,178,79,64,126,573
"Matthew Fitzpatrick",0.902,286.5,-0.18,0.341,0.369,0.192,70.871,80,178,70,39,81,320
"Chez Reavie",0.881,287,0.176,0.603,0.222,0.056,70.184,24,175,73,56,111,517
"Joaquin Niemann",0.863,299.7,-0.387,0.449,0.302,0.112,70.812,74,183,69,69,138,501
"Russell Knox",0.83,288.9,-0.126,0.594,0.04,0.196,70.473,34,178,72,55,89,487
"Sungjae Im",0.803,294,0.185,0.158,0.368,0.276,70.308,28,183,90,71,154,678
"Keith Mitchell",0.792,302.9,-0.272,0.092,0.761,-0.062,70.91,85,185,84,60,116,384
"Rickie Fowler",0.786,304.4,0.473,0.335,0.281,0.17,69.881,17,175,68,64,119,442
"Rory Sabbatini",0.731,289.6,0.156,0.066,0.331,0.333,70.455,33,178,75,69,126,566
"Marc Leishman",0.725,296.6,0.253,0.556,0.011,0.157,70.341,30,188,91,58,104,366
"Tyrrell Hatton",0.709,296.3,-0.029,0.136,0.181,0.392,70.717,61,175,73,47,86,287
"Charles Howell III",0.684,300.9,0.231,0.003,0.299,0.382,70.556,39,180,70,50,108,439
"Bubba Watson",0.682,312.3,-0.376,-0.127,0.896,-0.087,70.781,71,191,82,43,83,363
"Bud Cauley",0.671,292.1,-0.171,0.192,-0.224,0.703,70.714,60,170,73,68,117,517
"Luke List",0.664,313.8,-0.206,0.067,0.604,-0.007,71.018,102,188,86,54,116,356
"Ryan Moore",0.647,281.2,0.267,0.519,0.079,0.049,71.022,103,175,77,43,101,503
"Hank Lebioda",0.622,293.1,-0.284,0.289,0.162,0.171,70.887,83,180,81,35,86,397
"Kevin Tway",0.573,304.1,-0.073,0.211,0.068,0.294,70.807,73,191,84,52,104,387
"Francesco Molinari",0.569,290.5,-0.083,0.141,0.251,0.178,70.699,58,173,72,40,61,331
"Dylan Frittelli",0.561,295.3,-0.203,0.102,0.272,0.188,70.87,79,188,81,50,101,408
"Scott Piercy",0.557,290.9,0.138,0.168,0.276,0.112,70.275,26,183,84,56,111,498
"Talor Gooch",0.556,296.5,0.279,0.882,-0.192,-0.134,70.281,27,183,91,36,63,286
"Tony Finau",0.551,311.5,0.02,0.192,0.393,-0.034,70.201,25,193,91,57,127,337
"Danny Willett",0.551,293.8,-0.128,0.416,-0.048,0.182,71.083,108,180,77,50,95,332
"Troy Merritt",0.523,292.5,-0.052,0.277,0.002,0.269,70.969,92,183,73,31,61,368
"Aaron Wise",0.519,304.5,-0.197,-0.083,0.506,0.096,70.853,78,185,82,34,72,399
"Jason Dufner",0.517,288.5,-0.624,0.182,0.148,0.187,71.435,145,178,82,64,122,417
"Matt Jones",0.512,293.4,0.11,-0.28,0.396,0.396,70.874,81,183,77,71,133,448
"Charley Hoffman",0.51,295.2,-0.044,0.459,0.289,-0.238,71.232,118,183,91,39,107,313
"Nate Lashley",0.509,287.7,0.447,0.728,-0.195,-0.023,70.418,32,183,86,33,64,355
"Sung Kang",0.5,298.6,0.053,0.26,0.242,-0.003,70.67,53,173,75,68,120,501
"Louis Oosthuizen",0.499,295.9,0.159,-0.144,0.163,0.481,70.51,35,178,82,52,88,298
"Abraham Ancer",0.488,293.1,0.019,-0.005,0.548,-0.055,70.626,46,170,70,53,116,548
"Ryan Palmer",0.487,297.4,0.197,0.468,0.288,-0.27,70.379,31,180,79,39,92,322
"Patrick Reed",0.483,295.2,0.194,0.056,0.004,0.423,70.629,47,183,91,60,111,402
"Zach Johnson",0.467,286.2,-0.016,0.297,-0.003,0.172,70.697,57,180,74,51,94,399
"Rafa Cabrera Bello",0.46,288.8,0.125,0.18,0.207,0.072,70.623,45,188,81,69,135,371
"Trey Mullinax",0.425,309,-0.421,0.299,0.352,-0.226,71.016,101,193,88,46,96,394
"J.B. Holmes",0.418,305.7,-0.604,0.309,0.229,-0.12,71.654,160,180,86,50,90,260
"Martin Kaymer",0.38,291.6,-0.014,0.439,-0.165,0.107,70.976,94,183,75,43,70,322
"Harold Varner III",0.36,302.3,-0.125,-0.022,0.307,0.075,70.695,56,173,77,54,95,469
"Kevin Na",0.355,290.8,0.135,0.181,-0.176,0.35,70.987,97,180,76,53,94,305
"Billy Horschel",0.348,291,0.38,0.229,0.033,0.085,70.828,75,183,79,59,123,462
"Matt Every",0.346,293.8,0.057,0.163,0.156,0.028,70.666,52,180,86,34,65,225
"Sebastián Muñoz",0.323,297,-0.127,-0.055,0.009,0.369,71.099,109,183,83,51,105,357
"Cameron Tringale",0.319,295.1,0.14,0.427,-0.15,0.042,70.922,87,188,84,41,78,335
"Branden Grace",0.315,296.8,-0.579,0.172,0.111,0.033,71.701,163,178,78,47,98,295
"Brian Stuard",0.306,275.5,0.218,0.281,-0.245,0.269,70.977,95,178,79,69,126,643
"Brandt Snedeker",0.305,286.1,0.697,-0.086,-0.183,0.574,70.709,59,185,84,84,141,518
"Nick Watney",0.301,300.2,-0.035,0.134,0.078,0.09,70.836,76,188,82,62,127,451
"Max Homa",0.282,298.2,0.18,0.333,0.253,-0.304,70.838,77,185,82,52,119,425
"Chris Kirk",0.28,283.2,-0.541,0.19,-0.18,0.27,71.629,157,191,79,50,85,295
"Scott Stallings",0.275,294.1,-0.429,0.263,-0.01,0.022,71.642,158,183,88,57,115,429
"Ian Poulter",0.264,292.7,0.314,0.009,0.14,0.115,70.581,42,185,86,49,84,290
"J.J. Spaun",0.256,290.3,-0.018,0.256,0.017,-0.018,70.943,89,175,83,47,99,471
"Russell Henley",0.246,286.4,-0.372,0.164,0.087,-0.005,71.201,115,183,82,39,93,439
"J.T. Poston",0.244,292.7,0.118,0.189,0.03,0.024,70.743,65,188,74,78,150,594
"Jimmy Walker",0.235,299,-0.053,0.084,-0.136,0.287,71.176,113,188,82,79,130,380
"Michael Thompson",0.235,285.9,0.448,0.011,0.113,0.111,70.52,36,183,83,71,124,500
"Joel Dahmen",0.225,291.4,0.005,0.196,0.246,-0.217,70.776,70,180,80,69,136,571
