"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Kyoung-Hoon Lee",0.209,286.5,-0.041,0.039,0.198,-0.028,71.159,111,175,80,66,125,489
"Cameron Davis",0.206,307.6,-0.392,0.112,0.143,-0.049,71.252,122,193,82,39,80,330
"Phil Mickelson",0.2,306.7,-0.137,0.097,-0.002,0.105,70.774,68,191,91,40,79,249
"Kevin Kisner",0.198,286.6,0.354,0.125,0.246,-0.174,70.631,48,178,75,55,122,539
"Jonas Blixt",0.189,289,0.157,0.045,0.083,0.061,70.718,62,178,74,50,107,518
"Kyle Stanley",0.165,288.7,-0.423,0.275,0.002,-0.112,71.403,139,180,75,54,110,408
"Patrick Rodgers",0.163,299.3,0.421,-0.045,0.131,0.078,71.177,114,188,83,40,85,297
"Danny Lee",0.147,300.7,-0.052,0.239,0.007,-0.099,70.757,66,180,79,66,121,463
"Adam Hadwin",0.141,290.1,0.125,-0.072,0.412,-0.199,70.529,37,173,75,67,125,443
"Kramer Hickok",0.139,288.5,-0.562,-0.272,0.28,0.131,71.303,130,180,80,43,99,448
"Peter Malnati",0.135,290.6,0.496,0.355,-0.295,0.074,70.553,38,178,72,53,109,466
"Cameron Smith",0.134,294,0.2,0.2,-0.309,0.243,71.013,100,180,78,62,106,335
"Josh Teater",0.124,289.7,-0.145,0.373,-0.086,-0.163,71.257,124,178,82,28,82,323
"Si Woo Kim",0.113,291.8,0.143,-0.286,-0.005,0.404,70.89,84,180,83,82,137,395
"Daniel Berger",0.093,297.7,-0.04,-0.044,0.319,-0.182,70.652,50,185,79,62,113,429
"Sam Ryder",0.089,294,0.392,0.323,0.057,-0.291,71.056,106,188,79,68,109,399
"Adam Long",0.082,292.6,-0.209,0.065,0.146,-0.129,71.262,125,178,73,49,97,449
"Ryan Armour",0.068,275.2,0.034,-0.082,-0.057,0.207,70.975,93,175,77,65,118,571
"Roberto Castro",0.042,281.9,-0.355,0.374,-0.439,0.106,71.432,144,183,77,38,81,419
"Adam Schenk",0.019,299.5,0.359,0.287,0.014,-0.282,70.936,88,188,86,58,121,543
"Nick Taylor",0.018,291,0.359,-0.113,0.089,0.042,70.769,67,183,77,65,137,587
"Mackenzie Hughes",0.018,296.3,-0.083,-0.021,-0.078,0.117,70.959,90,185,82,45,103,398
"Bill Haas",-0.01,289.1,-0.17,-0.345,0.001,0.334,71.398,138,188,84,47,92,389
"Carlos Ortiz",-0.018,299.4,0.044,-0.168,0.224,-0.074,71.252,122,183,68,49,104,489
"Brian Harman",-0.031,286.1,0.052,-0.455,0.267,0.157,71.411,141,170,68,71,122,516
"Andrew Landry",-0.037,285.3,-0.391,0.115,0.263,-0.416,71.746,167,170,68,39,91,508
"Alex Noren",-0.058,301.2,-0.376,-0.388,0.065,0.265,71.458,149,180,75,48,112,289
"Martin Laird",-0.058,295.2,0.222,-0.079,-0.063,0.084,70.912,86,188,86,47,96,458
"Cameron Champ",-0.097,317.1,0.166,-0.232,0.779,-0.644,70.979,96,183,79,32,89,403
"Wes Roach",-0.099,291.8,0.109,-0.304,0.03,0.176,71.451,147,191,84,32,80,317
"Brendan Steele",-0.105,302.3,-0.35,-0.354,0.503,-0.254,71.907,175,188,79,34,90,411
"Scott Brown",-0.108,287.8,0.112,-0.102,0.241,-0.246,71.003,99,173,77,61,127,490
"Shawn Stefani",-0.111,292.8,-0.177,0.355,-0.496,0.03,71.263,126,188,93,46,89,379
"Tom Hoge",-0.12,288.1,-0.221,0.347,-0.32,-0.147,71.729,164,185,79,65,131,495
"Jim Knous",-0.123,296.5,-0.249,0.111,0.041,-0.275,71.483,150,185,81,34,82,289
"Vaughn Taylor",-0.129,281.2,0.749,0.186,-0.277,-0.037,70.587,43,183,73,73,134,619
"Robert Streb",-0.129,288.3,-0.212,-0.041,-0.187,0.098,71.596,154,178,75,49,107,429
"Graeme McDowell",-0.154,287.1,0.789,0.043,-0.288,0.091,70.326,29,178,73,65,119,382
"Hudson Swafford",-0.167,295.2,-0.031,0.119,-0.047,-0.239,71.35,133,191,91,53,97,368
"Chesson Hadley",-0.214,296.7,0.247,0.243,-0.217,-0.24,71.441,146,193,73,58,111,390
"Denny McCarthy",-0.228,290,0.826,-0.363,0.095,0.04,70.676,54,175,75,46,100,464
"Roger Sloan",-0.247,295,-0.03,0.012,-0.125,-0.135,71.341,132,188,79,68,121,433
"Pat Perez",-0.253,284.8,0.575,-0.042,-0.498,0.287,71.162,112,183,86,38,77,256
"Andrew Putnam",-0.259,281.7,0.78,0.379,-0.689,0.051,70.729,63,185,77,61,102,367
"Rod Pampling",-0.276,285.8,-1.166,-0.471,-0.134,0.329,72.482,194,178,79,46,95,265
"Austin Cook",-0.276,287,-0.28,-0.147,0.096,-0.225,71.353,134,170,73,61,122,372
"Bronson Burgoon",-0.279,292.1,-0.262,-0.131,-0.065,-0.083,71.491,151,188,86,45,88,334
"Jordan Spieth",-0.296,294.5,0.713,-0.148,-0.406,0.258,70.575,40,185,79,51,101,383
"Wyndham Clark",-0.325,311.3,0.677,-0.62,0.095,0.199,70.633,49,183,78,60,109,407
"Fabián Gómez",-0.327,288,-0.313,-0.5,0.125,0.048,71.919,179,173,74,34,74,320
"Aaron Baddeley",-0.34,286.3,0.654,-0.34,-0.46,0.46,70.783,72,183,80,54,99,324
"Sam Burns",-0.341,307,0.386,-0.269,0.277,-0.348,71.002,98,185,83,48,120,480
"Ryan Blaum",-0.351,287.6,0.115,-0.236,-0.053,-0.061,71.38,137,173,75,61,122,518
"Alex Cejka",-0.36,276.4,-0.629,0.067,-0.093,-0.334,72.326,190,178,77,31,75,298
"Richy Werenski",-0.376,289.8,-0.04,-0.218,0.05,-0.209,71.323,131,183,74,51,114,487
"Jonathan Byrd",-0.383,281.4,-0.238,-0.035,-0.615,0.266,71.293,128,175,75,27,62,219
"Brice Garnett",-0.384,285.3,-0.079,-0.324,0.158,-0.218,71.378,136,180,79,44,105,450
"Harris English",-0.387,299.7,0.539,-0.471,-0.081,0.164,71.127,110,191,84,71,137,575
"Tyler Duncan",-0.395,285.9,-0.615,-0.236,0.109,-0.268,71.76,169,173,68,40,93,495
"John Senden",-0.406,283.4,-0.26,0.04,-0.34,-0.106,72.15,187,193,91,26,49,207
"Lucas Bjerregaard",-0.452,309.8,-0.359,-0.232,0.158,-0.377,71.948,180,188,83,28,60,191
"Peter Uihlein",-0.483,297.2,0.326,-0.182,-0.439,0.138,71.55,152,185,86,64,116,322
"Chris Thompson",-0.523,289.8,-0.507,-0.178,-0.219,-0.127,72.684,197,188,88,31,64,188
"Jim Herman",-0.527,287.3,-0.386,-0.278,0.179,-0.428,72.108,183,183,77,29,71,313
"Ernie Els",-0.536,284.6,0.01,-0.355,-0.463,0.282,71.678,162,191,95,48,73,235
"David Hearn",-0.561,277.4,-0.248,-0.219,-0.042,-0.301,71.737,166,185,77,31,63,219
"Brian Gay",-0.576,273.8,0.501,-0.401,-0.259,0.083,71.207,116,178,75,65,135,606
"J.J. Henry",-0.611,285.9,-0.588,-0.271,-0.118,-0.222,72.126,186,191,91,29,71,265
"John Huh",-0.708,282,-0.225,-0.043,-0.377,-0.288,72.122,185,183,86,28,64,227
"Stewart Cink",-0.714,294.9,0.375,-0.206,-0.604,0.096,71.754,168,193,93,44,78,187
"Patton Kizzire",-0.722,293.7,0.365,-0.145,-0.459,-0.117,71.55,152,196,98,55,110,358
"Hunter Mahan",-0.75,293.6,0.018,-0.585,0.336,-0.501,71.911,177,180,79,42,90,330
"Ted Potter, Jr.",-0.781,277.3,-0.319,-0.166,-0.22,-0.396,72.402,193,180,82,55,128,404
"Grayson Murray",-0.809,310,-0.634,-0.631,0.063,-0.241,72.37,191,185,90,31,71,182
"Kelly Kraft",-0.818,287.9,-0.097,-0.151,-0.391,-0.276,71.612,156,183,79,62,128,416
"Chris Stroud",-0.847,287.9,0.034,-0.18,-0.625,-0.042,71.734,165,188,82,43,87,324
"Beau Hossler",-0.866,295.8,0.64,-0.757,-0.015,-0.093,71.453,148,185,88,71,138,438
"Anirban Lahiri",-0.901,289,0.005,-0.242,-0.44,-0.219,71.876,171,175,79,56,99,407
"Dominic Bozzelli",-0.967,294.8,0.684,-0.577,-0.315,-0.075,71.056,106,183,81,53,96,313
"Seamus Power",-0.978,293.4,0.107,-0.887,-0.218,0.126,72.215,188,191,91,59,102,390
"Sangmoon Bae",-0.985,293.8,0.236,-0.544,-0.088,-0.353,71.908,176,183,82,35,68,270
"Cody Gribble",-1.002,294.3,-0.067,-0.442,-0.35,-0.21,72.108,183,175,75,36,87,364
"Ben Crane",-1.019,279,0.449,-0.157,-0.746,-0.116,71.429,143,180,75,40,70,232
"Freddie Jacobson",-1.097,283,0.156,-0.125,-0.644,-0.327,71.97,181,185,81,26,64,238
"Martin Trainer",-1.222,303.5,-0.033,-1.249,-0.033,0.06,72.23,189,185,80,49,92,300
"Satoshi Kodaira",-1.284,282.5,-0.613,-0.355,-0.437,-0.492,72.978,198,170,68,32,83,349
"Michael Kim",-1.802,276.9,-0.168,-0.457,-1.548,0.203,73.533,199,180,75,53,105,274
