,Average Tee To Green,Average Driving Distance,Average SG: Putting,Average Approach the Green,Average Off The Tee,Average SG: Around The Green,Scoring Average,Rank,Height,Weight,Sand Saves,Bunkers,Hit Fairway
Rod Pampling,-1.129,292.2,-0.47,-0.898,-0.621,0.39,72.938,203,178,79,19,37,47
Grayson Murray,-1.25,317.9,-0.366,-1.042,0.152,-0.36,73.82,211,185,90,13,26,70
Branden Grace,-1.316,294.8,-3.363,-0.742,-0.177,-0.397,72.705,193,178,78,6,15,6
Freddie Jacobson,-1.436,295.5,-0.358,-0.135,-0.394,-0.908,74.064,214,185,81,2,9,30
Chad Collins,-1.494,270.1,0.543,-0.511,-1.145,0.162,72.887,201,175,79,17,30,57
Pat Perez,-1.608,287.9,1.331,-1.182,-0.243,-0.183,71.404,112,183,86,12,26,21
Seamus Power,-1.697,290.6,-0.122,-1.604,-0.354,0.261,73.774,210,191,91,23,39,97
Francesco Molinari,-1.823,273.8,-0.003,-1.44,-0.149,-0.233,73.659,209,173,72,4,7,48
Michael Kim,-2.059,270.2,-0.108,-0.213,-1.862,0.016,73.943,212,180,75,16,33,108
Alex Noren,-2.945,288,-1.427,-1.974,-1.595,0.624,71.228,98,180,75,17,33,4
Wesley Bryan,-3.253,267.8,-2.022,-0.599,-2.57,-0.084,75.529,216,183,0,6,9,43
