"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Rory McIlroy",2.208,314,0.222,0.878,1.158,0.171,69.605,4,178,73,37,65,286
"Patrick Cantlay",1.858,307.7,0.426,0.823,0.623,0.412,69.164,1,183,86,38,70,264
"Hideki Matsuyama",1.789,304.6,-0.127,0.9,0.453,0.435,69.879,14,180,90,55,102,373
"Dustin Johnson",1.76,308.8,0.79,0.668,0.839,0.252,69.195,2,193,86,33,49,233
"Justin Thomas",1.684,301.4,0.028,0.87,0.407,0.407,69.789,11,178,72,36,67,240
"Paul Casey",1.556,298.6,-0.26,0.632,0.683,0.241,70.127,22,178,82,37,88,296
"Adam Scott",1.53,299.7,0.532,0.7,0.462,0.368,69.686,5,183,82,37,63,189
"Tommy Fleetwood",1.478,300,0.116,0.382,0.808,0.287,69.968,16,180,76,39,59,221
"Tiger Woods",1.461,297.8,0.157,0.807,0.204,0.45,69.756,9,185,84,18,36,194
"Brooks Koepka",1.397,308.7,0.128,0.791,0.584,0.021,69.512,3,183,92,30,50,227
"Sergio Garcia",1.379,302.3,0.042,1.11,0.373,-0.105,69.793,12,178,82,27,55,208
"Gary Woodland",1.372,309,-0.211,0.537,0.661,0.174,70.068,20,185,88,45,95,378
"Byeong Hun An",1.343,306.5,-0.751,0.408,0.322,0.614,70.774,57,188,95,55,100,308
"Bubba Watson",1.223,310.7,-0.492,0.153,1.012,0.058,70.598,40,191,82,31,60,269
"Matt Kuchar",1.217,291.1,0.208,0.841,0.295,0.081,69.729,7,193,88,37,61,430
"Corey Conners",1.196,294.7,-0.545,0.674,0.595,-0.073,71.02,94,183,86,55,109,377
"Emiliano Grillo",1.185,296.7,-0.516,0.813,0.49,-0.118,70.571,37,175,64,52,97,375
"Keegan Bradley",1.177,298.6,-0.834,1.091,0.161,-0.074,70.848,69,191,86,36,77,384
"Xander Schauffele",1.15,303.9,0.294,0.429,0.532,0.188,69.917,15,178,79,54,98,290
"Webb Simpson",1.135,287,0.139,0.64,0.073,0.421,69.736,8,188,84,51,84,387
"Lucas Glover",1.04,294.4,0.236,0.479,0.259,0.302,69.975,17,188,88,46,88,471
"Jon Rahm",0.984,306.9,0.248,0.183,0.801,0,70.019,19,188,99,38,77,284
"Henrik Stenson",0.959,286.5,-0.265,1.269,-0.321,0.011,70.65,43,188,86,23,53,289
"Jim Furyk",0.909,274.4,0.282,0.716,-0.028,0.221,69.838,13,188,84,34,64,381
"Kevin Streelman",0.908,291.5,-0.259,0.443,0.455,0.009,70.921,83,178,79,56,117,492
"Justin Rose",0.874,305.6,0.671,0.603,0.279,-0.008,69.761,10,191,88,42,69,231
"Keith Mitchell",0.858,301.6,-0.229,0.188,0.763,-0.093,70.832,65,185,84,54,106,354
"Luke List",0.85,313.4,-0.223,0.178,0.626,0.046,70.868,72,188,86,50,105,320
"Russell Knox",0.848,289.8,-0.197,0.614,0.111,0.124,70.599,41,178,72,49,82,450
"Marc Leishman",0.847,296.3,0.09,0.661,0.041,0.145,70.507,30,188,91,47,89,289
"Bud Cauley",0.782,292.2,-0.053,0.224,-0.166,0.724,70.544,35,170,73,62,107,445
"Rickie Fowler",0.78,304,0.609,0.346,0.269,0.166,69.72,6,175,68,57,104,375
"Sungjae Im",0.78,293,0.068,0.143,0.382,0.255,70.514,32,183,90,61,135,565
"Matthew Fitzpatrick",0.771,285.9,-0.256,0.243,0.441,0.087,71.086,98,178,70,34,73,278
"Charles Howell III",0.741,300.4,0.245,0.016,0.349,0.376,70.502,29,180,70,44,94,369
"D.J. Trahan",0.724,299.4,-0.297,0.001,0.583,0.14,70.812,61,191,84,22,42,119
