"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Joaquin Niemann",0.697,299,-0.598,0.384,0.263,0.05,71.225,112,183,69,59,120,387
"Ryan Moore",0.687,281.2,0.245,0.567,0.054,0.066,71.149,104,175,77,39,90,434
"Troy Merritt",0.667,293,0.007,0.454,-0.006,0.249,70.877,76,183,73,29,56,324
"Hank Lebioda",0.665,292.1,-0.452,0.156,0.262,0.247,71.157,106,180,81,33,78,307
"Zach Johnson",0.658,286.2,-0.189,0.456,-0.059,0.261,70.795,59,180,74,43,81,318
"Rory Sabbatini",0.641,289.2,0.132,-0.009,0.327,0.323,70.528,33,178,75,60,107,477
"Aaron Wise",0.635,303.4,-0.34,-0.129,0.564,0.2,70.868,72,185,82,27,60,315
"Tyrrell Hatton",0.631,296.4,-0.089,-0.024,0.247,0.409,70.853,70,175,73,44,77,253
"Dylan Frittelli",0.625,295,-0.162,0.216,0.376,0.032,70.873,75,188,81,42,88,327
"Jason Day",0.621,303.9,0.684,-0.143,0.688,0.076,70.012,18,183,88,38,72,215
"Tony Finau",0.606,311.9,0.113,0.297,0.443,-0.134,70.112,21,193,91,53,121,304
"Scott Piercy",0.603,290,0.224,0.205,0.365,0.033,70.204,23,183,84,48,100,451
"Matt Jones",0.601,293.2,0.165,-0.126,0.444,0.283,70.842,67,183,77,62,118,388
"Rafa Cabrera Bello",0.556,288,0.125,0.214,0.226,0.116,70.574,38,188,81,64,124,329
"Chez Reavie",0.553,286.6,0.129,0.488,0.143,-0.078,70.508,31,175,73,49,100,404
"Kevin Na",0.528,290.7,0.106,0.378,-0.18,0.328,70.91,79,180,76,49,89,287
"Talor Gooch",0.526,295.7,0.206,0.771,-0.155,-0.09,70.393,24,183,91,29,55,219
"Kevin Tway",0.525,303.9,-0.216,0.147,-0.007,0.385,71.119,101,191,84,47,91,300
"Sung Kang",0.504,298,0.183,0.253,0.216,0.035,70.592,39,173,75,67,118,449
"Trey Mullinax",0.498,308.1,-0.42,0.409,0.277,-0.188,70.989,91,193,88,43,91,355
"Ryan Palmer",0.49,296.8,0.184,0.473,0.268,-0.251,70.475,27,180,79,39,90,292
"Louis Oosthuizen",0.48,296.4,-0.196,-0.238,0.173,0.545,70.909,78,178,82,44,73,211
"Ian Poulter",0.44,292.5,0.202,0.011,0.195,0.233,70.544,35,185,86,45,78,276
"Abraham Ancer",0.439,293.2,-0.079,-0.017,0.507,-0.051,70.817,62,170,70,47,103,461
"Charley Hoffman",0.435,293.9,0.161,0.458,0.226,-0.25,71.199,109,183,91,39,101,277
"Brian Stuard",0.414,274.4,0.147,0.309,-0.223,0.328,70.99,93,178,79,64,114,537
"Matt Every",0.389,293.8,0.051,0.207,0.102,0.08,70.707,47,180,86,33,63,208
"Jason Dufner",0.384,286.3,-0.616,0.138,0.129,0.117,71.525,141,178,82,55,109,355
"Brandt Snedeker",0.383,286.8,0.581,-0.052,-0.189,0.624,70.989,91,185,84,74,120,374
"Francesco Molinari",0.353,291.1,0.004,0.035,0.243,0.075,70.959,89,173,72,32,52,244
"Scott Stallings",0.349,293.4,-0.344,0.384,-0.037,0,71.579,146,183,88,49,104,358
"Russell Henley",0.348,286.2,-0.28,0.14,0.112,0.096,71.091,100,183,82,39,90,379
"Sebastián Muñoz",0.332,297.7,-0.186,-0.06,0.033,0.359,71.256,119,183,83,47,100,294
"J.B. Holmes",0.328,304.2,-0.451,0.174,0.156,-0.002,71.722,166,180,86,45,84,176
"Harold Varner III",0.327,302.6,-0.184,-0.098,0.389,0.036,70.869,74,173,77,45,83,395
"Phil Mickelson",0.309,307.3,-0.128,0.052,0.071,0.185,70.708,48,191,91,36,66,197
"Michael Thompson",0.296,284.8,0.448,0.055,0.124,0.117,70.437,26,183,83,71,122,480
"Nick Watney",0.289,298.4,-0.087,0.19,0.044,0.055,70.936,87,188,82,58,118,367
"Max Homa",0.289,299.2,0.183,0.298,0.266,-0.275,70.827,64,185,82,49,114,369
"Cameron Davis",0.287,307.3,-0.334,0.263,0.162,-0.138,71.246,116,193,82,33,66,270
"Chris Kirk",0.28,283.2,-0.541,0.19,-0.18,0.27,71.629,152,191,79,50,85,295
"Joel Dahmen",0.279,291.5,-0.036,0.172,0.299,-0.192,70.82,63,180,80,65,127,514
"Billy Horschel",0.278,290,0.33,0.205,0.007,0.064,70.917,81,183,79,55,110,389
"Branden Grace",0.27,296.6,-0.528,0.13,0.079,0.061,71.713,164,178,78,46,93,280
"Kramer Hickok",0.26,287.7,-0.581,-0.232,0.358,0.134,71.287,121,180,80,41,88,373
"Danny Willett",0.258,291.6,-0.265,0.461,-0.194,-0.009,71.609,148,180,77,38,78,263
"Kyoung-Hoon Lee",0.258,286,-0.103,0.088,0.221,-0.051,71.236,114,175,80,63,120,411
"Si Woo Kim",0.252,292.9,0.337,-0.153,-0.057,0.463,70.688,45,180,83,76,125,329
"Jimmy Walker",0.251,298.4,-0.208,0.154,-0.163,0.26,71.342,124,188,82,68,114,299
"J.T. Poston",0.24,292.8,0.057,0.14,0.077,0.023,70.782,58,188,74,77,149,539
"Roberto Castro",0.222,282.4,-0.42,0.353,-0.3,0.17,71.367,127,183,77,30,66,327
"Cameron Smith",0.218,295.3,0.302,0.319,-0.401,0.301,70.919,82,180,78,53,88,248
"Nate Lashley",0.21,285.7,0.38,0.555,-0.254,-0.091,70.727,50,183,86,27,54,261
"Josh Teater",0.193,289.2,-0.366,0.385,-0.094,-0.097,71.523,140,178,82,27,72,222
"Sam Ryder",0.182,293.6,0.328,0.25,0.079,-0.147,71.134,103,188,79,64,100,343
"Martin Kaymer",0.172,290.4,0.123,0.238,-0.204,0.137,71.076,96,183,75,39,61,287
"Patrick Reed",0.172,294.7,0.221,-0.155,-0.022,0.35,70.924,84,183,91,52,99,290
"Patrick Rodgers",0.163,299.3,0.421,-0.045,0.131,0.078,71.177,108,188,83,40,85,297
"James Hahn",0.126,290.4,-0.507,-0.076,0.043,0.159,71.655,158,185,82,20,36,137
"Jonas Blixt",0.115,288.2,0.274,0.03,0.127,-0.043,70.727,50,178,74,41,95,421
"Ryan Armour",0.11,275.5,-0.022,-0.081,-0.03,0.22,71.029,95,175,77,61,108,467
"Daniel Berger",0.082,297.2,-0.067,-0.012,0.334,-0.24,70.754,54,185,79,49,94,337
"J.J. Spaun",0.066,290.2,-0.09,0.125,0.003,-0.063,71.229,113,175,83,39,83,363
"Adam Schenk",0.061,298.3,0.377,0.312,0.01,-0.261,70.96,90,188,86,53,114,459
"Davis Love III",0.03,288.2,-0.449,0.603,-0.372,-0.201,71.647,157,191,79,24,40,159
"Danny Lee",0.024,300.6,-0.075,0.262,-0.119,-0.118,70.89,77,180,79,63,109,373
"Bill Haas",0.019,288.3,-0.138,-0.345,-0.02,0.385,71.393,129,188,84,46,90,369
"Kevin Kisner",0.006,286.2,0.454,-0.002,0.329,-0.32,70.746,53,178,75,49,109,409
"Carlos Ortiz",0.003,298.7,0.092,-0.111,0.321,-0.206,71.255,118,183,68,42,93,390
"Adam Long",-0.003,292.6,-0.271,-0.014,0.085,-0.074,71.44,130,178,73,43,87,381
"Adam Hadwin",-0.01,290.4,0.074,-0.208,0.45,-0.251,70.758,56,173,75,63,116,383
"Scott Brown",-0.032,286.6,-0.026,-0.145,0.266,-0.153,71.155,105,173,77,59,113,397
"Peter Malnati",-0.043,289.7,0.566,0.279,-0.384,0.062,70.757,55,178,72,49,100,366
"Jim Knous",-0.046,296.5,-0.335,0.196,0.082,-0.324,71.63,153,185,81,31,76,247
"Cameron Tringale",-0.073,294.1,0.142,0.248,-0.282,-0.039,71.351,125,188,84,36,67,226
"Nick Taylor",-0.107,289.7,0.394,-0.207,0.049,0.05,70.933,86,183,77,53,115,445
"Shawn Stefani",-0.12,292.9,-0.12,0.26,-0.372,-0.007,71.243,115,188,93,41,76,306
"Cameron Champ",-0.128,316.6,0.241,-0.222,0.782,-0.688,70.911,80,183,79,30,84,357
"Hudson Swafford",-0.147,295.2,-0.014,0.156,-0.067,-0.236,71.362,126,191,91,53,95,352
"Roger Sloan",-0.175,295.4,-0.175,0.002,-0.084,-0.093,71.442,131,188,79,61,109,354
"Chesson Hadley",-0.196,296.6,0.184,0.28,-0.23,-0.245,71.542,143,193,73,50,99,318
"Kyle Stanley",-0.199,288.6,-0.404,0.009,-0.066,-0.142,71.662,161,180,75,45,93,276
"Andrew Landry",-0.202,284.8,-0.347,0.015,0.245,-0.462,71.894,175,170,68,38,83,418
"Tom Hoge",-0.207,287.5,-0.198,0.344,-0.385,-0.166,71.87,174,185,79,52,106,375
"Aaron Baddeley",-0.208,286.7,0.68,-0.211,-0.471,0.474,70.712,49,183,80,51,90,292
"Alex Noren",-0.208,299.2,-0.155,-0.381,0.02,0.151,71.508,139,180,75,40,96,240
"Mackenzie Hughes",-0.212,294.5,-0.218,-0.117,-0.239,0.144,71.305,123,185,82,41,91,293
"Lucas Bjerregaard",-0.214,311,-0.119,-0.063,0.314,-0.465,71.698,162,188,83,24,52,162
"Denny McCarthy",-0.218,290.1,0.85,-0.359,0.085,0.056,70.688,45,175,75,42,89,387
"Brian Harman",-0.222,285.1,0.008,-0.599,0.296,0.081,71.754,168,170,68,65,109,419
"Fabián Gómez",-0.228,288,-0.201,-0.363,0.141,-0.005,71.866,173,173,74,31,65,263
"Vaughn Taylor",-0.233,281.2,0.719,0.11,-0.247,-0.095,70.728,52,183,73,69,126,543
"Martin Laird",-0.244,294.3,0.316,-0.163,-0.119,0.038,71.122,102,188,86,42,87,367
"Brendan Steele",-0.25,303.5,-0.458,-0.421,0.586,-0.415,72.177,185,188,79,30,83,323
"Pat Perez",-0.253,284.8,0.575,-0.042,-0.498,0.287,71.162,107,183,86,38,77,256
"Austin Cook",-0.257,287.5,-0.195,-0.096,0.071,-0.233,71.293,122,170,73,55,113,307
"Jordan Spieth",-0.271,294.7,0.836,-0.141,-0.39,0.259,70.488,28,185,79,48,94,327
"Andrew Putnam",-0.278,281.5,0.852,0.271,-0.695,0.146,70.807,60,185,77,53,86,295
"Bronson Burgoon",-0.299,290.5,-0.451,-0.169,-0.018,-0.112,71.644,156,188,86,40,82,258
"Brice Garnett",-0.327,285.4,-0.315,-0.277,0.155,-0.204,71.484,136,180,79,37,94,370
"Ernie Els",-0.332,282.9,0.202,-0.23,-0.464,0.362,71.392,128,191,95,45,68,207
"J.J. Henry",-0.37,286.3,-0.526,-0.088,-0.083,-0.199,71.959,179,191,91,27,66,216
"Robert Streb",-0.386,288,-0.26,-0.193,-0.291,0.098,71.995,180,178,75,43,93,337
"Harris English",-0.398,299.4,0.488,-0.3,-0.19,0.091,71.286,120,191,84,61,119,443
"Tyler Duncan",-0.398,285.8,-0.8,-0.208,0.161,-0.351,71.949,178,173,68,39,85,402
"Wes Roach",-0.4,290.2,-0.082,-0.585,0.054,0.131,71.936,177,191,84,22,62,228
"John Senden",-0.406,283.4,-0.26,0.04,-0.34,-0.106,72.15,184,193,91,26,49,207
"Richy Werenski",-0.424,289.3,0.213,-0.241,-0.008,-0.176,71.208,110,183,74,46,104,413
"Graeme McDowell",-0.426,285.7,0.732,-0.079,-0.369,0.022,70.62,42,178,73,57,107,310
"Ryan Blaum",-0.443,287.5,0.13,-0.333,-0.041,-0.068,71.491,138,173,75,57,115,456
"Alex Cejka",-0.449,275.7,-0.56,-0.067,-0.004,-0.378,72.493,194,178,77,27,66,229
"Sam Burns",-0.457,306.9,0.422,-0.294,0.224,-0.387,71.076,96,185,83,47,115,416
"Wyndham Clark",-0.492,311,0.619,-0.667,0.11,0.064,70.843,68,183,78,54,102,325
"Peter Uihlein",-0.502,296.6,0.431,-0.24,-0.312,0.051,71.614,149,185,86,59,108,269
"Jim Herman",-0.567,288.5,-0.425,-0.179,0.094,-0.482,72.29,191,183,77,24,61,237
"Brian Gay",-0.568,273.1,0.567,-0.487,-0.206,0.125,71.222,111,178,75,64,130,534
"Patton Kizzire",-0.588,293.5,0.375,-0.044,-0.507,-0.037,71.476,135,196,98,52,101,300
"Rod Pampling",-0.609,284.9,-1.351,-0.702,-0.13,0.223,72.959,202,178,79,40,85,196
"Hunter Mahan",-0.642,293.2,0.115,-0.615,0.421,-0.448,71.777,170,180,79,41,87,291
"David Hearn",-0.654,277.4,-0.137,-0.239,-0.055,-0.359,71.778,171,185,77,27,59,206
"Jonathan Byrd",-0.668,281.1,-0.353,-0.11,-0.684,0.125,71.624,151,175,75,25,56,189
"Chris Stroud",-0.669,288.1,0.128,-0.124,-0.578,0.033,71.574,145,188,82,39,80,287
"Kelly Kraft",-0.69,288,0.014,-0.074,-0.395,-0.222,71.464,132,183,79,56,114,351
"John Huh",-0.708,282,-0.225,-0.043,-0.377,-0.288,72.122,183,183,86,28,64,227
"Sangmoon Bae",-0.728,293,-0.17,-0.529,0.013,-0.212,72.209,188,183,82,27,54,186
"Stewart Cink",-0.738,291.6,0.508,-0.303,-0.677,0.242,71.614,149,193,93,42,73,150
"Seamus Power",-0.739,293.6,0.019,-0.878,-0.068,0.206,72.222,189,191,91,54,95,339
"Beau Hossler",-0.778,295,0.577,-0.593,-0.069,-0.117,71.466,133,185,88,67,131,394
"Chris Thompson",-0.794,288.6,-0.327,-0.281,-0.349,-0.164,73.046,203,188,88,25,55,130
"Grayson Murray",-0.809,310,-0.634,-0.631,0.063,-0.241,72.37,193,185,90,31,71,182
"Anirban Lahiri",-0.873,289.1,0.134,-0.237,-0.459,-0.178,71.707,163,175,79,53,92,329
"Ted Potter, Jr.",-0.932,276.4,-0.488,-0.233,-0.271,-0.428,72.605,198,180,82,55,127,364
"Dominic Bozzelli",-0.966,292.2,0.847,-0.674,-0.214,-0.078,70.95,88,183,81,47,83,239
"Martin Trainer",-1.139,303.3,-0.005,-1.129,-0.148,0.138,72.181,187,185,80,47,88,256
"Satoshi Kodaira",-1.206,282.7,-0.573,-0.299,-0.382,-0.526,72.899,200,170,68,29,76,315
"Ben Crane",-1.222,278,0.462,-0.238,-0.843,-0.141,71.64,155,180,75,35,62,197
"Charl Schwartzel",-1.317,291.3,0.407,-0.025,-1.526,0.234,72.177,185,180,73,37,66,85
"Freddie Jacobson",-1.328,283.1,0.082,-0.242,-0.732,-0.353,72.242,190,185,81,24,59,184
"Cody Gribble",-1.391,291.1,-0.062,-0.727,-0.483,-0.181,72.57,197,175,75,31,76,269
"D.A. Points",-1.656,273.3,-0.076,-0.476,-0.721,-0.459,72.914,201,185,88,37,64,151
"Michael Kim",-1.661,276.3,-0.142,-0.33,-1.546,0.215,73.46,204,180,75,50,98,249
