"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Rory McIlroy",2.393,315.3,0.318,0.843,1.241,0.308,69.129,2,178,73,42,80,362
"Dustin Johnson",1.853,310.8,0.422,0.766,0.89,0.196,69.205,3,193,86,37,58,295
"Justin Thomas",1.829,301.8,-0.327,0.952,0.506,0.371,69.701,10,178,72,41,80,335
"Patrick Cantlay",1.762,307.3,0.425,0.747,0.645,0.369,69.095,1,183,86,46,83,335
"Hideki Matsuyama",1.746,304.2,-0.079,0.95,0.431,0.366,69.84,15,180,90,58,107,407
"Adam Scott",1.701,299.6,0.454,0.786,0.43,0.486,69.555,7,183,82,41,73,226
"Paul Casey",1.614,297.9,-0.141,0.696,0.717,0.2,69.867,18,178,82,40,98,377
"Gary Woodland",1.483,309.1,-0.041,0.67,0.633,0.18,69.847,16,185,88,49,100,418
"Tiger Woods",1.447,297.8,0.188,0.863,0.198,0.386,69.692,9,185,84,21,42,235
"Brooks Koepka",1.418,308.7,0.029,0.831,0.441,0.146,69.402,4,183,92,35,59,328
"Byeong Hun An",1.335,306.2,-0.736,0.325,0.328,0.682,70.695,58,188,95,64,116,363
"Sergio Garcia",1.247,303.7,-0.129,0.911,0.403,-0.067,69.981,20,178,82,29,65,256
"Corey Conners",1.231,295,-0.611,0.67,0.639,-0.078,70.986,101,183,86,56,110,397
"Matt Kuchar",1.2,290.8,0.39,0.783,0.272,0.144,69.507,6,193,88,45,73,502
"Xander Schauffele",1.19,304.6,0.41,0.426,0.602,0.162,69.782,14,178,79,56,104,329
"Jon Rahm",1.187,306.7,0.234,0.276,0.769,0.141,69.853,17,188,99,43,85,317
"Tommy Fleetwood",1.144,298.7,0.289,0.355,0.512,0.277,69.9,19,180,76,46,72,297
"Emiliano Grillo",1.065,296,-0.541,0.904,0.432,-0.271,70.588,45,175,64,55,113,454
"Webb Simpson",1.052,287.2,0.463,0.63,0.059,0.362,69.442,5,188,84,61,99,458
"Henrik Stenson",1.032,284.8,0.015,1.245,-0.263,0.05,70.17,24,188,86,30,66,381
"Keegan Bradley",1.027,299,-0.54,0.942,0.14,-0.056,70.579,43,191,86,43,90,471
"Lucas Glover",0.948,293.8,0.207,0.407,0.259,0.282,70.038,21,188,88,49,91,509
"Justin Rose",0.94,305.2,0.778,0.542,0.294,0.104,69.597,8,191,88,53,86,265
"Chez Reavie",0.94,286.5,0.217,0.688,0.192,0.06,70.091,22,175,73,55,109,493
"Jason Day",0.939,303.1,0.543,0.112,0.645,0.181,69.755,12,183,88,43,80,295
"Jim Furyk",0.935,275.6,0.288,0.778,-0.014,0.171,69.729,11,188,84,37,73,461
"Kevin Streelman",0.932,291.6,-0.2,0.416,0.431,0.085,70.751,67,178,79,60,122,537
"Matthew Fitzpatrick",0.902,286.5,-0.18,0.341,0.369,0.192,70.871,86,178,70,39,81,320
"Rickie Fowler",0.832,304.1,0.502,0.347,0.286,0.199,69.759,13,175,68,63,115,412
"Russell Knox",0.83,288.9,-0.126,0.594,0.04,0.196,70.473,34,178,72,55,89,487
"Keith Mitchell",0.814,301.9,-0.231,0.113,0.763,-0.062,70.849,83,185,84,58,113,369
"Joaquin Niemann",0.812,298.8,-0.47,0.391,0.31,0.112,70.878,88,183,69,67,136,459
"Ryan Moore",0.778,280.5,0.232,0.607,0.097,0.074,70.943,93,175,77,42,96,483
"Bubba Watson",0.777,312.2,-0.393,-0.052,0.932,-0.103,70.669,55,191,82,40,79,348
"Luke List",0.749,313.4,-0.166,0.067,0.641,0.04,70.888,89,188,86,54,112,341
"Sungjae Im",0.749,293.1,0.22,0.137,0.346,0.266,70.291,28,183,90,68,147,636
"Marc Leishman",0.725,296.6,0.253,0.556,0.011,0.157,70.341,30,188,91,58,104,366
"Talor Gooch",0.71,296,0.027,0.984,-0.168,-0.106,70.267,26,183,91,32,58,251
"Tyrrell Hatton",0.709,296.3,-0.029,0.136,0.181,0.392,70.717,63,175,73,47,86,287
"Rory Sabbatini",0.69,289,0.079,0.028,0.31,0.352,70.514,36,178,75,66,120,521
"Hank Lebioda",0.665,292.4,-0.295,0.254,0.208,0.203,70.834,82,180,81,35,85,379
"Bud Cauley",0.663,291.8,-0.115,0.255,-0.261,0.669,70.622,47,170,73,65,111,479
"Charles Howell III",0.662,300,0.258,-0.027,0.295,0.394,70.519,37,180,70,48,101,399
"Troy Merritt",0.616,292.1,-0.017,0.35,0.005,0.288,70.829,80,183,73,29,59,354
"Aaron Wise",0.573,303.9,-0.301,-0.075,0.511,0.138,70.829,80,185,82,31,67,369
"Francesco Molinari",0.569,290.5,-0.083,0.141,0.251,0.178,70.699,61,173,72,40,61,331
"Scott Piercy",0.557,290.9,0.138,0.168,0.276,0.112,70.275,27,183,84,56,111,498
"Dylan Frittelli",0.555,294.4,-0.195,0.163,0.281,0.112,70.813,78,188,81,49,98,374
"Tony Finau",0.551,311.5,0.02,0.192,0.393,-0.034,70.201,25,193,91,57,127,337
"Danny Willett",0.551,293.8,-0.128,0.416,-0.048,0.182,71.083,110,180,77,50,95,332
"Matt Jones",0.546,292.9,0.135,-0.275,0.466,0.355,70.816,79,183,77,67,128,435
"Kevin Tway",0.517,304.6,-0.004,0.198,0.019,0.301,70.774,71,191,84,51,102,364
