"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Louis Oosthuizen",0.499,295.9,0.159,-0.144,0.163,0.481,70.51,35,178,82,52,88,298
"Sung Kang",0.49,297.9,0.13,0.279,0.227,-0.015,70.591,46,173,75,68,120,480
"Jason Dufner",0.489,287.3,-0.61,0.148,0.165,0.175,71.422,144,178,82,63,120,401
"Abraham Ancer",0.488,293.1,0.019,-0.005,0.548,-0.055,70.626,49,170,70,53,116,548
"Ryan Palmer",0.487,297.4,0.197,0.468,0.288,-0.27,70.379,32,180,79,39,92,322
"Charley Hoffman",0.476,294.1,0.033,0.473,0.278,-0.274,71.192,121,183,91,39,105,297
"Trey Mullinax",0.469,308.7,-0.416,0.341,0.323,-0.195,70.945,94,193,88,46,96,380
"Zach Johnson",0.467,286.2,-0.016,0.297,-0.003,0.172,70.697,59,180,74,51,94,399
"Rafa Cabrera Bello",0.46,288.8,0.125,0.18,0.207,0.072,70.623,48,188,81,69,135,371
"Martin Kaymer",0.38,291.6,-0.014,0.439,-0.165,0.107,70.976,97,183,75,43,70,322
"Harold Varner III",0.373,302.3,-0.099,-0.058,0.324,0.107,70.628,50,173,77,54,94,454
"Sebastián Muñoz",0.363,296.9,-0.118,-0.034,0.017,0.38,71.039,108,183,83,50,104,341
"Patrick Reed",0.357,294.6,0.172,-0.079,-0.001,0.437,70.698,60,183,91,58,109,368
"Kevin Na",0.355,290.8,0.135,0.181,-0.176,0.35,70.987,102,180,76,53,94,305
"Nick Watney",0.351,298.7,-0.09,0.169,0.084,0.098,70.787,75,188,82,62,126,420
"Matt Every",0.346,293.8,0.057,0.163,0.156,0.028,70.666,54,180,86,34,65,225
"Brian Stuard",0.344,274.7,0.061,0.274,-0.208,0.279,71.044,109,178,79,68,123,604
"Nate Lashley",0.338,286.6,0.231,0.652,-0.236,-0.077,70.658,53,183,86,31,62,314
"Billy Horschel",0.337,290.2,0.32,0.223,0.034,0.08,70.852,84,183,79,58,119,425
"Branden Grace",0.315,296.8,-0.579,0.172,0.111,0.033,71.701,167,178,78,47,98,295
"Scott Stallings",0.302,293.4,-0.436,0.331,-0.03,0.001,71.591,158,183,88,53,110,393
"Jimmy Walker",0.301,299,-0.215,0.107,-0.109,0.303,71.209,123,188,82,74,123,352
"Michael Thompson",0.296,284.8,0.448,0.055,0.124,0.117,70.437,33,183,83,71,122,480
"Brandt Snedeker",0.295,285.7,0.612,-0.048,-0.203,0.545,70.767,70,185,84,82,138,479
"Kyoung-Hoon Lee",0.287,286,-0.079,0.102,0.194,-0.01,71.114,112,175,80,65,124,471
"Max Homa",0.285,298.8,0.168,0.346,0.231,-0.293,70.8,77,185,82,49,115,387
"Chris Kirk",0.28,283.2,-0.541,0.19,-0.18,0.27,71.629,160,191,79,50,85,295
"Russell Henley",0.278,285.5,-0.35,0.17,0.09,0.017,71.122,113,183,82,39,91,419
"J.B. Holmes",0.271,304.8,-0.647,0.232,0.172,-0.132,71.732,170,180,86,46,86,224
"Ian Poulter",0.264,292.7,0.314,0.009,0.14,0.115,70.581,44,185,86,49,84,290
"Joel Dahmen",0.225,291.4,0.005,0.196,0.246,-0.217,70.776,73,180,80,69,136,571
"J.J. Spaun",0.21,290.1,-0.101,0.227,0.019,-0.035,70.989,103,175,83,44,95,436
"Cameron Davis",0.205,307,-0.31,0.184,0.152,-0.131,71.16,115,193,82,37,77,317
"Phil Mickelson",0.2,306.7,-0.137,0.097,-0.002,0.105,70.774,71,191,91,40,79,249
"Shane Lowry",0.195,298.4,0.562,-0.048,0.04,0.202,70.354,31,185,98,31,52,204
"Kramer Hickok",0.195,287.8,-0.578,-0.222,0.297,0.12,71.238,125,180,80,42,96,432
"J.T. Poston",0.194,292.6,0.063,0.121,0.055,0.019,70.788,76,188,74,77,149,558
"Kevin Kisner",0.179,285.9,0.39,0.119,0.262,-0.202,70.565,41,178,75,54,119,499
"Si Woo Kim",0.164,291.9,0.259,-0.273,0.013,0.423,70.751,67,180,83,81,133,374
"Patrick Rodgers",0.163,299.3,0.421,-0.045,0.131,0.078,71.177,117,188,83,40,85,297
"Adam Hadwin",0.141,290.1,0.125,-0.072,0.412,-0.199,70.529,39,173,75,67,125,443
"Cameron Tringale",0.136,294.3,0.12,0.358,-0.198,-0.025,71.021,105,188,84,40,75,293
"Jonas Blixt",0.128,288.2,0.162,0.03,0.077,0.022,70.706,62,178,74,47,103,476
"James Hahn",0.126,290.4,-0.507,-0.076,0.043,0.159,71.655,164,185,82,20,36,137
"Peter Malnati",0.104,289.9,0.494,0.359,-0.318,0.063,70.53,40,178,72,51,105,430
"Daniel Berger",0.093,297.7,-0.04,-0.044,0.319,-0.182,70.652,52,185,79,62,113,429
"Ryan Armour",0.088,274.6,-0.004,-0.083,-0.02,0.191,70.936,92,175,77,63,113,531
"Sam Ryder",0.085,293.3,0.41,0.295,0.071,-0.282,71.028,107,188,79,66,106,382
"Kyle Stanley",0.074,287.4,-0.496,0.149,-0.001,-0.074,71.456,149,180,75,50,103,366
"Adam Long",0.053,291.9,-0.192,0.025,0.162,-0.135,71.241,127,178,73,47,94,428
"Adam Schenk",0.038,298.4,0.327,0.307,0.014,-0.282,70.913,90,188,86,56,119,509
"Danny Lee",0.023,300.4,-0.014,0.14,-0.039,-0.079,70.763,69,180,79,65,119,429
"Roberto Castro",0.023,281.6,-0.352,0.307,-0.422,0.138,71.375,138,183,77,35,74,379
"Cameron Smith",0.014,292.6,0.242,0.083,-0.306,0.237,71.02,104,180,78,59,100,302
"Bill Haas",-0.01,289.1,-0.17,-0.345,0.001,0.334,71.398,142,188,84,47,92,389
"Carlos Ortiz",-0.03,299,0.051,-0.182,0.239,-0.087,71.211,124,183,68,46,100,452
"Andrew Landry",-0.054,284.2,-0.397,0.081,0.276,-0.412,71.716,169,170,68,39,85,467
"Josh Teater",-0.055,289.1,-0.065,0.232,-0.132,-0.155,71.265,129,178,82,28,79,280
"Nick Taylor",-0.056,290.5,0.406,-0.134,0.092,-0.015,70.747,66,183,77,62,131,548
"Brian Harman",-0.057,285.7,0.073,-0.462,0.262,0.143,71.399,143,170,68,71,119,497
"Alex Noren",-0.058,301.2,-0.376,-0.388,0.065,0.265,71.458,150,180,75,48,112,289
"Mackenzie Hughes",-0.086,295.4,-0.096,-0.092,-0.114,0.12,70.979,100,185,82,45,100,364
"Vaughn Taylor",-0.098,281.2,0.736,0.202,-0.222,-0.079,70.526,38,183,73,70,129,583
"Scott Brown",-0.102,287.2,0.101,-0.113,0.26,-0.249,70.978,98,173,77,61,126,472
"Martin Laird",-0.109,294.7,0.292,-0.107,-0.095,0.093,70.864,85,188,86,46,93,437
"Brendan Steele",-0.115,302.7,-0.393,-0.348,0.541,-0.308,71.906,179,188,79,33,87,367
"Cameron Champ",-0.117,316.6,0.165,-0.253,0.816,-0.681,70.932,91,183,79,30,85,375
"Jim Knous",-0.123,296.5,-0.249,0.111,0.041,-0.275,71.483,151,185,81,34,82,289
"Shawn Stefani",-0.131,292.2,-0.264,0.36,-0.504,0.013,71.27,130,188,93,45,86,343
"Chesson Hadley",-0.138,296.1,0.291,0.288,-0.218,-0.209,71.331,133,193,73,55,107,372
"Tom Hoge",-0.145,287.6,-0.191,0.33,-0.337,-0.138,71.692,166,185,79,63,126,458
"Graeme McDowell",-0.154,287.1,0.789,0.043,-0.288,0.091,70.326,29,178,73,65,119,382
"Hudson Swafford",-0.167,295.2,-0.031,0.119,-0.047,-0.239,71.35,136,191,91,53,97,368
"Robert Streb",-0.169,287.8,-0.193,-0.068,-0.21,0.109,71.588,157,178,75,48,103,410
"Fabián Gómez",-0.225,287.3,-0.278,-0.457,0.168,0.065,71.792,172,173,74,34,71,302
"Denny McCarthy",-0.242,289.8,0.781,-0.392,0.118,0.031,70.677,57,175,75,45,96,429
"Pat Perez",-0.253,284.8,0.575,-0.042,-0.498,0.287,71.162,116,183,86,38,77,256
"Andrew Putnam",-0.259,281.7,0.78,0.379,-0.689,0.051,70.729,64,185,77,61,102,367
"Austin Cook",-0.26,286.6,-0.281,-0.091,0.092,-0.26,71.291,131,170,73,58,118,351
"Jordan Spieth",-0.296,294.5,0.713,-0.148,-0.406,0.258,70.575,42,185,79,51,101,383
"Richy Werenski",-0.302,288.8,0.047,-0.157,0.042,-0.188,71.153,114,183,74,50,111,469
"Roger Sloan",-0.309,294.9,-0.098,-0.044,-0.142,-0.122,71.384,139,188,79,67,119,398
"Ryan Blaum",-0.317,286.9,0.085,-0.258,-0.045,-0.013,71.352,137,173,75,59,117,501
"Rod Pampling",-0.328,284.9,-1.155,-0.502,-0.13,0.304,72.464,195,178,79,45,93,247
"Aaron Baddeley",-0.34,286.3,0.654,-0.34,-0.46,0.46,70.783,74,183,80,54,99,324
"Alex Cejka",-0.371,275.4,-0.594,0.06,-0.091,-0.341,72.275,192,178,77,29,71,277
"Jonathan Byrd",-0.383,281.4,-0.238,-0.035,-0.615,0.266,71.293,132,175,75,27,62,219
"Wyndham Clark",-0.385,310.5,0.641,-0.616,0.04,0.19,70.647,51,183,78,58,106,373
"Harris English",-0.386,299.3,0.542,-0.411,-0.108,0.132,71.086,111,191,84,69,135,539
"Wes Roach",-0.388,290.7,0.066,-0.51,0.013,0.109,71.633,162,191,84,28,74,280
"Tyler Duncan",-0.396,285.7,-0.601,-0.215,0.107,-0.287,71.713,168,173,68,40,93,474
"John Senden",-0.406,283.4,-0.26,0.04,-0.34,-0.106,72.15,189,193,91,26,49,207
"Jim Herman",-0.41,287.2,-0.441,-0.167,0.181,-0.423,72.022,184,183,77,28,67,293
"Sam Burns",-0.415,306.5,0.423,-0.286,0.245,-0.374,70.978,98,185,83,47,117,445
"Ernie Els",-0.433,284.1,0.215,-0.308,-0.443,0.318,71.438,147,191,95,47,70,221
"Lucas Bjerregaard",-0.452,309.8,-0.359,-0.232,0.158,-0.377,71.948,182,188,83,28,60,191
"Bronson Burgoon",-0.46,290.5,-0.248,-0.293,-0.008,-0.159,71.523,153,188,86,42,85,298
"Brice Garnett",-0.471,285,-0.182,-0.369,0.16,-0.263,71.439,148,180,79,42,101,407
"J.J. Henry",-0.489,285.5,-0.493,-0.174,-0.134,-0.18,71.915,181,191,91,29,69,249
"Peter Uihlein",-0.493,297.7,0.322,-0.16,-0.408,0.075,71.541,155,185,86,64,116,310
"Chris Thompson",-0.552,289,-0.37,-0.152,-0.248,-0.152,72.592,198,188,88,30,60,171
"David Hearn",-0.561,277.4,-0.248,-0.219,-0.042,-0.301,71.737,171,185,77,31,63,219
"Brian Gay",-0.628,273.5,0.545,-0.444,-0.259,0.075,71.191,120,178,75,65,134,585
"Hunter Mahan",-0.652,292.7,0.012,-0.521,0.371,-0.502,71.808,174,180,79,41,89,310
"John Huh",-0.708,282,-0.225,-0.043,-0.377,-0.288,72.122,188,183,86,28,64,227
"Patton Kizzire",-0.714,293.4,0.381,-0.131,-0.474,-0.11,71.507,152,196,98,54,108,339
"Sangmoon Bae",-0.723,293.2,0.313,-0.4,-0.059,-0.264,71.638,163,183,82,33,63,252
"Grayson Murray",-0.809,310,-0.634,-0.631,0.063,-0.241,72.37,194,185,90,31,71,182
"Chris Stroud",-0.82,287.4,0.067,-0.14,-0.643,-0.037,71.666,165,188,82,42,84,315
"Kelly Kraft",-0.837,287.6,-0.061,-0.203,-0.369,-0.265,71.559,156,183,79,60,124,400
"Seamus Power",-0.846,293.4,0.14,-0.833,-0.186,0.173,72.056,186,191,91,59,102,378
"Beau Hossler",-0.906,294.9,0.684,-0.751,-0.026,-0.129,71.427,145,185,88,71,136,422
"Ted Potter, Jr.",-0.932,276.4,-0.488,-0.233,-0.271,-0.428,72.605,199,180,82,55,127,364
"Cody Gribble",-0.99,293.6,-0.067,-0.433,-0.378,-0.179,72.062,187,175,75,36,87,348
"Ben Crane",-1.019,279,0.449,-0.157,-0.746,-0.116,71.429,146,180,75,40,70,232
"Anirban Lahiri",-1.037,288.5,0.007,-0.322,-0.473,-0.242,71.91,180,175,79,55,98,369
"Freddie Jacobson",-1.063,282,0.151,0.003,-0.702,-0.364,71.9,178,185,81,25,61,220
"Dominic Bozzelli",-1.094,292.9,0.796,-0.623,-0.347,-0.124,70.973,96,183,81,51,92,280
"Martin Trainer",-1.218,302.6,-0.01,-1.18,-0.095,0.056,72.169,190,185,80,47,89,282
"Satoshi Kodaira",-1.261,281.8,-0.585,-0.355,-0.427,-0.48,72.904,200,170,68,32,82,332
"Charl Schwartzel",-1.317,291.3,0.407,-0.025,-1.526,0.234,72.177,191,180,73,37,66,85
"Michael Kim",-1.645,276,-0.142,-0.376,-1.538,0.268,73.384,201,180,75,51,100,262
