"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Brendan Steele",0.083,308.8,-0.567,-0.176,0.782,-0.522,72.165,177,188,79,13,31,96
"Nick Watney",0.073,296,-0.166,0.15,0.007,-0.084,71.223,92,188,82,27,56,140
"Scott Brown",0.058,285.4,0.484,-0.236,-0.032,0.325,70.993,69,173,77,24,42,141
"Kevin Kisner",0.05,284.5,0.537,0.198,0.514,-0.661,70.516,36,178,75,18,39,140
"Patton Kizzire",0.049,287.8,0.897,0.234,-0.317,0.133,71.263,96,196,98,29,53,122
"Hudson Swafford",0.049,297.7,0.293,0.086,-0.157,0.12,70.999,71,191,91,29,45,171
"Martin Laird",0.006,294.4,0.537,0.16,-0.255,0.102,70.791,56,188,86,21,41,157
"Andrew Putnam",-0.014,281.6,1.283,0.194,-0.531,0.323,70.696,51,185,77,30,45,119
"Harris English",-0.018,299.6,0.208,-0.196,-0.066,0.243,71.28,98,191,84,26,49,194
"Billy Horschel",-0.049,286.7,0.325,-0.231,-0.102,0.285,71.282,99,183,79,17,37,96
"Patrick Reed",-0.049,288.6,0.922,-0.324,0.052,0.223,70.531,41,183,91,24,45,104
"Steve Stricker",-0.049,283.8,-0.271,-0.393,0.007,0.338,71.416,116,183,86,7,19,52
"Kramer Hickok",-0.055,285.7,-0.847,-0.329,0.245,0.028,72.043,167,180,80,14,32,146
"Denny McCarthy",-0.068,292.2,0.928,-0.36,0.337,-0.045,70.743,54,175,75,16,38,171
"Carlos Ortiz",-0.105,303.5,0.003,-0.166,0.295,-0.234,71.558,131,183,68,20,46,184
"Kevin Na",-0.106,298.8,-0.805,-1.077,0.026,0.945,72.003,165,180,76,26,42,50
"Richy Werenski",-0.111,289.3,0.16,-0.205,0.189,-0.095,70.932,63,183,74,22,45,183
"Max Homa",-0.121,297.3,-0.123,0.398,-0.038,-0.481,71.703,147,185,82,19,44,134
"Ted Potter, Jr.",-0.131,277.4,-0.683,0.166,0.186,-0.483,72.171,179,180,82,23,49,156
"Jim Knous",-0.145,295.4,-0.133,0.25,0.059,-0.455,71.83,153,185,81,12,33,111
"Brandt Snedeker",-0.148,290.6,0.894,-0.143,-0.473,0.469,71.591,134,185,84,39,64,164
"Roger Sloan",-0.154,295.1,-0.128,0.02,-0.035,-0.139,71.831,154,188,79,24,47,152
"Nick Taylor",-0.16,291.5,0.245,-0.168,0.122,-0.114,71.256,95,183,77,23,53,182
"Andrew Landry",-0.165,285,-0.343,-0.095,0.311,-0.38,71.901,159,170,68,16,29,193
"Sam Burns",-0.168,305.5,-0.068,-0.332,0.199,-0.035,71.517,127,185,83,17,40,157
"Beau Hossler",-0.174,299.8,0.277,-0.258,0.007,0.077,71.498,126,185,88,29,53,110
"Wes Roach",-0.193,287.5,-0.034,-0.444,-0.015,0.266,71.553,129,191,84,14,35,158
"Vaughn Taylor",-0.201,283.3,0.39,-0.015,-0.4,0.214,71.048,81,183,73,25,42,172
"Peter Malnati",-0.237,289.1,0.57,0.18,-0.513,0.096,71.293,103,178,72,20,38,119
"Cameron Tringale",-0.243,286.1,-0.251,0.078,-0.753,0.432,72.11,172,188,84,15,24,89
