"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Justin Thomas",2.297,301.9,0.27,1.611,0.355,0.331,69.224,2,178,72,22,38,162
"Rory McIlroy",2.229,313.7,0.426,0.573,1.314,0.343,69.793,13,178,73,15,25,135
"Hideki Matsuyama",1.857,313.4,-0.282,1.013,0.494,0.35,69.888,15,180,90,28,48,147
"Justin Rose",1.775,308.4,0.869,0.704,0.37,0.701,68.948,1,191,88,15,22,37
"Tiger Woods",1.753,304.1,0.168,1.32,-0.123,0.556,69.549,4,185,84,6,17,101
"Dustin Johnson",1.662,304.6,0.878,0.568,0.65,0.443,69.79,12,193,86,15,24,111
"Gary Woodland",1.657,309.9,0.049,0.606,0.84,0.211,69.701,6,185,88,20,49,205
"Patrick Cantlay",1.645,312.6,0.231,0.596,0.667,0.381,69.54,3,183,86,19,41,147
"Corey Conners",1.513,294,-0.452,0.539,0.655,0.319,70.835,64,183,86,24,43,159
"Luke List",1.462,314.6,0.209,0.36,1.037,0.066,70.395,35,188,86,21,37,131
"Paul Casey",1.433,293,-0.289,0.684,0.489,0.26,70.09,23,178,82,23,49,159
"Xander Schauffele",1.399,302.6,0.806,0.77,0.416,0.212,69.732,7,178,79,33,56,158
"Lucas Glover",1.385,296.1,0.141,0.686,0.387,0.313,69.853,14,188,88,6,19,185
"D.J. Trahan",1.294,301.9,-0.083,0.692,0.559,0.043,70.513,44,191,84,14,30,88
"Talor Gooch",1.211,295.3,0.336,0.932,0.149,0.129,70.073,22,183,91,18,28,123
"Webb Simpson",1.203,286.5,0.143,1.167,-0.329,0.365,69.93,17,188,84,15,25,178
"J.B. Holmes",1.2,298.6,0.037,0.456,0.463,0.281,70.726,58,180,86,31,53,93
"Jon Rahm",1.152,305,0.158,0.013,1.02,0.119,70.11,27,188,99,21,42,202
"Byeong Hun An",1.131,321.1,-0.57,-0.322,0.184,1.269,71.055,79,188,95,21,31,58
"Sungjae Im",1.121,297.9,0.116,0.285,0.647,0.188,70.494,42,183,90,28,68,251
"Michael Thompson",1.105,287.4,0.348,0.854,0.244,0.008,70.025,20,183,83,26,51,179
"Matt Kuchar",1.098,292.1,0.077,0.679,0.187,0.233,69.768,9,193,88,19,32,259
"Keegan Bradley",1.08,298.2,-0.923,0.88,0.285,-0.084,70.761,60,191,86,20,42,222
"Tommy Fleetwood",1.076,303.9,0.111,0.253,0.447,0.377,70.094,24,180,76,18,25,81
"Emiliano Grillo",1.027,301.8,-0.909,0.968,0.449,-0.39,70.658,53,175,64,29,52,166
"Ian Poulter",0.99,299,0.107,0.345,0.095,0.55,70.401,36,185,86,18,27,118
"Cameron Smith",0.966,300.9,0.767,0.798,-0.379,0.547,70.164,28,180,78,30,49,139
"Marc Leishman",0.948,296.3,0.187,0.819,0.217,-0.088,70.059,21,188,91,27,47,164
"Charles Howell III",0.935,301.4,0.784,0.055,0.423,0.456,70.022,19,180,70,24,49,222
"Tony Finau",0.928,311,0.153,0.36,0.555,0.014,69.776,10,193,91,24,52,153
"Phil Mickelson",0.926,306.4,0.198,0.477,0.362,0.087,69.781,11,191,91,12,28,118
