"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Rory McIlroy",2.275,313.7,0.396,0.709,1.215,0.35,69.09,1,178,73,47,89,399
"Justin Thomas",1.733,300.9,-0.276,0.984,0.439,0.31,69.612,9,178,72,42,84,364
"Patrick Cantlay",1.675,305.6,0.406,0.71,0.586,0.378,69.171,2,183,86,51,93,369
"Dustin Johnson",1.658,311.2,0.337,0.593,0.8,0.264,69.428,5,193,86,41,64,344
"Hideki Matsuyama",1.639,304,-0.068,0.894,0.453,0.292,69.874,15,180,90,64,128,515
"Adam Scott",1.573,298.8,0.282,0.834,0.37,0.369,69.806,12,183,82,45,83,260
"Paul Casey",1.566,297,-0.207,0.709,0.668,0.189,69.921,17,178,82,43,104,408
"Byeong Hun An",1.367,307.5,-0.668,0.382,0.351,0.634,70.625,54,188,95,66,120,395
"Brooks Koepka",1.261,308.3,0.217,0.739,0.499,0.023,69.265,3,183,92,38,65,402
"Corey Conners",1.227,296.2,-0.681,0.678,0.701,-0.152,70.978,93,183,86,61,121,488
"Tommy Fleetwood",1.224,297.6,0.295,0.351,0.574,0.298,69.556,7,180,76,49,77,339
"Gary Woodland",1.216,309.1,-0.119,0.568,0.584,0.064,70.09,21,185,88,53,108,467
"Jon Rahm",1.18,306.3,0.297,0.303,0.774,0.103,69.665,10,188,99,48,91,358
"Matt Kuchar",1.099,290.1,0.342,0.747,0.235,0.117,69.61,8,193,88,47,77,535
"Xander Schauffele",1.093,303.2,0.382,0.355,0.5,0.239,69.814,13,178,79,62,111,357
"Emiliano Grillo",1.065,295.9,-0.541,0.904,0.432,-0.271,70.705,63,175,64,55,115,454
"Webb Simpson",1.051,287.7,0.556,0.679,0.054,0.318,69.326,4,188,84,69,109,492
"Kevin Streelman",1.024,291.8,-0.253,0.504,0.397,0.123,70.724,65,178,79,67,132,607
"Lucas Glover",1.019,295,0.262,0.477,0.314,0.228,69.882,16,188,88,58,106,588
"Sergio Garcia",0.996,302.7,-0.03,0.659,0.389,-0.051,70.135,23,178,82,34,72,291
"Jim Furyk",0.96,275.8,0.183,0.766,-0.006,0.2,69.821,14,188,84,40,78,502
"Matthew Fitzpatrick",0.941,287.9,-0.054,0.409,0.338,0.194,70.525,42,178,70,41,86,356
"Joaquin Niemann",0.933,300.9,-0.301,0.484,0.353,0.096,70.694,61,183,69,81,153,582
"Justin Rose",0.915,304.4,0.753,0.631,0.253,0.031,69.527,6,191,88,54,89,303
"Chez Reavie",0.868,287.2,0.13,0.61,0.266,-0.008,70.191,24,175,73,59,119,560
"Henrik Stenson",0.866,282.7,0.106,1.149,-0.293,0.01,70.089,20,188,86,37,75,416
"Russell Knox",0.83,289.1,-0.126,0.594,0.04,0.196,70.465,36,178,72,56,91,487
"Sungjae Im",0.825,295.5,0.217,0.1,0.391,0.335,70.319,27,183,90,79,165,754
"Jason Day",0.823,301.3,0.296,0.105,0.655,0.063,69.946,18,183,88,49,95,369
"Charles Howell III",0.814,302.7,0.238,0.068,0.31,0.436,70.402,32,180,70,58,121,510
"Rickie Fowler",0.786,303.2,0.473,0.335,0.281,0.17,69.803,11,175,68,65,122,442
"Marc Leishman",0.778,296.2,0.33,0.647,-0.031,0.162,70.269,26,188,91,61,110,400
"Keegan Bradley",0.753,298.9,-0.52,0.681,0.173,-0.101,70.726,66,191,86,48,105,544
"Dylan Frittelli",0.742,296.8,-0.133,0.192,0.315,0.235,70.595,50,188,81,55,113,492
"Bud Cauley",0.733,293.5,-0.122,0.209,-0.159,0.684,70.592,49,170,73,78,131,586
"Tyrrell Hatton",0.727,297.4,-0.17,0.13,0.209,0.388,70.542,44,175,73,49,90,321
"Bubba Watson",0.72,311.8,-0.315,-0.038,0.786,-0.027,70.603,52,191,82,46,92,390
"Ryan Moore",0.707,283.2,0.147,0.547,0.122,0.038,70.987,95,175,77,46,107,578
"Tony Finau",0.677,309.8,-0.061,0.307,0.393,-0.022,70.019,19,193,91,65,140,400
"Patrick Reed",0.659,295.2,0.098,0.193,0.077,0.389,70.376,31,183,91,72,127,475
"Luke List",0.632,314.3,-0.238,0.018,0.593,0.021,71.138,116,188,86,55,120,371
"Ryan Palmer",0.63,299.8,0.141,0.468,0.296,-0.135,70.412,33,180,79,44,101,355
"D.J. Trahan",0.627,301.2,-0.145,0.201,0.427,0,70.711,64,191,84,27,52,194
"Scott Piercy",0.624,292,0.143,0.229,0.303,0.093,70.22,25,183,84,58,115,540
"Rory Sabbatini",0.616,289.8,0.145,0.007,0.31,0.299,70.491,38,178,75,70,130,584
"Keith Mitchell",0.595,303.8,-0.191,-0.024,0.767,-0.149,70.891,82,185,84,64,127,452
"Francesco Molinari",0.569,289.8,-0.083,0.141,0.251,0.178,70.558,46,173,72,40,62,331
"Louis Oosthuizen",0.548,296.4,0.121,-0.044,0.139,0.453,70.342,28,178,82,56,95,332
"Zach Johnson",0.524,286.9,-0.04,0.333,0.019,0.172,70.697,62,180,74,53,98,447
"Aaron Wise",0.519,303.4,-0.197,-0.083,0.506,0.096,70.818,76,185,82,34,73,399
"Charley Hoffman",0.513,295.8,-0.126,0.423,0.28,-0.19,71.22,128,183,91,42,111,328
"Hank Lebioda",0.489,293.7,-0.257,0.324,0.08,0.085,71.001,99,180,81,41,97,489
"Abraham Ancer",0.488,292.9,0.019,-0.005,0.548,-0.055,70.631,55,170,70,55,118,548
"Cameron Tringale",0.484,296.9,0.134,0.468,-0.138,0.154,70.75,69,188,84,46,85,401
"Matt Jones",0.475,294.4,0.202,-0.222,0.345,0.352,70.832,77,183,77,74,138,514
"Jason Dufner",0.469,290,-0.474,0.094,0.23,0.144,71.366,142,178,82,69,136,526
"Rafa Cabrera Bello",0.468,289.5,0.155,0.169,0.218,0.081,70.59,48,188,81,75,143,403
"Danny Willett",0.463,294.2,-0.142,0.332,0.026,0.105,70.891,82,180,77,54,101,360
"Russell Henley",0.436,287.6,-0.318,0.337,0.146,-0.047,70.986,94,183,82,43,99,505
"Nate Lashley",0.431,290.5,0.456,0.563,-0.162,0.031,70.36,30,183,86,41,80,443
"Troy Merritt",0.425,293.6,0.011,0.307,0,0.14,70.97,90,183,73,34,68,443
"Talor Gooch",0.419,297.6,0.128,0.703,-0.158,-0.126,70.516,41,183,91,42,71,351
"J.B. Holmes",0.398,305.3,-0.74,0.184,0.246,-0.032,71.639,165,180,86,53,99,296
"Billy Horschel",0.398,291.6,0.384,0.237,0.076,0.084,70.749,68,183,79,61,129,496
"Martin Kaymer",0.38,291.6,-0.014,0.439,-0.165,0.107,70.976,92,183,75,43,70,322
"Sebastián Muñoz",0.364,299,-0.024,0.044,0.028,0.292,70.993,96,183,83,57,116,455
"Kramer Hickok",0.36,290.7,-0.647,-0.228,0.331,0.256,71.269,135,180,80,47,108,540
"Scott Stallings",0.357,297,-0.397,0.33,0.047,-0.019,71.496,152,183,88,63,124,503
"Brandt Snedeker",0.355,286.4,0.6,-0.038,-0.214,0.607,70.665,58,185,84,92,151,552
"Cameron Davis",0.351,308.9,-0.31,0.189,0.247,-0.085,71.125,112,193,82,42,90,426
"Harold Varner III",0.333,302.7,-0.089,-0.033,0.298,0.068,70.691,60,173,77,59,102,508
"Branden Grace",0.315,295.8,-0.579,0.172,0.111,0.033,71.626,163,178,78,48,100,295
"Martin Laird",0.295,298.9,0.114,0.122,0.057,0.116,70.731,67,188,86,51,104,575
"Chris Kirk",0.28,283.2,-0.541,0.19,-0.18,0.27,71.629,164,191,79,50,85,295
"Kevin Tway",0.271,303.6,-0.165,0.089,-0.043,0.226,71.044,104,191,84,56,112,428
"Daniel Berger",0.27,301.1,-0.017,-0.009,0.358,-0.079,70.513,40,185,79,66,119,502
"Nick Watney",0.262,302.1,-0.002,0.114,0.053,0.094,70.834,78,188,82,66,132,499
"Brian Stuard",0.26,276.2,0.107,0.278,-0.234,0.216,71.103,110,178,79,71,132,683
"Kevin Kisner",0.25,286.1,0.283,0.233,0.184,-0.168,70.54,43,178,75,56,125,577
"Kevin Na",0.249,290.9,0.013,0.109,-0.219,0.359,71.036,103,180,76,59,104,351
"Jimmy Walker",0.239,298.9,-0.074,0.058,-0.179,0.36,71.22,128,188,82,84,136,403
"Kyle Stanley",0.232,289.4,-0.33,0.307,0.036,-0.111,71.221,131,180,75,58,120,452
"Adam Hadwin",0.219,291.3,0.237,0.061,0.411,-0.254,70.42,34,173,75,70,131,482
"J.T. Poston",0.209,293.7,0.145,0.137,0.04,0.031,70.791,73,188,74,80,157,649
"J.J. Spaun",0.197,290.8,-0.011,0.227,-0.027,-0.004,70.973,91,175,83,48,102,510
"Ian Poulter",0.195,293.3,0.514,0.013,-0.014,0.196,70.504,39,185,86,54,90,313
"Matt Every",0.195,294.6,0.079,0.048,0.143,0.004,70.757,70,180,86,36,70,269
"Adam Schenk",0.19,300.9,0.312,0.272,0.053,-0.136,70.846,79,188,86,60,125,631
"Trey Mullinax",0.181,310.2,-0.353,0.134,0.341,-0.293,71.194,124,193,88,48,108,437
"Danny Lee",0.168,301.5,-0.172,0.235,0.037,-0.104,70.883,81,180,79,70,129,514
"Joel Dahmen",0.165,292,-0.059,0.135,0.245,-0.215,70.918,85,180,80,70,141,593
"Cameron Smith",0.163,295,0.228,0.101,-0.221,0.283,70.81,74,180,78,70,116,368
"Nick Taylor",0.162,292.1,0.348,0,0.122,0.04,70.672,59,183,77,71,153,702
"Michael Thompson",0.162,288,0.406,-0.026,0.058,0.13,70.602,51,183,83,75,137,569
"Bill Haas",0.155,291.5,-0.002,-0.128,-0.037,0.32,71.13,113,188,84,54,104,490
"Brian Harman",0.152,288.4,0.095,-0.276,0.274,0.155,71.178,120,170,68,78,134,592
"Max Homa",0.15,299.3,0.007,0.235,0.215,-0.301,71.012,102,185,82,53,125,477
"Josh Teater",0.149,291.5,-0.041,0.306,0.035,-0.191,71.182,122,178,82,34,94,417
"Shawn Stefani",0.147,295.5,-0.144,0.373,-0.365,0.139,71.088,108,188,93,53,102,488
"Sung Kang",0.139,299.8,0.061,0.084,0.147,-0.092,70.92,86,173,75,75,132,540
"Adam Long",0.131,293,-0.234,0.122,0.104,-0.095,71.162,117,178,73,55,111,554
"Andrew Landry",0.127,286.9,-0.314,0.192,0.251,-0.317,71.508,154,170,68,45,98,568
"Patrick Rodgers",0.121,299,0.35,-0.089,0.137,0.074,71.285,138,188,83,40,86,316
"Sam Ryder",0.121,294.1,0.5,0.333,0.04,-0.252,70.876,80,188,79,72,117,474
"Wes Roach",0.109,293.6,0.058,-0.178,0.092,0.195,71.321,140,191,84,35,87,417
"Carlos Ortiz",0.104,301.1,0.037,-0.103,0.258,-0.051,71.13,113,183,68,52,108,542
"Si Woo Kim",0.101,292.2,0.096,-0.369,0.052,0.418,70.938,88,180,83,84,142,415
"Jonas Blixt",0.093,289.3,0.137,-0.016,0.055,0.053,70.813,75,178,74,51,108,539
"Kyoung-Hoon Lee",0.084,286.1,-0.077,0.032,0.186,-0.135,71.26,134,175,80,70,135,527
"Roberto Castro",0.082,283.5,-0.082,0.44,-0.38,0.022,71.202,125,183,77,44,93,547
"Brendan Steele",0.072,302.7,-0.449,-0.261,0.536,-0.203,71.813,178,188,79,36,93,454
"Peter Malnati",0.063,292,0.476,0.275,-0.31,0.097,70.649,56,178,72,64,128,547
"Tom Hoge",0.015,290,-0.242,0.408,-0.213,-0.179,71.64,166,185,79,69,140,583
"Ryan Armour",0.001,277,0.109,-0.016,-0.094,0.111,71.007,101,175,77,68,125,671
"Mackenzie Hughes",-0.01,297.9,-0.091,-0.012,-0.076,0.078,70.999,98,185,82,48,111,449
"Roger Sloan",-0.015,296.6,0.023,0.113,-0.057,-0.072,71.102,109,188,79,74,131,507
"Fabián Gómez",-0.021,289.8,-0.325,-0.285,0.023,0.241,71.717,171,173,74,37,82,419
"Vaughn Taylor",-0.026,282.4,0.746,0.235,-0.242,-0.02,70.488,37,183,73,74,140,664
"Alex Noren",-0.049,300.7,-0.237,-0.414,0.087,0.278,71.113,111,180,75,53,118,326
