"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Rory McIlroy",2.226,313.8,0.359,0.571,1.304,0.351,69.774,9,178,73,19,35,175
"Justin Thomas",2.115,301.8,0.182,1.21,0.421,0.485,69.202,1,178,72,28,47,193
"Hideki Matsuyama",2.039,310.5,-0.595,1.128,0.474,0.438,70.049,19,180,90,35,59,181
"Byeong Hun An",1.726,311.3,-0.753,0.421,0.524,0.782,70.643,46,188,95,33,56,136
"Dustin Johnson",1.662,304.6,0.878,0.568,0.65,0.443,69.79,11,193,86,15,24,111
"Gary Woodland",1.647,309.5,-0.096,0.811,0.741,0.095,69.66,6,185,88,23,57,235
"Patrick Cantlay",1.645,312.6,0.231,0.596,0.667,0.381,69.54,2,183,86,19,41,147
"Tommy Fleetwood",1.619,303.9,-0.036,0.519,0.667,0.433,69.961,15,180,76,25,33,118
"Luke List",1.47,314.2,-0.032,0.522,0.84,0.109,70.429,33,188,86,27,51,179
"Paul Casey",1.433,293,-0.289,0.684,0.489,0.26,70.09,22,178,82,23,49,159
"Xander Schauffele",1.399,302.6,0.806,0.77,0.416,0.212,69.732,7,178,79,33,56,158
"Keith Mitchell",1.339,297.6,-0.471,0.557,0.694,0.088,70.66,49,185,84,37,71,169
"Lucas Glover",1.316,295.8,0.448,0.689,0.407,0.22,69.561,4,188,88,19,37,265
"D.J. Trahan",1.294,301.9,-0.083,0.692,0.559,0.043,70.513,36,191,84,14,30,88
"Sungjae Im",1.229,295.9,0.067,0.474,0.503,0.252,70.33,29,183,90,39,88,325
"Corey Conners",1.199,292.5,-0.458,0.548,0.439,0.212,71.06,87,183,86,26,48,172
"Talor Gooch",1.177,296.1,0.297,1.078,-0.015,0.113,69.87,13,183,91,22,36,151
"Jon Rahm",1.152,305,0.158,0.013,1.02,0.119,70.11,24,188,99,21,42,202
"Ian Poulter",1.131,296.2,0.023,0.309,0.293,0.529,70.447,35,185,86,23,36,157
"Webb Simpson",1.131,285.9,0.102,0.76,-0.171,0.543,69.825,12,188,84,25,37,217
"Matt Kuchar",1.098,292.1,0.077,0.679,0.187,0.233,69.768,8,193,88,19,32,259
"Bubba Watson",1.053,316.6,-0.411,0.282,0.884,-0.112,70.812,63,191,82,18,34,186
"Keegan Bradley",1.044,298.3,-0.862,0.849,0.248,-0.053,70.863,69,191,86,26,54,259
"Charles Howell III",1.032,301.4,0.702,0.093,0.496,0.442,70.037,18,180,70,30,59,254
"Brooks Koepka",0.961,310.2,-0.392,0.631,0.38,-0.05,70.191,26,183,92,17,32,122
"Emiliano Grillo",0.951,300.7,-1.064,0.822,0.433,-0.304,70.745,56,175,64,30,55,184
"Tony Finau",0.928,311,0.153,0.36,0.555,0.014,69.776,10,193,91,24,52,153
"Jim Furyk",0.892,272.1,0.231,0.627,0.039,0.226,69.618,5,188,84,10,21,148
"Justin Rose",0.889,308,0.167,0.41,0.208,0.272,69.943,14,191,88,19,30,72
"Jason Day",0.86,298.8,0.84,-0.155,0.78,0.235,70.095,23,183,88,14,27,92
"Phil Mickelson",0.845,307,0.119,0.498,0.215,0.131,70.006,17,191,91,15,33,133
"Roberto Castro",0.837,281.9,-0.025,0.953,-0.274,0.158,70.714,55,183,77,16,39,222
"Marc Leishman",0.829,296.8,0.339,0.696,0.19,-0.057,70.136,25,188,91,32,58,201
"Russell Knox",0.806,292.9,-0.296,0.559,-0.09,0.337,70.821,65,178,72,25,41,203
"Joaquin Niemann",0.777,297.6,-0.828,0.537,0.294,-0.055,71.373,124,183,69,33,70,233
"Tyrrell Hatton",0.763,301.4,0.154,-0.35,0.352,0.762,70.561,39,175,73,25,40,106
"Branden Grace",0.762,303,-0.194,0.207,0.435,0.12,71.436,131,178,78,19,37,104
"Michael Thompson",0.761,286.8,0.544,0.427,0.287,0.046,69.994,16,183,83,38,67,241
"J.B. Holmes",0.753,300.1,0.145,0.189,0.401,0.163,70.903,75,180,86,33,57,108
