"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"D.J. Trahan",2.553,302.4,-0.25,1.89,0.408,0.256,69.697,11,191,84,3,3,27
"Corey Conners",2.335,287.3,-0.96,0.498,1.058,0.779,70.626,33,183,86,6,8,57
"Kevin Tway",2.098,318.5,0.76,0.495,0.637,0.966,71.016,58,191,84,12,16,29
"Talor Gooch",2.06,292.5,-0.006,1.809,0.463,-0.212,69.947,13,183,91,2,4,30
"Luke List",1.901,339.5,0.706,0.416,1.466,0.02,69.393,6,188,86,6,8,27
"Lucas Glover",1.86,305,-0.154,0.736,0.649,0.475,70.295,18,188,88,5,7,67
"Sam Ryder",1.795,304.6,0.812,1.419,0.162,0.214,70.871,47,188,79,14,19,31
"Chesson Hadley",1.755,287,-2.237,2.34,-0.962,0.376,72.058,121,193,73,9,16,15
"Cameron Davis",1.739,311,-1.098,1.408,0.526,-0.195,71.359,73,193,82,5,6,42
"Aaron Baddeley",1.702,293.3,-0.061,1.184,0.021,0.498,70.359,20,183,80,1,7,45
"Cameron Champ",1.659,331.3,1.046,0.305,1.512,-0.159,69.295,5,183,79,2,8,54
"Bill Haas",1.526,294.9,0.43,-0.314,0.422,1.418,70.045,14,188,84,5,7,65
"Rory Sabbatini",1.474,286.5,0.079,1.284,0.278,-0.087,70.447,23,178,75,1,4,32
"J.B. Holmes",1.44,300.8,0.668,0.103,0.317,1.02,70.432,22,180,86,17,23,25
"Sam Burns",1.416,302.3,-0.375,0.224,0.72,0.472,70.959,52,185,83,5,7,42
"Ryan Moore",1.385,299.8,1.472,0.762,0.668,-0.044,72.016,115,175,77,10,22,38
"Emiliano Grillo",1.309,311.3,-0.702,1.537,0.259,-0.486,70.885,48,175,64,11,17,32
"Brandt Snedeker",1.193,309.5,1.664,0.048,0.552,0.593,71.572,89,185,84,14,27,31
"Troy Merritt",1.147,312.6,1.461,-0.297,0.314,1.13,71.121,61,183,73,6,9,36
